agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,80,52,207,6,51,202
1,11,94,43,202,3,43,199
2,11,65,64,210,3,63,208
3,10,56,54,229,4,53,226
4,8,95,48,196,5,46,193
5,13,61,31,247,5,31,242
6,10,81,58,200,3,58,197
7,9,72,48,219,2,48,217
8,11,44,62,233,3,62,230
9,10,83,28,228,0,28,228
10,10,66,52,221,5,51,217
11,12,44,95,200,5,93,197
12,10,85,50,204,3,49,202
13,11,88,45,206,2,45,204
14,11,57,53,229,3,52,227
15,10,94,30,215,6,30,209
16,9,93,42,204,2,41,203
17,9,61,42,236,3,42,233
18,13,67,69,203,2,68,202
19,10,100,56,183,3,56,180
20,11,65,44,230,2,44,228
21,9,83,60,196,0,60,196
22,10,30,82,227,4,81,224
23,10,96,53,190,4,51,188
24,10,99,63,177,8,61,171
25,11,48,59,232,6,56,229
26,11,77,88,174,6,84,172
27,10,75,82,182,3,79,182
28,10,91,71,177,6,69,173
29,9,100,41,198,4,41,194
30,9,61,59,219,1,59,218
31,12,76,58,205,6,54,203
32,10,101,46,192,2,46,190
33,13,91,74,174,3,73,172
34,9,90,38,211,4,36,209
35,10,104,54,181,3,53,179
36,9,63,40,236,3,38,235
37,8,83,76,180,1,75,180
38,9,102,54,183,4,54,179
39,9,83,74,182,2,73,181
40,10,98,46,195,2,46,193
41,9,75,41,223,4,39,221
42,9,110,67,162,4,66,159
43,8,62,54,223,6,54,217
44,10,43,94,202,1,94,201
45,8,103,52,184,8,50,178
46,9,83,34,222,4,34,218
47,11,67,54,218,6,52,214
48,8,108,48,183,3,48,180
49,10,85,43,211,2,43,209
