task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,12,20,28,0,11,8,11,8,0,1,12,20,1.000000
1,0,1,10,27,15,0,9,17,9,17,0,1,10,27,1.000000
2,1,2,8,19,48,0,6,9,6,11,0,1,7,18,1.222222
3,1,2,5,27,36,0,3,22,3,22,0,1,4,26,1.000000
4,2,3,3,28,26,0,0,25,0,25,0,1,1,26,1.000000
5,2,3,5,37,1,0,2,32,2,32,0,1,3,35,1.000000
6,3,4,4,15,9,0,0,11,0,11,0,1,1,12,1.000000
7,3,4,6,27,32,0,2,21,2,21,0,1,3,24,1.000000
8,4,5,12,33,37,0,7,16,7,20,1,1,8,29,1.250000
9,4,5,16,41,47,0,11,19,11,25,0,1,12,37,1.315789
10,5,6,14,20,16,0,8,6,8,6,0,1,9,15,1.000000
11,5,6,13,18,31,0,7,5,7,5,0,1,8,13,1.000000
12,6,7,20,36,46,0,13,9,13,15,1,1,14,30,1.666667
13,6,7,7,37,33,0,0,30,0,30,0,1,1,31,1.000000
14,7,8,20,38,41,0,12,15,12,17,1,1,13,31,1.133333
15,7,8,8,15,25,0,0,7,0,7,0,1,1,8,1.000000
16,8,9,9,29,10,0,0,20,0,20,0,1,1,21,1.000000
17,8,9,20,26,0,0,11,6,11,6,0,1,12,18,1.000000
18,9,10,14,26,5,0,4,12,4,12,0,1,5,17,1.000000
19,9,10,21,37,11,0,11,16,11,16,0,1,12,28,1.000000
20,10,11,16,48,45,0,5,30,5,32,0,1,6,38,1.066667
21,10,11,18,29,34,0,7,11,7,11,0,1,8,19,1.000000
22,11,12,22,55,18,0,10,32,10,32,1,1,11,44,1.000000
23,11,12,19,29,43,0,7,10,7,10,0,1,8,18,1.000000
24,12,13,24,29,38,0,11,5,11,5,0,1,12,17,1.000000
25,12,13,13,21,27,0,0,8,0,8,0,1,1,9,1.000000
26,13,14,18,31,14,0,4,13,4,13,0,1,5,18,1.000000
27,13,14,32,59,21,0,18,27,18,27,0,1,19,46,1.000000
28,14,15,30,36,20,0,15,4,15,6,0,1,16,22,1.500000
29,14,15,15,30,30,0,0,15,0,15,0,1,1,16,1.000000
30,15,16,30,63,2,0,14,15,14,33,0,1,15,48,2.200000
31,15,16,17,27,7,0,1,10,1,10,0,1,2,12,1.000000
32,16,17,28,44,29,0,11,14,11,16,0,1,12,28,1.142857
33,16,17,27,50,6,0,10,21,10,23,0,1,11,34,1.095238
34,17,18,30,44,3,0,10,12,12,14,0,1,13,27,1.166667
35,17,18,29,61,9,1,13,32,10,32,1,1,12,44,1.000000
