agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,2,262,3,30,0,3,30
1,3,226,8,61,2,8,59
2,5,193,19,83,2,19,81
3,0,295,0,0,0,0,0
4,3,225,8,62,0,8,62
5,4,192,12,91,2,12,89
6,5,140,17,138,2,16,137
7,5,151,15,129,4,14,126
8,5,128,11,156,3,11,153
9,6,133,11,151,2,11,149
10,3,188,9,98,3,9,95
11,3,220,7,68,0,7,68
12,3,228,6,61,1,6,60
13,3,212,7,76,1,7,75
14,8,116,25,154,2,24,153
15,4,135,7,153,1,7,152
16,7,114,28,153,2,28,151
17,8,88,18,189,2,18,187
18,9,72,26,197,4,26,193
19,5,155,38,102,3,35,102
20,5,179,8,108,4,8,104
21,5,162,16,117,2,16,115
22,5,209,11,75,1,11,74
23,3,208,16,71,0,16,71
24,9,68,29,198,4,28,195
25,6,188,15,92,3,14,90
26,9,109,24,162,1,24,161
27,4,183,8,104,1,8,103
28,7,111,8,176,2,8,174
29,4,216,10,69,0,10,69
30,6,141,29,125,5,26,123
31,7,118,44,133,5,42,130
32,8,151,16,128,2,16,126
33,5,163,15,117,3,15,114
34,5,167,22,106,1,21,106
35,6,155,12,128,2,11,127
36,10,86,17,192,0,17,192
37,8,158,21,116,1,21,115
38,5,174,20,101,5,19,97
39,7,147,27,121,3,26,119
40,10,119,26,150,4,25,147
41,5,169,16,110,3,16,107
42,7,134,7,154,2,7,152
43,10,116,19,160,3,19,157
44,6,132,11,152,2,11,150
45,5,230,17,48,1,16,48
46,6,113,20,162,3,18,161
47,7,112,32,151,1,32,150
48,4,183,12,100,0,12,100
49,5,170,22,103,0,22,103
50,7,131,21,143,5,21,138
51,6,150,18,127,6,16,123
52,7,115,18,162,2,18,160
53,6,154,17,124,2,17,122
54,7,116,25,154,1,25,153
55,6,167,12,116,0,12,116
56,8,101,7,187,3,7,184
57,6,148,31,116,2,31,114
58,3,241,8,46,1,8,45
59,8,122,19,154,6,19,148
60,5,202,8,85,0,8,85
61,6,116,18,161,4,18,157
62,4,204,7,84,1,6,84
63,5,189,5,101,2,4,100
64,3,231,11,53,1,10,53
65,5,171,11,113,2,11,111
66,5,112,30,153,5,29,149
67,3,246,2,47,0,2,47
68,8,91,4,200,1,4,199
69,5,181,13,101,3,12,99
70,4,215,7,73,2,7,71
71,6,166,12,117,1,12,116
72,6,124,8,163,2,7,162
73,7,152,9,134,1,9,133
74,5,189,20,86,2,20,84
75,2,226,8,61,1,8,60
76,2,266,2,27,0,2,27
77,2,248,3,44,0,3,44
78,1,257,3,35,0,3,35
79,2,248,1,46,0,1,46
80,3,244,4,47,2,4,45
81,2,257,13,25,0,13,25
82,4,198,10,87,1,9,87
83,3,227,5,63,2,4,62
84,2,220,2,73,0,2,73
85,0,295,0,0,0,0,0
86,2,229,1,65,0,1,65
87,7,156,3,136,1,3,135
88,1,266,0,29,0,0,29
89,0,294,1,0,0,1,0
90,6,156,23,116,5,20,114
91,5,194,17,84,0,17,84
92,4,181,19,95,4,17,93
93,6,156,26,113,3,26,110
94,7,142,11,142,4,10,139
95,4,202,7,86,2,7,84
96,2,252,2,41,0,2,41
97,6,145,11,139,3,11,136
98,4,216,6,73,0,6,73
99,2,236,2,57,0,2,57
