timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,10,5,5,95,2,3,0,0.9194181
2,0,15,5,10,90,4,6,0,0.9194168
3,0,20,5,15,85,9,6,0,0.9194707
4,0,25,5,20,80,11,9,0,0.9195254
5,0,30,5,25,75,13,12,0,0.9194478
6,0,35,5,30,70,13,17,0,0.9195626
7,0,40,5,35,65,17,18,1,0.9194492
8,0,45,5,40,60,20,20,1,0.9194744
9,0,50,5,45,55,17,28,1,0.9194588
10,1,54,5,49,51,18,31,1,0.9194901
11,2,58,5,53,47,18,35,2,0.919639
12,3,62,5,57,43,20,37,4,0.9197465
13,4,66,5,61,39,22,39,4,0.9196114
14,4,71,5,66,34,23,43,6,0.9196421
15,5,75,5,70,30,20,50,7,0.9197048
16,5,80,5,75,25,21,54,10,0.9196046
17,5,85,8,77,23,17,60,12,0.91957
18,5,90,10,80,20,19,61,12,0.9196509
19,5,95,11,84,16,21,63,17,0.9196069
20,8,97,14,83,17,18,65,19,0.9197374
21,9,101,15,86,14,21,65,22,0.9196018
22,11,104,19,85,15,18,67,24,0.9197752
23,15,105,21,84,16,19,65,27,0.9194646
24,15,110,22,88,12,19,69,27,0.919556
25,18,112,25,87,13,19,68,30,0.919663
26,19,116,26,90,10,17,73,33,0.9197998
27,25,115,26,89,11,18,71,33,0.919643
28,30,115,27,88,12,17,71,39,0.919451
29,33,117,26,91,9,18,73,44,0.9195161
30,35,120,27,93,7,18,75,45,0.9197604
31,39,121,27,94,6,16,78,47,0.9196753
32,42,123,26,97,3,19,78,49,0.9195655
33,44,126,28,98,2,18,80,54,0.9196671
34,47,128,31,97,3,16,81,58,0.9196052
35,51,129,33,96,4,15,81,61,0.9195721
36,53,132,34,98,2,16,82,64,0.9197243
37,59,131,37,94,6,14,80,66,0.9194966
38,61,134,36,98,2,15,83,68,0.9195576
39,64,136,39,97,3,14,83,68,0.919569
40,69,136,41,95,5,14,81,70,0.9195394
41,73,137,41,96,4,16,80,72,0.9198131
42,76,139,42,97,3,15,82,73,0.9194859
43,78,142,44,98,2,13,85,77,0.9195662
44,80,145,47,98,2,11,87,78,0.9198045
45,83,147,50,97,3,11,86,81,0.9196054
46,87,148,52,96,4,11,85,89,0.9195882
47,92,148,53,95,5,9,86,95,0.9195378
48,96,149,53,96,4,10,86,98,0.9196815
49,101,149,54,95,5,8,87,102,0.9195287
50,105,150,54,96,4,10,86,106,0.9195374
51,110,150,55,95,5,12,83,112,0.9194824
52,111,154,55,99,1,13,86,118,0.9194592
