agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,5,50,16,104,1,16,103
1,5,72,8,90,2,7,89
2,4,30,4,136,5,2,133
3,4,27,12,131,4,11,128
4,5,30,15,125,6,14,120
5,5,51,15,104,2,14,103
6,7,20,20,130,3,19,128
7,6,51,17,102,6,17,96
8,6,12,34,124,8,32,118
9,4,47,11,112,5,11,107
10,6,52,10,108,6,8,104
11,4,37,10,123,7,9,117
12,5,31,18,121,7,17,115
13,7,19,7,144,4,7,140
14,6,43,16,111,13,14,100
15,5,42,16,112,7,15,106
16,6,40,19,111,6,18,106
17,6,19,23,128,3,23,125
18,5,34,16,120,0,16,120
19,5,40,20,110,9,19,102
20,5,16,34,120,8,27,119
21,4,63,20,87,6,18,83
22,6,47,0,123,6,0,117
23,4,40,4,126,7,4,119
24,5,47,12,111,4,11,108
25,5,42,5,123,1,5,122
26,5,37,8,125,2,8,123
27,5,37,9,124,0,9,124
28,5,19,24,127,7,20,124
29,5,45,8,117,2,7,116
30,6,57,16,97,5,15,93
31,6,23,10,137,10,9,128
32,5,42,29,99,8,29,91
33,6,48,13,109,5,13,104
34,7,11,23,136,3,23,133
35,6,47,1,122,3,1,119
36,6,65,8,97,0,8,97
37,7,19,15,136,6,12,133
38,4,18,4,148,2,4,146
39,5,59,10,101,2,10,99
40,4,51,1,118,3,1,115
41,4,56,19,95,4,19,91
42,5,28,21,121,0,21,121
43,5,50,0,120,4,0,116
44,4,54,8,108,3,8,105
45,6,67,16,87,5,15,83
46,4,47,12,111,4,12,107
47,6,35,8,127,4,8,123
48,4,51,8,111,2,8,109
49,5,59,8,103,3,7,101
50,4,41,12,117,2,12,115
51,4,53,18,99,4,16,97
52,4,50,5,115,2,4,114
53,7,19,38,113,6,33,112
54,4,54,11,105,3,11,102
55,5,34,14,122,4,14,118
56,5,25,9,136,9,7,129
57,3,42,6,122,3,6,119
58,5,71,3,96,4,2,93
59,8,30,18,122,8,15,117
60,3,74,5,91,7,5,84
61,5,53,1,116,5,1,111
62,4,69,10,91,4,10,87
63,5,60,21,89,6,17,87
64,4,73,18,79,3,15,79
65,5,31,27,112,4,26,109
66,5,48,10,112,7,10,105
67,7,39,8,123,7,8,116
68,4,47,23,100,8,15,100
69,5,31,9,130,7,7,125
70,5,74,8,88,9,7,80
71,4,19,28,123,4,27,120
72,5,64,12,94,1,12,93
73,5,48,13,109,4,13,105
74,4,56,8,106,8,6,100
75,3,57,8,105,4,8,101
76,3,51,3,116,3,2,114
77,5,50,13,107,3,13,104
78,4,46,17,107,2,17,105
79,5,35,2,133,9,2,124
80,5,52,19,99,4,17,97
81,5,41,21,108,4,20,105
82,7,67,10,93,2,10,91
83,5,56,18,96,6,18,90
84,3,65,9,96,3,8,94
85,5,69,10,91,3,9,89
86,5,63,10,97,5,8,94
87,4,54,7,109,0,7,109
88,5,64,5,101,4,5,97
89,4,63,21,86,6,17,84
90,4,13,17,140,2,16,139
91,6,51,21,98,7,18,94
92,5,41,8,121,7,8,114
93,5,25,20,125,4,19,122
94,7,24,30,116,6,27,113
95,4,64,9,97,0,9,97
96,7,41,14,115,3,14,112
97,6,25,0,145,6,0,139
98,4,73,12,85,2,10,85
99,5,37,19,114,7,18,108
