task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,23,61,0,0,20,0,22,0,1,1,23,1.100000
1,0,1,92,107,92,4,9,14,12,14,1,1,92,107,1.000000
2,0,1,19,44,17,11,5,22,15,24,4,1,19,44,1.090909
3,0,1,13,14,6,3,7,1,12,1,0,1,13,14,1.000000
4,0,1,14,22,18,7,6,7,12,7,2,1,14,22,1.000000
5,0,1,1,11,16,0,0,9,0,9,1,1,1,11,1.000000
6,0,1,9,35,35,4,4,20,7,26,1,1,9,35,1.300000
7,0,1,6,17,30,2,4,10,5,10,1,1,6,17,1.000000
8,0,1,1,17,43,0,0,16,0,16,0,1,1,17,1.000000
9,0,1,2,16,34,1,4,14,1,14,0,1,2,16,1.000000
10,1,2,12,33,66,2,6,19,10,21,0,1,11,32,1.105263
11,1,2,68,85,92,5,7,14,13,16,1,1,67,84,1.142857
12,1,2,5,38,39,1,2,27,3,31,2,1,4,37,1.148148
13,1,2,2,30,68,0,0,28,0,28,0,1,1,29,1.000000
14,1,2,4,14,47,0,2,10,2,10,0,1,3,13,1.000000
15,1,2,2,24,37,0,0,22,0,22,0,1,1,23,1.000000
16,1,2,2,12,72,0,0,10,0,10,0,1,1,11,1.000000
17,1,2,51,71,50,0,8,17,5,19,1,1,50,70,1.117647
18,1,2,11,26,17,4,5,13,9,13,2,1,10,25,1.000000
19,1,2,3,35,45,0,1,32,1,32,0,1,2,34,1.000000
20,2,3,15,30,5,2,7,15,9,15,1,1,13,28,1.000000
21,2,3,56,75,56,2,4,15,5,19,0,1,54,73,1.266667
22,2,3,3,9,36,0,0,6,0,6,0,1,1,7,1.000000
23,2,3,4,37,40,0,1,27,1,31,2,1,2,35,1.148148
24,2,3,6,9,31,0,3,2,3,2,1,1,4,7,1.000000
25,2,3,14,23,19,1,11,4,5,6,4,1,12,21,1.500000
26,2,3,4,26,39,0,1,20,1,22,0,1,2,24,1.100000
27,2,3,8,25,26,1,2,13,5,17,0,1,6,23,1.307692
28,2,3,6,21,92,0,3,15,3,15,0,1,4,19,1.000000
29,2,3,71,92,90,0,13,21,4,21,0,1,69,90,1.000000
30,3,4,4,18,13,0,0,14,0,14,0,1,1,15,1.000000
31,3,4,12,27,42,0,8,15,8,15,0,1,9,24,1.000000
32,3,4,5,38,56,0,1,30,1,32,1,1,2,35,1.066667
33,3,4,5,14,32,0,1,8,1,8,1,1,2,11,1.000000
34,3,4,76,88,14,0,12,10,5,12,0,1,73,85,1.200000
35,3,4,19,43,20,1,9,15,10,23,1,1,16,40,1.533333
36,3,4,94,115,94,0,11,17,5,21,0,1,91,112,1.235294
37,3,4,9,23,59,3,8,14,4,14,1,1,6,20,1.000000
38,3,4,14,24,80,2,11,10,9,10,1,1,11,21,1.000000
39,3,4,5,6,21,0,1,1,1,1,0,1,2,3,1.000000
40,4,5,12,15,28,1,7,3,5,3,2,1,8,11,1.000000
41,4,5,5,24,59,0,0,19,0,19,0,1,1,20,1.000000
42,4,5,114,136,89,2,15,21,9,21,1,1,110,132,1.000000
43,4,5,8,38,95,2,6,30,3,30,0,1,4,34,1.000000
44,4,5,5,31,22,0,0,26,0,26,0,1,1,27,1.000000
45,4,5,8,43,33,1,14,21,3,35,0,1,4,39,1.666667
46,4,5,5,10,5,0,0,5,0,5,0,1,1,6,1.000000
47,4,5,9,23,26,0,4,10,4,14,0,1,5,19,1.400000
48,4,5,18,45,51,1,10,19,6,25,2,1,14,41,1.315789
49,4,5,7,22,53,2,2,15,2,15,0,1,3,18,1.000000
50,5,6,24,40,51,1,10,16,3,16,0,1,19,35,1.000000
51,5,6,17,33,29,2,12,15,7,15,1,1,12,28,1.000000
52,5,6,8,36,12,1,11,26,2,28,0,1,3,31,1.076923
53,5,6,97,128,11,2,15,19,7,29,2,1,92,123,1.526316
54,5,6,9,24,89,1,9,15,2,15,1,1,4,19,1.000000
55,5,6,8,42,79,0,2,32,2,34,0,1,3,37,1.062500
56,5,6,9,28,23,1,14,14,3,18,1,1,4,23,1.285714
57,5,6,20,36,57,0,9,15,6,15,1,1,15,31,1.000000
58,5,6,10,22,25,1,5,12,3,12,1,1,5,17,1.000000
59,5,6,13,47,53,2,6,28,6,34,0,1,8,42,1.214286
60,6,7,29,47,8,0,8,18,5,18,0,1,23,41,1.000000
61,6,83,83,107,64,0,0,22,0,24,0,77,77,101,1.090909
62,6,7,119,158,62,7,6,36,22,38,2,1,113,152,1.055556
63,6,7,39,58,96,4,10,17,12,19,0,1,33,52,1.117647
64,6,7,7,42,2,0,0,31,0,33,2,1,1,36,1.064516
65,6,8,12,25,19,0,2,12,3,12,1,2,6,19,1.000000
66,6,7,98,136,33,0,5,32,5,38,0,1,92,130,1.187500
67,6,7,8,43,38,0,1,33,1,35,0,1,2,37,1.060606
68,6,44,45,61,16,0,1,14,1,16,0,38,39,55,1.142857
69,6,7,10,20,84,2,1,10,3,10,0,1,4,14,1.000000
70,7,8,10,54,23,0,2,38,2,40,4,1,3,47,1.052632
71,7,15,34,44,94,1,10,8,2,8,3,8,27,37,1.000000
72,7,8,10,30,71,0,2,17,2,19,1,1,3,23,1.117647
73,7,8,13,44,63,1,5,25,4,31,1,1,6,37,1.240000
74,7,8,9,38,84,0,1,27,1,29,0,1,2,31,1.074074
