agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,58,6,107,3,6,104
1,5,28,33,110,8,30,105
2,6,61,4,106,1,4,105
3,6,44,8,119,4,8,115
4,3,51,17,103,3,16,101
5,4,56,14,101,8,11,96
6,5,66,10,95,5,10,90
7,5,74,19,78,5,18,74
8,5,48,4,119,2,3,118
9,5,37,8,126,3,8,123
10,5,55,7,109,4,6,106
11,5,34,21,116,5,19,113
12,4,20,13,138,5,13,133
13,4,68,16,87,7,13,83
14,5,69,9,93,5,8,89
15,4,42,9,120,2,8,119
16,6,42,19,110,4,18,107
17,4,52,24,95,6,22,91
18,5,32,8,131,11,7,121
19,5,27,26,118,7,24,113
20,5,29,11,131,5,11,126
21,5,51,9,111,5,9,106
22,4,24,35,112,7,34,106
23,4,60,17,94,2,16,93
24,5,29,19,123,1,19,122
25,4,44,4,123,0,4,123
26,6,50,8,113,4,8,109
27,5,64,7,100,2,7,98
28,6,64,6,101,3,6,98
29,4,51,5,115,4,5,111
30,8,20,17,134,4,17,130
31,5,25,21,125,4,19,123
32,5,28,15,128,3,15,125
33,5,50,10,111,4,10,107
34,8,17,10,144,6,10,138
35,6,25,11,135,6,8,132
36,5,65,2,104,2,2,102
37,4,34,13,124,5,12,120
38,4,67,13,91,3,13,88
39,6,28,14,129,4,14,125
40,5,28,15,128,2,14,127
41,4,68,15,88,3,15,85
42,6,14,17,140,7,14,136
43,6,37,6,128,4,6,124
44,5,56,11,104,2,10,103
45,3,46,14,111,1,13,111
46,6,34,5,132,5,5,127
47,7,45,8,118,2,8,116
48,4,63,6,102,4,6,98
49,5,39,11,121,4,10,118
50,6,36,20,115,4,18,113
51,7,34,19,118,4,19,114
52,4,40,5,126,2,5,124
53,5,59,18,94,6,16,90
54,5,51,20,100,2,20,98
55,4,61,5,105,1,5,104
56,5,48,14,109,4,12,107
57,4,23,11,137,0,11,137
58,6,60,7,104,1,7,103
59,5,29,22,120,2,21,119
60,5,34,26,111,7,26,104
61,6,49,24,98,5,24,93
62,5,18,6,147,2,6,145
63,4,64,13,94,7,13,87
64,5,66,9,96,1,9,95
65,6,44,15,112,6,14,107
66,5,53,16,102,3,16,99
67,5,42,11,118,3,11,115
68,5,59,6,106,3,6,103
69,6,25,8,138,2,8,136
70,4,61,13,97,2,12,96
71,5,53,14,104,6,13,99
72,6,60,6,105,1,6,104
73,4,33,18,120,7,15,116
74,5,28,16,127,0,16,127
75,5,66,7,98,3,7,95
76,3,57,9,105,3,8,103
77,5,69,7,95,4,7,91
78,5,46,12,113,3,11,111
79,6,44,17,110,6,16,105
80,4,43,9,119,1,9,118
81,6,48,9,114,3,9,111
82,4,66,1,104,2,1,102
83,6,13,17,141,3,16,139
84,5,29,17,125,6,16,120
85,4,55,6,110,0,6,110
86,5,63,3,105,1,3,104
87,7,61,6,104,7,5,98
88,5,43,25,103,3,25,100
89,5,34,21,116,3,19,115
90,4,66,16,89,4,16,85
91,7,18,19,134,2,19,132
92,4,55,12,104,2,12,102
93,6,43,2,126,1,2,125
94,5,45,11,115,6,10,110
95,5,49,7,115,6,7,109
96,5,45,12,114,4,11,111
97,5,54,5,112,5,4,108
98,3,52,7,112,1,6,112
99,4,29,16,126,2,15,125
