timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,90,9,1,0,0.9195027
2,0,30,10,20,80,14,6,0,0.9195236
3,1,39,10,29,71,19,10,2,0.919675
4,1,49,10,39,61,25,14,2,0.9196304
5,2,58,10,48,52,31,17,2,0.9195011
6,2,68,10,58,42,35,23,2,0.9196709
7,2,78,13,65,35,35,30,3,0.9197321
8,2,88,21,67,33,29,38,3,0.9195941
9,2,98,26,72,28,24,48,5,0.9195651
10,4,106,34,72,28,21,51,9,0.9195468
11,5,115,37,78,22,20,58,11,0.9195907
12,7,123,38,85,15,23,62,14,0.9197156
13,9,131,40,91,9,24,67,19,0.9195856
14,11,139,42,97,3,26,71,25,0.9195366
15,13,147,49,98,2,24,74,29,0.919635
16,15,155,57,98,2,22,76,34,0.919708
17,17,163,65,98,2,18,80,36,0.9195324
18,20,170,73,97,3,13,84,39,0.9194933
19,23,177,80,97,3,11,86,42,0.9194773
20,24,186,87,99,1,5,94,43,0.9194549
21,28,192,96,96,4,3,93,45,0.9194522
22,38,192,102,90,10,6,84,48,0.9196565
23,39,201,102,99,1,7,92,53,0.9195138
24,45,205,111,94,6,6,88,57,0.9194376
25,50,210,115,95,5,6,89,58,0.9194962
26,52,218,120,98,2,7,91,61,0.9195946
27,52,228,128,100,0,3,97,67,0.9194899
28,56,234,138,96,4,2,94,69,0.9194341
29,61,239,144,95,5,3,92,71,0.9196811
30,65,245,149,96,4,4,92,75,0.9196412
31,67,253,155,98,2,3,95,78,0.9194508
32,70,260,163,97,3,2,95,81,0.9195051
33,73,267,170,97,3,1,96,82,0.9194177
34,81,269,177,92,8,1,91,88,0.9194124
35,84,276,179,97,3,2,95,89,0.9195037
36,87,283,186,97,3,2,95,93,0.919515
37,92,288,193,95,5,1,94,98,0.9194352
38,99,291,198,93,7,3,90,105,0.9194766
39,103,297,201,96,4,5,91,110,0.9194955
40,109,301,207,94,6,1,93,112,0.9194856
41,111,309,211,98,2,1,97,117,0.9194613
42,115,315,219,96,4,2,94,120,0.9196691
43,121,319,225,94,6,2,92,121,0.9194627
44,126,324,229,95,5,5,90,121,0.9195397
45,127,333,234,99,1,1,98,124,0.91953
46,132,338,243,95,5,1,94,128,0.9194387
47,135,345,248,97,3,2,95,133,0.9194671
48,141,349,255,94,6,2,92,144,0.9194329
49,144,356,259,97,3,3,94,145,0.9194717
50,152,348,256,92,8,4,88,148,0.9194464
51,159,341,248,93,7,2,91,152,0.9194556
52,165,335,241,94,6,1,93,155,0.9194347
53,172,328,235,93,7,2,91,159,0.9194894
54,176,324,228,96,4,3,93,161,0.9194421
55,181,319,224,95,5,1,94,164,0.9194415
56,183,317,219,98,2,2,96,164,0.9195762
57,188,312,217,95,5,1,94,168,0.9195104
58,194,306,212,94,6,2,92,173,0.9194609
59,199,301,206,95,5,6,89,174,0.9196258
60,203,297,201,96,4,6,90,175,0.9194269
61,205,295,197,98,2,2,96,178,0.9194531
62,211,289,195,94,6,3,91,181,0.919457
63,216,284,189,95,5,3,92,183,0.919412
64,218,282,184,98,2,6,92,185,0.9194302
65,228,272,182,90,10,5,85,188,0.9194504
66,233,267,172,95,5,5,90,191,0.919508
67,242,258,167,91,9,4,87,194,0.9194608
68,244,256,158,98,2,6,92,197,0.9195044
69,249,251,156,95,5,3,92,200,0.9194868
70,253,247,151,96,4,3,93,204,0.9194389
71,258,242,147,95,5,3,92,206,0.9194278
72,262,238,142,96,4,6,90,210,0.9194095
73,263,237,138,99,1,7,92,213,0.9194568
74,265,235,137,98,2,5,93,216,0.9194267
75,273,227,135,92,8,3,89,218,0.9194643
76,278,222,127,95,5,6,89,222,0.9194183
77,278,222,122,100,0,6,94,226,0.9194245
78,283,217,122,95,5,5,90,230,0.9194208
79,287,213,117,96,4,7,89,231,0.9194289
80,290,210,113,97,3,8,89,235,0.9194229
81,296,204,110,94,6,6,88,237,0.9194509
82,298,202,104,98,2,6,92,241,0.9194056
83,301,199,102,97,3,5,92,242,0.9194367
84,311,189,99,90,10,6,84,243,0.9195534
85,316,184,89,95,5,11,84,247,0.9194271
86,319,181,84,97,3,10,87,253,0.9194235
87,323,177,81,96,4,11,85,257,0.9195037
