task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,8,18,0,0,7,0,7,0,1,1,8,1.000000
1,0,1,11,20,43,3,9,7,10,9,0,1,11,20,1.285714
2,0,1,2,14,50,0,1,12,1,12,0,1,2,14,1.000000
3,0,1,2,25,35,0,1,23,1,23,0,1,2,25,1.000000
4,0,1,6,36,30,1,3,24,5,30,0,1,6,36,1.250000
5,0,1,3,16,28,0,2,13,2,13,0,1,3,16,1.000000
6,0,1,8,22,39,5,6,13,7,13,1,1,8,22,1.000000
7,0,1,9,26,17,0,6,14,6,14,3,1,9,26,1.000000
8,0,1,2,26,99,0,1,20,1,24,0,1,2,26,1.200000
9,0,1,1,36,47,0,0,35,0,35,0,1,1,36,1.000000
10,1,2,81,110,30,0,7,28,6,28,1,1,80,109,1.000000
11,1,2,3,25,44,0,1,22,1,22,0,1,2,24,1.000000
12,1,2,9,28,48,4,4,15,6,19,1,1,8,27,1.266667
13,1,2,2,37,62,0,0,31,0,35,0,1,1,36,1.129032
14,1,2,12,46,53,4,10,19,10,33,1,1,11,45,1.736842
15,1,2,6,26,39,2,5,18,4,20,0,1,5,25,1.111111
16,1,2,4,20,40,0,2,14,2,16,0,1,3,19,1.142857
17,1,2,11,36,51,5,7,19,8,23,3,1,10,35,1.210526
18,1,2,2,10,54,0,0,8,0,8,0,1,1,9,1.000000
19,1,2,4,33,36,0,2,27,2,29,0,1,3,32,1.074074
20,2,3,8,29,61,0,5,18,5,20,1,1,6,27,1.111111
21,2,3,39,66,57,1,9,16,12,24,4,1,37,64,1.500000
22,2,3,13,27,56,3,7,13,8,13,3,1,11,25,1.000000
23,2,3,28,49,92,5,8,9,13,19,3,1,26,47,2.111111
24,2,3,10,24,49,2,10,12,7,14,0,1,8,22,1.166667
25,2,3,6,30,26,1,2,24,3,24,0,1,4,28,1.000000
26,2,3,4,11,68,0,1,7,1,7,0,1,2,9,1.000000
27,2,3,39,53,63,1,9,14,7,14,0,1,37,51,1.000000
28,2,3,3,16,66,0,0,13,0,13,0,1,1,14,1.000000
29,2,3,7,14,73,0,4,7,4,7,0,1,5,12,1.000000
30,3,4,9,38,31,2,4,24,3,28,2,1,6,35,1.166667
31,3,4,9,12,81,0,5,3,5,3,0,1,6,9,1.000000
32,3,4,7,15,59,0,2,8,2,8,1,1,4,12,1.000000
33,3,4,15,30,16,2,7,12,9,12,4,1,12,27,1.000000
34,3,4,8,25,91,2,6,17,4,17,0,1,5,22,1.000000
35,3,4,19,35,15,1,6,16,11,16,1,1,16,32,1.000000
36,3,4,10,23,93,2,6,13,5,13,1,1,7,20,1.000000
37,3,4,67,87,26,2,6,13,3,19,2,1,64,84,1.461538
38,3,4,31,51,64,2,10,17,7,19,1,1,28,48,1.117647
39,3,4,7,22,58,1,5,15,3,15,0,1,4,19,1.000000
40,4,5,6,17,55,0,1,11,1,11,0,1,2,13,1.000000
41,4,5,12,30,24,1,5,15,7,17,1,1,8,26,1.133333
42,4,5,5,30,13,0,0,21,0,23,2,1,1,26,1.095238
43,4,5,5,41,20,0,0,28,0,36,0,1,1,37,1.285714
44,4,5,5,13,34,0,0,8,0,8,0,1,1,9,1.000000
45,4,5,25,42,42,2,11,15,7,17,0,1,21,38,1.133333
46,4,5,7,31,71,0,2,24,2,24,0,1,3,27,1.000000
47,4,5,77,106,45,0,12,27,3,29,1,1,73,102,1.074074
48,4,5,93,126,37,1,9,21,4,33,1,1,89,122,1.571429
49,4,5,9,29,38,0,4,18,4,20,0,1,5,25,1.111111
50,5,6,8,38,23,1,4,27,2,29,1,1,3,33,1.074074
51,5,6,13,22,94,1,9,9,7,9,0,1,8,17,1.000000
52,5,6,9,21,19,1,6,12,3,12,0,1,4,16,1.000000
53,5,6,9,22,14,1,13,13,3,13,0,1,4,17,1.000000
54,5,97,97,131,48,0,0,30,0,34,0,92,92,126,1.133333
55,5,6,6,39,72,0,0,32,0,32,1,1,1,34,1.000000
56,5,6,8,17,33,1,10,6,2,8,1,1,3,12,1.333333
57,5,6,13,35,80,3,5,20,6,22,1,1,8,30,1.100000
58,5,6,7,9,5,0,1,2,1,2,0,1,2,4,1.000000
59,5,6,76,97,92,1,5,18,4,20,1,1,71,92,1.111111
60,6,7,10,32,76,0,3,20,3,22,0,1,4,26,1.100000
61,6,7,10,27,14,1,7,16,3,16,1,1,4,21,1.000000
62,6,13,35,63,82,1,8,28,3,28,0,7,29,57,1.000000
63,6,7,9,31,75,0,2,22,2,22,0,1,3,25,1.000000
64,6,7,10,16,77,0,3,6,3,6,0,1,4,10,1.000000
65,6,7,7,34,60,0,0,26,0,26,1,1,1,28,1.000000
66,6,7,10,38,37,0,3,26,3,28,0,1,4,32,1.076923
67,6,12,15,22,45,0,3,6,3,6,1,6,9,16,1.000000
68,6,10,68,111,64,1,4,24,2,40,3,4,62,105,1.666667
69,6,12,37,81,82,3,8,30,6,44,0,6,31,75,1.466667
70,7,8,12,42,41,0,4,29,4,29,1,1,5,35,1.000000
71,7,8,10,43,33,0,2,29,2,33,0,1,3,36,1.137931
72,7,8,11,32,63,1,3,15,2,19,3,1,4,25,1.266667
73,7,41,41,62,46,0,0,14,0,20,1,34,34,55,1.428571
74,7,8,8,40,7,0,0,26,0,32,0,1,1,33,1.230769
75,7,19,19,28,30,0,0,8,0,8,1,12,12,21,1.000000
76,7,8,8,25,67,0,0,15,0,15,2,1,1,18,1.000000
77,7,8,8,35,52,0,0,25,0,27,0,1,1,28,1.080000
78,7,14,15,27,89,1,10,12,1,12,0,7,8,20,1.000000
79,7,8,11,27,78,1,7,16,3,16,0,1,4,20,1.000000
80,8,9,14,28,11,3,2,10,4,14,1,1,6,20,1.400000
81,8,14,83,116,87,2,12,16,5,32,4,6,75,108,2.000000
82,8,11,11,32,64,0,0,18,0,20,1,3,3,24,1.111111
83,8,14,32,47,86,1,14,15,2,15,0,6,24,39,1.000000
84,8,9,9,41,26,0,0,32,0,32,0,1,1,33,1.000000
85,8,9,13,38,9,3,4,25,3,25,1,1,5,30,1.000000
86,8,11,119,144,19,3,4,19,14,25,1,3,111,136,1.315789
87,8,18,64,82,30,0,1,14,1,18,0,10,56,74,1.285714
88,8,10,23,32,22,0,8,9,1,9,0,2,15,24,1.000000
89,8,11,70,99,42,1,3,22,6,28,2,3,62,91,1.272727
90,9,14,16,24,34,0,2,8,2,8,0,5,7,15,1.000000
91,9,11,24,50,5,2,5,25,5,25,1,2,15,41,1.000000
92,9,99,99,124,0,0,0,24,0,24,1,90,90,115,1.000000
93,9,10,15,22,21,1,6,7,5,7,0,1,6,13,1.000000
94,9,11,15,30,65,0,4,15,4,15,0,2,6,21,1.000000
95,9,13,23,36,90,1,10,13,7,13,0,4,14,27,1.000000
96,9,10,16,19,27,3,7,3,6,3,0,1,7,10,1.000000
97,9,10,12,32,56,0,2,18,2,20,0,1,3,23,1.111111
98,9,10,18,38,1,4,7,18,8,20,0,1,9,29,1.111111
99,9,10,18,48,69,1,4,30,6,30,0,1,9,39,1.000000
100,10,14,38,46,85,3,16,6,3,8,2,4,28,36,1.333333
101,10,11,11,63,83,0,0,26,0,52,0,1,1,53,2.000000
102,10,11,18,23,0,7,4,5,5,5,2,1,8,13,1.000000
103,10,11,16,34,3,2,7,18,5,18,0,1,6,24,1.000000
104,10,12,75,82,14,0,10,5,2,5,2,2,65,72,1.000000
105,10,28,28,38,80,0,0,10,0,10,0,18,18,28,1.000000
106,10,46,46,74,51,0,0,24,0,28,0,36,36,64,1.166667
107,10,95,102,132,69,0,2,29,3,29,1,85,92,122,1.000000
108,10,11,63,98,70,0,6,24,7,32,3,1,53,88,1.333333
109,10,11,12,35,21,0,1,21,1,23,0,1,2,25,1.095238
110,11,12,13,43,8,0,1,25,1,29,1,1,2,32,1.160000
111,11,12,12,31,78,0,0,15,0,19,0,1,1,20,1.266667
112,11,12,14,49,74,1,3,34,2,34,1,1,3,38,1.000000
113,11,12,12,38,63,0,0,18,0,22,4,1,1,27,1.222222
114,11,47,47,66,96,0,0,19,0,19,0,36,36,55,1.000000
115,11,12,104,158,69,0,2,36,1,50,4,1,93,147,1.388889
116,11,106,110,131,88,1,8,19,4,21,0,95,99,120,1.105263
117,11,12,19,36,96,3,9,16,7,16,1,1,8,25,1.000000
118,11,33,33,63,28,0,0,20,0,28,2,22,22,52,1.400000
119,11,27,27,32,43,0,0,5,0,5,0,16,16,21,1.000000
120,12,13,14,42,74,0,1,26,1,28,0,1,2,30,1.076923
121,12,98,98,149,69,0,0,33,0,49,2,86,86,137,1.484848
122,12,13,15,19,0,0,2,4,2,4,0,1,3,7,1.000000
123,12,13,47,73,14,1,6,17,3,25,1,1,35,61,1.470588
124,12,13,26,48,25,2,10,20,3,22,0,1,14,36,1.100000
125,12,13,15,40,11,1,5,23,2,25,0,1,3,28,1.086957
126,12,13,13,39,97,0,0,24,0,26,0,1,1,27,1.083333
127,12,50,50,85,43,0,0,20,0,32,3,38,38,73,1.600000
128,12,13,13,40,69,0,0,25,0,25,2,1,1,28,1.000000
129,12,22,24,44,16,0,2,18,2,18,2,10,12,32,1.000000
130,13,46,48,77,91,0,2,23,0,27,3,33,35,64,1.173913
131,13,33,33,49,43,0,0,7,0,15,1,20,20,36,2.142857
132,13,17,20,32,28,0,3,12,3,12,0,4,7,19,1.000000
133,13,39,39,56,10,0,0,11,0,15,2,26,26,43,1.363636
134,13,49,49,74,44,0,0,11,0,25,0,36,36,61,2.272727
135,13,14,17,49,4,0,3,26,3,32,0,1,4,36,1.230769
136,13,14,14,55,94,0,0,17,0,41,0,1,1,42,2.411765
137,13,14,18,48,79,3,4,22,3,30,1,1,5,35,1.363636
138,13,29,29,50,30,0,0,17,0,21,0,16,16,37,1.235294
139,13,26,26,56,67,0,0,30,0,30,0,13,13,43,1.000000
140,14,15,119,146,85,1,12,27,10,27,1,1,105,132,1.000000
141,14,31,32,60,19,0,1,26,1,28,0,17,18,46,1.076923
142,14,95,95,125,42,0,0,22,0,30,0,81,81,111,1.363636
143,14,26,31,49,51,0,3,18,1,18,0,12,17,35,1.000000
144,14,15,16,26,2,1,2,7,1,9,1,1,2,12,1.285714
145,14,116,117,147,60,1,5,27,1,29,1,102,103,133,1.074074
146,14,15,15,23,58,0,0,8,0,8,0,1,1,9,1.000000
147,14,29,29,49,49,0,0,18,0,20,0,15,15,35,1.111111
148,14,53,53,91,22,0,0,14,0,38,0,39,39,77,2.714286
149,14,15,21,34,96,3,6,12,6,12,1,1,7,20,1.000000
150,15,16,19,26,25,1,2,7,3,7,0,1,4,11,1.000000
151,15,16,18,46,11,0,2,26,2,28,0,1,3,31,1.076923
152,15,16,30,43,79,2,5,4,5,12,3,1,15,28,3.000000
153,15,116,127,166,87,1,1,29,9,39,2,101,112,151,1.344828
154,15,76,81,99,53,1,2,8,3,16,4,61,66,84,2.000000
155,15,100,100,119,46,0,0,19,0,19,0,85,85,104,1.000000
156,15,16,18,35,3,0,2,11,2,17,0,1,3,20,1.545455
157,15,16,17,22,29,0,1,1,1,5,0,1,2,7,5.000000
158,15,16,18,44,86,1,6,14,2,26,0,1,3,29,1.857143
159,15,16,18,58,84,0,2,36,2,38,2,1,3,43,1.055556
160,16,115,121,141,29,2,9,20,4,20,1,99,105,125,1.000000
161,16,84,88,95,20,0,1,7,3,7,0,68,72,79,1.000000
162,16,17,20,24,68,0,3,1,3,3,1,1,4,8,3.000000
163,16,17,20,54,77,0,3,32,3,34,0,1,4,38,1.062500
164,16,20,21,44,59,1,1,23,0,23,1,4,5,28,1.000000
165,16,17,73,115,85,1,7,29,5,41,1,1,57,99,1.413793
166,16,17,17,74,2,0,0,43,0,57,0,1,1,58,1.325581
167,16,49,49,64,1,0,0,15,0,15,0,33,33,48,1.000000
168,16,117,123,144,30,0,6,21,6,21,0,101,107,128,1.000000
169,16,100,104,119,61,0,4,14,4,14,1,84,88,103,1.000000
170,17,34,34,48,35,0,0,10,0,14,0,17,17,31,1.400000
171,17,20,29,46,0,0,2,14,6,16,1,3,12,29,1.142857
172,17,18,19,39,87,0,1,15,1,19,1,1,2,22,1.266667
173,17,21,21,37,40,0,0,16,0,16,0,4,4,20,1.000000
174,17,82,82,104,11,0,0,14,0,20,2,65,65,87,1.428571
175,17,30,33,41,61,0,2,7,2,7,2,13,16,24,1.000000
176,17,18,24,37,85,0,6,12,6,12,1,1,7,20,1.000000
177,17,83,86,98,0,0,3,12,3,12,0,66,69,81,1.000000
178,17,43,44,57,45,0,1,10,1,12,1,26,27,40,1.200000
179,17,18,19,32,95,0,1,11,1,13,0,1,2,15,1.181818
180,18,19,20,55,86,0,1,28,1,34,1,1,2,37,1.214286
181,18,19,20,66,55,0,1,39,1,45,1,1,2,48,1.153846
182,18,24,27,32,91,0,3,5,3,5,0,6,9,14,1.000000
183,18,37,38,81,47,0,1,41,1,43,0,19,20,63,1.048780
184,18,19,22,43,89,0,3,18,3,20,1,1,4,25,1.111111
185,18,84,84,121,89,0,0,32,0,36,1,66,66,103,1.125000
186,18,65,66,93,3,0,1,27,1,27,0,47,48,75,1.000000
187,18,33,33,60,95,0,0,25,0,27,0,15,15,42,1.080000
188,18,44,44,75,33,0,0,21,0,29,2,26,26,57,1.380952
189,18,30,30,52,38,0,0,20,0,22,0,12,12,34,1.100000
190,19,83,83,108,16,0,0,21,0,25,0,64,64,89,1.190476
191,19,20,20,36,79,0,0,14,0,16,0,1,1,17,1.142857
192,19,103,106,130,59,0,3,17,3,23,1,84,87,111,1.352941
193,19,36,36,53,21,0,0,16,0,16,1,17,17,34,1.000000
194,19,28,29,57,42,0,1,23,1,27,1,9,10,38,1.173913
195,19,70,70,92,64,0,0,20,0,20,2,51,51,73,1.000000
196,19,40,40,72,58,0,0,14,0,32,0,21,21,53,2.285714
197,19,37,38,73,29,0,1,31,1,35,0,18,19,54,1.129032
198,19,21,21,41,59,0,0,18,0,20,0,2,2,22,1.111111
199,19,58,58,85,93,0,0,22,0,26,1,39,39,66,1.181818
200,20,40,40,77,72,0,0,25,0,37,0,20,20,57,1.480000
201,20,37,37,64,90,0,0,17,0,25,2,17,17,44,1.470588
202,20,60,60,80,49,0,0,15,0,19,1,40,40,60,1.266667
203,20,35,62,82,60,1,1,14,5,20,1,15,42,62,1.428571
204,20,39,40,52,37,0,1,9,1,11,1,19,20,32,1.222222
205,20,25,84,111,51,0,4,21,1,27,1,5,64,91,1.285714
206,20,79,79,98,80,0,0,19,0,19,0,59,59,78,1.000000
