agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,42,41,223,5,40,219
1,10,42,48,216,2,47,215
2,9,30,53,223,2,52,222
3,11,28,46,232,2,46,230
4,12,63,45,198,1,45,197
5,13,22,65,219,9,63,212
6,10,37,67,202,5,62,202
7,11,50,52,204,6,52,198
8,6,67,49,190,3,47,189
9,8,60,61,185,3,59,184
10,9,23,35,248,3,35,245
11,11,43,38,225,3,38,222
12,7,64,26,216,3,26,213
13,9,66,57,183,5,56,179
14,11,35,54,217,2,52,217
15,13,58,63,185,1,62,185
16,10,57,30,219,2,29,218
17,9,60,33,213,6,29,211
18,13,44,52,210,6,49,207
19,9,44,12,250,0,12,250
20,12,47,51,208,5,49,205
21,8,64,60,182,5,58,179
22,9,46,28,232,4,28,228
23,10,58,74,174,3,73,172
24,9,71,48,187,1,48,186
25,8,51,57,198,6,54,195
26,10,68,49,189,4,46,188
27,10,78,39,189,0,39,189
28,12,68,48,190,3,48,187
29,10,62,40,204,2,38,204
30,10,40,57,209,4,54,208
31,9,56,40,210,5,37,208
32,8,45,61,200,4,59,198
33,10,67,44,195,2,43,194
34,11,43,23,240,6,22,235
35,11,63,63,180,3,61,179
36,10,28,45,233,7,42,229
37,10,28,60,218,3,59,216
38,10,61,31,214,5,29,211
39,12,42,54,210,2,53,209
40,9,69,51,186,2,50,185
41,9,53,34,219,4,34,215
42,8,70,71,165,4,68,164
43,10,48,49,209,8,45,205
44,11,68,42,196,4,41,193
45,9,56,49,201,6,46,198
46,11,48,42,216,10,38,210
47,11,27,45,234,3,44,232
48,11,43,56,207,5,55,203
49,10,53,42,211,4,40,209
