task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,26,43,0,0,25,0,25,0,1,1,26,1.000000
2,1,2,5,14,18,0,3,9,3,9,0,1,4,13,1.000000
3,1,2,5,33,0,0,3,28,3,28,0,1,4,32,1.000000
4,2,3,14,28,14,1,8,12,11,12,2,1,12,26,1.000000
5,2,3,3,24,20,0,0,21,0,21,0,1,1,22,1.000000
6,3,4,12,31,1,6,8,19,8,19,0,1,9,28,1.000000
7,3,4,15,40,41,0,11,25,11,25,0,1,12,37,1.000000
8,4,5,18,37,1,5,10,19,13,19,0,1,14,33,1.000000
9,4,5,6,22,10,1,4,16,1,16,0,1,2,18,1.000000
10,5,6,19,32,32,5,7,13,13,13,0,1,14,27,1.000000
11,5,6,11,16,48,0,5,4,5,4,1,1,6,11,1.000000
12,6,7,12,43,45,0,5,27,5,31,0,1,6,37,1.148148
13,6,7,8,37,34,0,1,27,1,27,2,1,2,31,1.000000
14,7,8,30,47,37,2,10,12,22,16,1,1,23,40,1.333333
15,7,8,10,33,15,1,1,21,2,23,0,1,3,26,1.095238
16,8,9,17,29,15,2,10,12,8,12,0,1,9,21,1.000000
17,8,9,25,29,25,6,9,4,16,4,0,1,17,21,1.000000
18,9,10,17,35,5,2,7,16,7,18,0,1,8,26,1.125000
19,9,10,15,30,36,3,8,14,5,14,1,1,6,21,1.000000
20,10,11,17,47,32,2,5,26,6,30,0,1,7,37,1.153846
21,10,11,15,27,15,0,4,12,4,12,0,1,5,17,1.000000
22,11,12,17,40,7,0,5,21,5,23,0,1,6,29,1.095238
23,11,12,14,43,38,0,2,28,2,28,1,1,3,32,1.000000
24,12,13,33,38,49,4,14,5,20,5,0,1,21,26,1.000000
25,12,13,19,50,47,0,6,29,6,31,0,1,7,38,1.068966
26,13,14,32,64,5,2,5,30,18,32,0,1,19,51,1.066667
27,13,14,27,43,32,3,3,12,11,16,2,1,14,30,1.333333
28,14,15,23,41,22,0,8,12,8,18,0,1,9,27,1.500000
29,14,15,15,24,44,0,0,9,0,9,0,1,1,10,1.000000
30,15,16,16,47,31,0,0,31,0,31,0,1,1,32,1.000000
31,15,16,26,44,36,0,8,15,8,17,3,1,11,29,1.133333
32,16,17,20,38,26,0,3,12,3,18,0,1,4,22,1.500000
33,16,17,29,51,18,6,3,20,11,22,1,1,13,35,1.100000
34,17,18,25,65,13,0,7,34,7,40,0,1,8,48,1.176471
35,17,18,23,27,18,2,5,4,5,4,0,1,6,10,1.000000
36,18,19,33,56,2,1,4,23,14,23,0,1,15,38,1.000000
37,18,19,22,37,37,0,3,14,3,14,1,1,4,19,1.000000
38,19,20,37,61,46,9,4,18,17,24,0,1,18,42,1.333333
39,19,20,43,76,12,11,9,25,18,33,0,1,24,57,1.320000
40,20,21,27,52,46,3,5,21,6,25,0,1,7,32,1.190476
41,20,21,30,51,48,3,7,21,9,21,0,1,10,31,1.000000
42,21,22,49,87,46,6,9,20,22,38,1,1,28,66,1.900000
43,21,22,22,60,30,0,0,36,0,38,0,1,1,39,1.055556
44,22,23,28,45,12,0,5,17,5,17,0,1,6,23,1.000000
45,22,23,30,67,2,0,7,23,7,37,0,1,8,45,1.608696
46,23,24,29,33,19,1,14,4,5,4,0,1,6,10,1.000000
47,23,24,35,47,23,2,6,12,11,12,0,1,12,24,1.000000
48,24,25,29,47,44,4,4,17,4,17,1,1,5,23,1.000000
49,24,25,30,40,16,2,3,8,5,10,0,1,6,16,1.250000
50,25,26,32,49,17,0,5,15,5,17,1,1,7,24,1.133333
51,25,26,27,68,19,0,1,41,1,41,0,1,2,43,1.000000
52,26,27,36,68,24,7,9,23,9,31,1,1,10,42,1.347826
53,26,27,29,64,8,0,2,33,2,35,0,1,3,38,1.060606
54,27,28,35,49,15,1,5,14,7,14,0,1,8,22,1.000000
55,27,28,31,49,39,0,3,18,3,18,0,1,4,22,1.000000
56,28,29,40,61,35,2,30,21,11,21,0,1,12,33,1.000000
57,28,29,33,67,24,0,4,32,4,34,0,1,5,39,1.062500
58,29,30,48,60,27,3,30,12,18,12,0,1,19,31,1.000000
59,29,30,31,63,40,0,1,32,1,32,0,1,2,34,1.000000
60,30,31,36,47,35,0,5,11,5,11,0,1,6,17,1.000000
61,30,31,32,51,49,0,1,19,1,19,0,1,2,21,1.000000
62,31,32,34,55,14,1,10,19,2,21,0,1,3,24,1.105263
63,31,32,40,55,1,1,6,13,8,15,0,1,9,24,1.153846
64,32,33,33,37,29,0,0,4,0,4,0,1,1,5,1.000000
65,32,33,36,56,27,0,3,20,3,20,0,1,4,24,1.000000
66,33,34,36,53,1,0,2,17,2,17,0,1,3,20,1.000000
67,33,34,39,54,20,0,5,15,5,15,0,1,6,21,1.000000
68,34,35,43,60,14,1,4,17,8,17,0,1,9,26,1.000000
69,34,35,37,58,23,0,2,21,2,21,0,1,3,24,1.000000
70,35,36,43,77,10,0,7,27,7,33,1,1,8,42,1.222222
71,35,44,53,60,28,0,7,7,9,7,0,9,18,25,1.000000
72,36,39,78,107,26,0,5,29,6,29,0,3,42,71,1.000000
73,36,41,43,60,41,0,2,17,2,17,0,5,7,24,1.000000
74,37,38,49,78,3,5,7,29,11,29,0,1,12,41,1.000000
75,37,38,76,82,34,5,7,6,23,6,0,1,39,45,1.000000
