timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,48,2,0,0,0.9209769
2,0,6,2,4,46,4,0,0,0.9207695
3,0,8,2,6,44,6,0,0,0.920872
4,0,10,2,8,42,6,2,0,0.9208743
5,0,12,2,10,40,7,3,0,0.9207716
6,0,14,2,12,38,6,6,0,0.9209087
7,0,16,2,14,36,8,6,0,0.9207941
8,0,18,2,16,34,8,8,0,0.9209872
9,0,20,2,18,32,10,8,0,0.9207498
10,0,22,2,20,30,12,8,0,0.9207642
11,0,24,2,22,28,11,11,0,0.9208239
12,0,26,2,24,26,11,13,0,0.9208135
13,0,28,2,26,24,12,14,1,0.9207779
14,0,30,2,28,22,11,17,1,0.9207877
15,1,31,2,29,21,13,16,1,0.9208409
16,1,33,2,31,19,14,17,3,0.9209135
17,1,35,2,33,17,15,18,3,0.9209161
18,2,36,2,34,16,15,19,3,0.920823
19,2,38,2,36,14,15,21,3,0.9208421
20,2,40,2,38,12,16,22,3,0.9210167
21,2,42,2,40,10,17,23,3,0.9210133
22,3,43,2,41,9,18,23,4,0.9208684
23,4,44,2,42,8,18,24,4,0.9209021
24,4,46,2,44,6,19,25,4,0.921072
25,4,48,2,46,4,19,27,6,0.9210206
26,5,49,2,47,3,18,29,7,0.9211446
27,6,50,2,48,2,19,29,8,0.9208684
28,6,52,2,50,0,17,33,8,0.9208557
29,7,53,4,49,1,15,34,8,0.9209793
30,9,53,5,48,2,14,34,8,0.9212461
31,11,53,5,48,2,14,34,9,0.9209667
32,12,54,5,49,1,16,33,9,0.9208767
33,15,53,6,47,3,15,32,11,0.9209934
34,16,54,5,49,1,14,35,11,0.9211277
35,18,54,6,48,2,15,33,12,0.920885
36,18,56,6,50,0,13,37,13,0.9207854
37,19,57,8,49,1,11,38,13,0.9208065
38,19,59,9,50,0,9,41,13,0.9208624
39,22,58,11,47,3,9,38,15,0.9212408
40,22,60,10,50,0,9,41,16,0.9208904
41,24,60,12,48,2,7,41,17,0.920803
42,24,62,12,50,0,7,43,17,0.9209119
43,28,60,14,46,4,5,41,18,0.9207154
44,30,60,12,48,2,7,41,18,0.9209029
45,32,60,12,48,2,7,41,18,0.9207378
46,33,61,12,49,1,7,42,18,0.9207881
47,36,60,13,47,3,7,40,19,0.920748
48,36,62,12,50,0,8,42,19,0.9209468
49,40,60,14,46,4,8,38,20,0.9209788
50,41,61,12,49,1,9,40,21,0.9209222
51,42,62,13,49,1,8,41,21,0.9209318
52,43,63,14,49,1,5,44,22,0.9207771
53,47,61,15,46,4,6,40,22,0.9208842
54,48,62,13,49,1,9,40,22,0.9209911
55,50,62,14,48,2,7,41,23,0.9208755
56,52,62,14,48,2,6,42,23,0.9209074
57,54,62,14,48,2,6,42,25,0.9207694
58,55,63,14,49,1,8,41,27,0.9210236
59,55,65,15,50,0,8,42,27,0.9209236
60,56,66,17,49,1,6,43,28,0.9208666
61,57,67,18,49,1,5,44,28,0.9208492
62,57,69,19,50,0,5,45,29,0.9248307
63,58,70,21,49,1,4,45,30,0.9201904
64,58,72,22,50,0,3,47,30,0.9206407
65,60,72,24,48,2,1,47,30,0.9207249
66,65,69,24,45,5,3,42,30,0.9209909
67,68,68,21,47,3,6,41,31,0.9208994
68,70,68,20,48,2,8,40,31,0.9207839
69,71,69,20,49,1,9,40,33,0.9209517
70,74,68,21,47,3,9,38,34,0.9208387
71,81,63,20,43,7,12,31,36,0.9205697
72,82,64,15,49,1,15,34,37,0.920871
73,84,64,16,48,2,13,35,37,0.9208258
74,88,62,16,46,4,15,31,37,0.920766
75,92,60,14,46,4,18,28,38,0.9211057
76,94,60,12,48,2,19,29,40,0.9210492
77,96,60,12,48,2,19,29,40,0.9208964
78,97,61,12,49,1,18,31,42,0.9208849
79,97,63,13,50,0,14,36,42,0.9208265
80,99,63,15,48,2,13,35,43,0.9210376
81,99,65,15,50,0,13,37,43,0.9210348
82,101,65,17,48,2,9,39,45,0.9208095
83,102,66,17,49,1,9,40,46,0.9208045
84,106,64,18,46,4,8,38,46,0.9209418
