timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,48,2,0,0,0.9203797
2,0,6,2,4,46,4,0,0,0.9203436
3,0,8,2,6,44,6,0,0,0.9203902
4,0,10,2,8,42,6,2,0,0.9204726
5,0,12,2,10,40,7,3,0,0.9205007
6,0,14,2,12,38,6,6,0,0.9205407
7,0,16,2,14,36,8,6,0,0.9333301
8,0,18,2,16,34,8,8,0,0.920286
9,0,20,2,18,32,10,8,0,0.920353
10,0,22,2,20,30,12,8,0,0.9204609
11,0,24,2,22,28,12,10,0,0.9203544
12,0,26,2,24,26,13,11,0,0.9203292
13,0,28,2,26,24,14,12,0,0.9203456
14,0,30,2,28,22,12,16,0,0.920403
15,0,32,2,30,20,13,17,0,0.9203526
16,0,34,2,32,18,13,19,0,0.9203129
17,1,35,2,33,17,14,19,1,0.9204845
18,2,36,2,34,16,13,21,1,0.9203226
19,2,38,2,36,14,13,23,1,0.9203626
20,2,40,3,37,13,13,24,1,0.9203563
21,3,41,4,37,13,13,24,2,0.920358
22,3,43,5,38,12,13,25,3,0.920395
23,5,43,6,37,13,13,24,3,0.9203235
24,6,44,7,37,13,13,24,4,0.9203747
25,6,46,7,39,11,10,29,5,0.9203414
26,6,48,6,42,8,12,30,7,0.9204067
27,6,50,8,42,8,10,32,7,0.9203867
28,6,52,9,43,7,10,33,7,0.9204066
29,7,53,10,43,7,10,33,7,0.9203256
30,8,54,11,43,7,10,33,8,0.9203374
31,11,53,12,41,9,10,31,9,0.9203543
32,12,54,12,42,8,11,31,10,0.9203413
33,13,55,13,42,8,8,34,10,0.9203425
34,15,55,14,41,9,5,36,10,0.9203234
35,15,57,14,43,7,4,39,10,0.9203991
36,16,58,13,45,5,5,40,11,0.9203781
37,18,58,15,43,7,3,40,12,0.9210225
38,20,58,14,44,6,6,38,12,0.9206262
39,24,56,13,43,7,5,38,12,0.9203752
40,24,58,12,46,4,5,41,14,0.9203752
41,27,57,13,44,6,4,40,14,0.9203783
42,27,59,13,46,4,4,42,14,0.9205523
43,29,59,15,44,6,3,41,16,0.9203495
44,34,56,15,41,9,5,36,16,0.9203507
45,35,57,15,42,8,5,37,16,0.9203846
46,38,56,15,41,9,7,34,16,0.9203257
47,39,57,15,42,8,7,35,16,0.9204131
48,40,58,15,43,7,6,37,18,0.9205135
49,40,60,16,44,6,5,39,19,0.9204223
50,41,61,17,44,6,4,40,20,0.9204095
51,45,59,17,42,8,3,39,20,0.9203622
52,47,59,16,43,7,4,39,21,0.9203619
53,48,60,16,44,6,3,41,21,0.9203925
54,49,61,16,45,5,5,40,21,0.9204135
55,50,62,17,45,5,2,43,21,0.9203188
56,54,60,16,44,6,4,40,23,0.9203067
57,56,60,16,44,6,4,40,23,0.9203331
