agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,10,79,42,204,5,41,200
1,12,50,30,245,2,28,245
2,12,38,54,233,3,54,230
3,9,93,29,203,3,28,201
4,9,56,34,235,5,34,230
5,13,68,50,207,5,48,204
6,12,93,38,194,1,38,193
7,12,74,29,222,3,29,219
8,13,55,30,240,4,29,237
9,12,82,22,221,3,22,218
10,11,70,51,204,4,48,203
11,11,86,26,213,2,26,211
12,9,99,27,199,1,27,198
13,13,49,36,240,3,36,237
14,11,51,46,228,1,46,227
15,10,113,33,179,6,30,176
16,9,87,25,213,4,25,209
17,11,46,36,243,3,36,240
18,10,74,28,223,4,26,221
19,8,128,24,173,1,23,173
20,11,76,42,207,3,40,206
21,10,47,20,258,3,20,255
22,13,61,25,239,1,25,238
23,8,126,42,157,5,39,155
24,8,101,23,201,3,23,198
25,11,83,44,198,7,41,194
26,9,83,41,201,1,41,200
27,10,71,47,207,6,43,205
28,9,82,39,204,3,39,201
29,10,118,39,168,3,38,166
30,10,84,27,214,3,27,211
31,13,46,31,248,3,29,247
32,9,77,38,210,4,36,208
33,10,85,58,182,5,56,179
34,10,44,38,243,7,35,239
35,6,161,34,130,2,33,129
36,9,38,39,248,7,38,242
37,10,78,43,204,3,42,202
38,11,117,46,162,5,45,158
39,9,135,60,130,4,58,128
40,6,140,22,163,2,21,162
41,12,81,47,197,3,46,195
42,12,93,26,206,4,25,203
43,9,66,21,238,0,21,238
44,8,98,28,199,4,28,195
45,7,161,28,136,3,26,135
46,10,81,35,209,3,34,207
47,12,50,44,231,4,44,227
48,5,159,24,142,2,24,140
49,6,141,18,166,1,17,166
