task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,26,43,0,0,25,0,25,0,1,1,26,1.000000
2,1,2,5,14,18,0,3,9,3,9,0,1,4,13,1.000000
3,1,2,5,33,0,0,3,28,3,28,0,1,4,32,1.000000
4,2,3,11,23,14,0,8,12,8,12,0,1,9,21,1.000000
5,2,3,3,24,17,0,0,21,0,21,0,1,1,22,1.000000
6,3,4,15,34,1,1,8,19,11,19,0,1,12,31,1.000000
7,3,4,15,40,36,0,11,25,11,25,0,1,12,37,1.000000
8,4,5,15,34,3,1,13,19,10,19,0,1,11,30,1.000000
9,4,5,9,26,10,0,4,16,4,16,1,1,5,22,1.000000
10,5,6,13,26,29,0,7,13,7,13,0,1,8,21,1.000000
11,5,6,13,20,48,1,5,4,7,6,1,1,8,15,1.500000
12,6,7,10,42,48,0,3,27,3,31,1,1,4,36,1.148148
13,6,7,8,35,31,0,1,27,1,27,0,1,2,29,1.000000
14,7,8,30,44,38,2,11,12,22,14,0,1,23,37,1.166667
15,7,8,9,34,6,0,1,21,1,25,0,1,2,27,1.190476
16,8,9,17,29,15,1,9,12,8,12,0,1,9,21,1.000000
17,8,9,22,26,25,1,9,4,12,4,1,1,14,18,1.000000
18,9,10,24,43,5,1,7,16,14,18,1,1,15,34,1.125000
19,9,10,16,31,21,1,9,14,6,14,1,1,7,22,1.000000
20,10,11,21,47,32,0,10,26,10,26,0,1,11,37,1.000000
21,10,11,14,30,16,1,8,12,3,16,0,1,4,20,1.333333
22,11,12,17,38,7,0,5,21,5,21,0,1,6,27,1.000000
23,11,12,15,45,44,0,3,28,3,28,2,1,4,34,1.000000
24,12,13,29,34,45,0,14,5,16,5,0,1,17,22,1.000000
25,12,13,19,48,47,0,6,29,6,29,0,1,7,36,1.000000
26,13,14,19,49,2,1,12,30,5,30,0,1,6,36,1.000000
27,13,14,29,41,28,1,13,12,15,12,0,1,16,28,1.000000
28,14,15,23,37,22,0,8,12,8,14,0,1,9,23,1.166667
29,14,15,15,27,49,0,0,9,0,11,1,1,1,13,1.222222
30,15,16,18,51,34,0,2,31,2,33,0,1,3,36,1.064516
31,15,16,29,56,28,2,11,15,12,27,1,1,14,41,1.800000
32,16,17,17,33,28,0,0,12,0,16,0,1,1,17,1.333333
33,16,17,20,44,18,0,3,20,3,22,2,1,4,28,1.100000
34,17,18,25,62,12,0,7,34,7,36,1,1,8,45,1.058824
35,17,18,25,29,41,0,7,4,7,4,0,1,8,12,1.000000
36,18,19,29,54,4,0,10,23,10,25,0,1,11,36,1.086957
37,18,19,23,37,38,0,4,14,4,14,0,1,5,19,1.000000
38,19,20,23,42,46,0,3,18,3,18,1,1,4,23,1.000000
39,19,20,34,73,13,1,9,25,12,39,1,1,15,54,1.560000
40,20,21,38,59,20,0,15,21,14,21,0,1,18,39,1.000000
41,20,21,33,56,37,1,11,21,12,23,0,1,13,36,1.095238
42,21,22,48,87,9,2,23,20,11,38,2,1,27,66,1.900000
43,21,22,22,58,30,0,0,36,0,36,0,1,1,37,1.000000
44,22,23,28,46,16,1,9,17,5,17,1,1,6,24,1.000000
45,22,23,33,70,8,1,18,23,10,37,0,1,11,48,1.608696
46,23,24,47,53,19,2,14,4,9,6,2,1,24,30,1.500000
47,23,24,30,42,23,0,6,12,6,12,0,1,7,19,1.000000
48,24,25,32,49,42,3,13,17,7,17,0,1,8,25,1.000000
49,24,25,30,38,19,0,5,8,5,8,0,1,6,14,1.000000
50,25,26,37,55,9,1,7,15,11,17,1,1,12,30,1.133333
51,25,26,32,74,24,0,6,41,6,41,1,1,7,49,1.000000
52,26,28,35,64,16,4,2,23,6,29,1,2,9,38,1.260870
53,26,27,30,65,8,0,3,33,3,35,0,1,4,39,1.060606
54,27,28,28,45,39,0,0,14,0,16,1,1,1,18,1.142857
55,27,28,28,46,29,0,0,18,0,18,0,1,1,19,1.000000
56,28,29,30,51,20,0,1,21,1,21,0,1,2,23,1.000000
57,28,34,41,75,27,0,7,32,7,34,0,6,13,47,1.062500
58,29,30,38,52,9,0,2,12,6,14,0,1,9,23,1.166667
59,29,30,31,63,42,0,1,32,1,32,0,1,2,34,1.000000
60,30,31,39,51,40,0,8,11,8,11,1,1,9,21,1.000000
61,30,31,35,56,49,0,4,19,4,21,0,1,5,26,1.105263
62,31,34,34,54,0,0,0,19,0,19,1,3,3,23,1.000000
63,31,32,41,56,9,0,5,13,7,15,0,1,10,25,1.153846
64,32,37,40,44,45,0,3,4,3,4,0,5,8,12,1.000000
65,32,33,40,60,15,0,4,20,6,20,1,1,8,28,1.000000
66,33,34,39,58,9,1,3,17,5,19,0,1,6,25,1.117647
67,33,34,37,52,26,0,1,15,3,15,0,1,4,19,1.000000
68,34,35,40,62,1,0,5,17,5,21,1,1,6,28,1.235294
69,34,35,40,63,28,1,6,21,5,23,0,1,6,29,1.095238
70,35,36,39,73,41,1,4,27,3,33,1,1,4,38,1.222222
71,35,39,49,61,41,1,5,7,10,11,1,4,14,26,1.571429
72,36,84,84,113,10,0,0,29,0,29,0,48,48,77,1.000000
73,36,41,43,60,36,0,2,17,2,17,0,5,7,24,1.000000
74,37,38,50,81,35,0,4,29,7,31,0,1,13,44,1.068966
75,37,39,77,83,28,0,5,6,25,6,1,2,40,46,1.000000
