agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,42,30,249,2,30,247
1,11,52,26,243,0,26,243
2,11,75,41,205,3,39,204
3,12,77,32,212,2,32,210
4,8,67,27,227,0,27,227
5,10,76,20,225,2,19,224
6,10,68,39,214,4,39,210
7,10,86,23,212,6,22,207
8,12,69,61,191,4,60,188
9,12,63,43,215,3,41,214
10,9,50,34,237,1,33,237
11,13,67,30,224,1,30,223
12,13,66,43,212,4,43,208
13,8,123,20,178,4,20,174
14,11,73,23,225,7,21,220
15,12,76,58,187,10,53,182
16,11,75,31,215,3,31,212
17,10,120,38,163,5,37,159
18,10,55,42,224,2,41,223
19,9,95,28,198,3,27,196
20,10,94,30,197,6,27,194
21,9,59,40,222,1,39,222
22,11,115,28,178,7,27,172
23,8,69,29,223,4,27,221
24,10,119,31,171,4,29,169
25,10,78,45,198,7,43,193
26,8,126,31,164,0,31,164
27,9,97,22,202,2,22,200
28,10,60,30,231,2,30,229
29,11,80,22,219,3,22,216
30,11,77,30,214,7,29,208
31,10,71,29,221,3,29,218
32,9,75,25,221,3,24,219
33,9,87,25,209,1,25,208
34,7,124,14,183,0,14,183
35,7,148,24,149,0,24,149
36,11,64,45,212,1,45,211
37,11,80,23,218,4,23,214
38,11,121,27,173,3,26,171
39,10,71,24,226,2,22,226
40,8,117,11,193,1,11,192
41,9,98,38,185,4,36,183
42,9,95,26,200,3,26,197
43,12,98,30,193,1,30,192
44,10,91,38,192,2,38,190
45,9,86,35,200,3,34,198
46,8,93,22,206,0,22,206
47,12,45,43,233,6,42,228
48,11,33,32,256,2,32,254
49,7,109,32,180,6,31,175
