timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,48,2,0,0,0.9204824
2,0,6,2,4,46,4,0,0,0.9209374
3,0,8,2,6,44,6,0,0,0.9205463
4,0,10,2,8,42,7,1,0,0.920366
5,0,12,2,10,40,8,2,0,0.9203399
6,0,14,2,12,38,9,3,0,0.9204417
7,0,16,2,14,36,7,7,0,0.9204845
8,1,17,2,15,35,8,7,0,0.9204716
9,1,19,2,17,33,9,8,0,0.9204736
10,1,21,2,19,31,9,10,0,0.9204097
11,1,23,2,21,29,10,11,0,0.9203363
12,1,25,2,23,27,12,11,0,0.920712
13,2,26,2,24,26,12,12,0,0.9203906
14,2,28,2,26,24,13,13,0,0.9204263
15,2,30,2,28,22,10,18,1,0.9203394
16,5,29,2,27,23,10,17,1,0.9204842
17,5,31,2,29,21,11,18,3,0.9205145
18,5,33,2,31,19,13,18,3,0.9204089
19,5,35,2,33,17,11,22,4,0.9206997
20,6,36,2,34,16,10,24,5,0.920461
21,7,37,2,35,15,10,25,5,0.9203278
22,9,37,2,35,15,11,24,5,0.9204229
23,10,38,2,36,14,13,23,5,0.9206423
24,12,38,2,36,14,9,27,6,0.9204324
25,13,39,2,37,13,8,29,6,0.9203274
26,13,41,2,39,11,10,29,6,0.9203985
27,14,42,2,40,10,12,28,6,0.9203675
28,14,44,2,42,8,12,30,6,0.9205171
29,15,45,2,43,7,13,30,7,0.9206381
30,16,46,2,44,6,13,31,8,0.9203678
31,17,47,2,45,5,14,31,9,0.9203575
32,21,45,2,43,7,14,29,10,0.9204858
33,23,45,2,43,7,15,28,12,0.9206755
34,24,46,2,44,6,16,28,13,0.9205677
35,26,46,2,44,6,17,27,13,0.9203723
36,27,47,2,45,5,17,28,13,0.9203514
37,29,47,2,45,5,17,28,13,0.9203525
38,30,48,2,46,4,17,29,15,0.9204776
39,33,47,2,45,5,15,30,16,0.9206762
40,36,46,2,44,6,16,28,17,0.9205192
41,37,47,2,45,5,16,29,17,0.9204332
42,39,47,2,45,5,17,28,18,0.9204037
43,42,46,2,44,6,17,27,18,0.9204746
44,46,44,2,42,8,16,26,18,0.920516
45,46,46,2,44,6,13,31,18,0.9207427
46,47,47,2,45,5,12,33,19,0.9204931
47,48,48,2,46,4,11,35,20,0.9206224
48,50,48,2,46,4,12,34,20,0.9204087
49,50,50,2,48,2,9,39,22,0.9203973
50,52,50,2,48,2,11,37,23,0.9204146
51,55,49,2,47,3,13,34,25,0.9208142
52,55,51,2,49,1,14,35,25,0.9206085
53,56,52,3,49,1,15,34,25,0.9206699
54,56,54,4,50,0,14,36,26,0.9205962
55,56,56,6,50,0,13,37,27,0.9205755
56,59,55,8,47,3,13,34,27,0.9205261
57,60,56,7,49,1,14,35,27,0.9204541
58,65,53,8,45,5,14,31,27,0.9204923
59,69,51,5,46,4,17,29,29,0.9204739
60,70,52,3,49,1,18,31,29,0.9204046
61,72,52,4,48,2,13,35,29,0.9204047
62,73,53,4,49,1,14,35,30,0.9204053
63,74,54,5,49,1,12,37,32,0.9203739
64,76,54,6,48,2,13,35,34,0.9205616
65,77,55,6,49,1,13,36,35,0.9208675
66,79,55,7,48,2,10,38,37,0.9205138
67,82,54,7,47,3,10,37,38,0.9203947
68,83,55,6,49,1,9,40,38,0.920378
69,83,57,7,50,0,8,42,39,0.9205807
70,83,59,9,50,0,6,44,40,0.9206555
71,86,58,11,47,3,3,44,40,0.9205634
72,88,58,10,48,2,5,43,40,0.9203758
73,88,60,10,50,0,6,44,41,0.9205051
74,90,60,12,48,2,5,43,41,0.9204441
75,90,62,12,50,0,6,44,43,0.9203742
76,92,62,14,48,2,4,44,46,0.920297
77,93,63,14,49,1,6,43,47,0.9203191
78,94,64,15,49,1,6,43,47,0.920295
79,95,65,16,49,1,6,43,47,0.9202812
80,99,63,17,46,4,7,39,47,0.9203398
81,101,63,15,48,2,7,41,47,0.9203686
82,104,62,15,47,3,5,42,48,0.9203483
83,106,62,14,48,2,5,43,49,0.9203204
84,109,61,14,47,3,4,43,49,0.9203297
85,110,62,13,49,1,5,44,50,0.9203484
86,114,60,14,46,4,6,40,51,0.9203195
87,116,60,12,48,2,8,40,51,0.920381
88,117,61,12,49,1,8,41,51,0.9203739
89,117,63,13,50,0,8,42,52,0.9204392
90,119,63,15,48,2,8,40,55,0.9203049
91,123,61,15,46,4,9,37,57,0.9203223
92,126,60,13,47,3,10,37,58,0.9203496
93,128,60,12,48,2,12,36,60,0.9203533
94,131,59,12,47,3,13,34,60,0.920479
95,132,60,11,49,1,13,36,61,0.9204012
96,134,60,12,48,2,11,37,62,0.9203043
97,136,60,12,48,2,10,38,62,0.9203125
98,138,60,12,48,2,11,37,62,0.920355
99,138,62,12,50,0,10,40,62,0.9204177
100,141,61,14,47,3,7,40,62,0.9203424
101,141,63,13,50,0,7,43,62,0.9203561
102,142,64,15,49,1,5,44,62,0.9203771
103,144,64,16,48,2,2,46,62,0.9203573
104,146,64,16,48,2,4,44,62,0.9203266
105,146,66,16,50,0,4,46,62,0.9202971
106,146,68,18,50,0,4,46,63,0.9203043
107,148,68,20,48,2,3,45,63,0.9203579
108,151,67,20,47,3,5,42,65,0.9203296
109,154,66,19,47,3,7,40,65,0.9203467
110,156,66,18,48,2,8,40,65,0.9203314
111,162,62,18,44,6,7,37,67,0.9203325
112,164,62,14,48,2,12,36,67,0.9203601
113,166,62,14,48,2,11,37,67,0.9203293
114,168,62,14,48,2,10,38,67,0.920323
115,168,64,14,50,0,9,41,70,0.9203834
116,168,66,16,50,0,7,43,70,0.9203659
117,171,65,18,47,3,6,41,71,0.920331
118,174,64,17,47,3,7,40,71,0.9203026
119,175,65,16,49,1,8,41,72,0.920425
120,177,65,17,48,2,8,40,73,0.9206736
121,180,64,17,47,3,8,39,74,0.9203578
122,181,65,16,49,1,8,41,74,0.920319
123,181,67,17,50,0,8,42,74,0.9203085
124,182,68,19,49,1,8,41,76,0.9203097
125,186,66,20,46,4,8,38,76,0.9203066
126,186,68,18,50,0,10,40,76,0.9202915
127,188,68,20,48,2,7,41,77,0.9203739
128,191,67,20,47,3,7,40,80,0.9203399
129,192,68,19,49,1,7,42,80,0.9203725
130,195,67,20,47,3,6,41,82,0.9203864
131,196,68,19,49,1,8,41,82,0.9202938
132,198,68,20,48,2,6,42,83,0.9203352
133,200,68,20,48,2,7,41,83,0.920367
134,203,67,20,47,3,8,39,86,0.9203033
135,204,68,19,49,1,11,38,87,0.9203002
136,208,66,20,46,4,10,36,89,0.9203385
137,210,66,18,48,2,12,36,90,0.9204251
138,211,67,18,49,1,11,38,90,0.9203281
139,212,68,19,49,1,9,40,90,0.9204915
140,213,69,20,49,1,7,42,90,0.9203223
141,216,68,21,47,3,8,39,90,0.9202898
142,218,68,20,48,2,9,39,90,0.9203204
143,222,66,20,46,4,7,39,91,0.9203535
144,224,66,18,48,2,10,38,92,0.9203383
145,225,67,18,49,1,11,38,93,0.9203214
146,226,68,19,49,1,8,41,93,0.9203759
147,227,69,20,49,1,7,42,95,0.9203752
148,229,69,21,48,2,5,43,96,0.9204713
149,230,70,21,49,1,5,44,97,0.9203352
150,231,71,22,49,1,3,46,98,0.9203084
151,234,70,23,47,3,3,44,98,0.9203728
152,236,70,22,48,2,4,44,98,0.9203493
153,240,68,22,46,4,6,40,98,0.9203056
154,244,66,20,46,4,9,37,98,0.9203474
155,246,66,18,48,2,10,38,99,0.920311
156,251,63,18,45,5,11,34,100,0.9203231
157,253,63,15,48,2,10,38,101,0.9203601
158,255,63,15,48,2,9,39,102,0.9205411
159,256,64,15,49,1,10,39,105,0.9203266
160,258,64,16,48,2,8,40,105,0.9203256
161,260,64,16,48,2,9,39,105,0.9203409
162,260,66,16,50,0,9,41,106,0.9203605
163,260,68,18,50,0,8,42,108,0.9203508
164,261,69,20,49,1,5,44,108,0.9203127
165,263,69,21,48,2,5,43,109,0.9203313
166,264,70,21,49,1,5,44,109,0.92034
167,266,70,22,48,2,5,43,109,0.9203015
168,268,70,22,48,2,3,45,110,0.920363
169,269,71,22,49,1,4,45,110,0.9203128
170,271,71,23,48,2,4,44,110,0.9204503
171,273,71,23,48,2,6,42,110,0.9202997
172,275,71,23,48,2,8,40,111,0.9203351
173,275,73,23,50,0,8,42,112,0.9203172
174,275,75,25,50,0,4,46,113,0.9203168
175,275,77,27,50,0,3,47,114,0.9203049
176,277,77,29,48,2,3,45,114,0.9203639
177,281,75,29,46,4,3,43,114,0.9202958
178,283,75,27,48,2,6,42,115,0.9202917
179,284,76,27,49,1,7,42,115,0.9203134
180,286,76,28,48,2,6,42,116,0.9204083
181,287,77,28,49,1,7,42,117,0.9203079
182,294,72,29,43,7,7,36,117,0.9202932
183,295,73,24,49,1,10,39,118,0.9202998
184,297,73,25,48,2,7,41,119,0.9203325
185,299,73,25,48,2,7,41,119,0.9203087
186,302,72,25,47,3,7,40,119,0.9203156
187,302,74,24,50,0,7,43,119,0.9204758
188,305,73,26,47,3,5,42,119,0.9202981
189,307,73,25,48,2,7,41,120,0.9202947
190,311,71,25,46,4,7,39,121,0.9203578
191,313,71,23,48,2,9,39,121,0.9203658
192,318,68,23,45,5,11,34,122,0.920455
193,318,70,20,50,0,13,37,122,0.9203715
194,322,68,22,46,4,10,36,123,0.9203867
195,324,68,20,48,2,13,35,123,0.9202965
196,328,66,20,46,4,13,33,126,0.9203261
197,330,66,18,48,2,14,34,126,0.9203008
198,330,68,18,50,0,10,40,126,0.9203039
199,330,70,20,50,0,7,43,127,0.9203609
200,331,71,22,49,1,5,44,127,0.9203186
201,331,73,23,50,0,6,44,127,0.9203189
202,333,73,25,48,2,4,44,127,0.9203184
203,335,73,25,48,2,5,43,127,0.9203789
204,335,75,25,50,0,6,44,129,0.9203079
205,337,75,27,48,2,6,42,129,0.9202993
206,340,74,27,47,3,6,41,129,0.9203275
207,341,75,26,49,1,5,44,129,0.9204315
208,343,75,27,48,2,4,44,129,0.9204436
209,344,76,27,49,1,5,44,130,0.9203355
210,345,77,28,49,1,4,45,130,0.9203324
