agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,9,51,50,206,3,50,203
1,11,59,52,196,9,47,192
2,10,49,53,205,1,52,205
3,11,50,57,200,7,54,196
4,10,30,30,247,1,29,247
5,10,27,36,244,4,35,241
6,11,45,51,211,3,50,209
7,13,48,39,220,3,39,217
8,9,59,45,203,1,45,202
9,10,45,41,221,2,41,219
10,12,60,33,214,4,30,213
11,12,25,64,218,4,62,216
12,10,55,26,226,2,26,224
13,11,64,54,189,6,51,186
14,11,45,25,237,3,25,234
15,10,37,42,228,4,42,224
16,9,73,67,167,5,64,165
17,10,62,30,215,2,30,213
18,10,49,42,216,7,40,211
19,7,43,71,193,5,69,190
20,9,64,30,213,2,30,211
21,11,53,29,225,5,27,222
22,14,36,52,219,4,50,217
23,10,50,39,218,11,36,210
24,8,68,43,196,5,41,193
25,10,50,65,192,2,64,191
26,12,60,68,179,1,67,179
27,9,75,26,206,4,25,203
28,10,55,72,180,4,70,178
29,8,56,36,215,2,35,214
30,10,64,56,187,3,55,185
31,11,16,58,233,5,56,230
32,8,64,65,178,4,62,177
33,9,61,51,195,2,51,193
34,7,56,64,187,4,60,187
35,11,69,34,204,4,33,201
36,11,14,65,228,3,64,226
37,10,62,46,199,5,44,196
38,10,71,58,178,3,57,176
39,7,73,69,165,1,68,165
40,10,59,45,203,3,44,201
41,12,40,42,225,1,41,225
42,9,63,64,180,4,60,180
43,10,59,62,186,6,59,183
44,8,63,59,185,3,58,183
45,8,86,30,191,8,29,184
46,10,41,41,225,1,41,224
47,11,40,56,211,5,56,206
48,9,64,54,189,8,51,184
49,12,55,71,181,3,69,180
