agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,6,158,16,108,2,15,107
1,4,182,22,78,4,20,76
2,5,144,15,123,3,15,120
3,4,183,8,91,2,8,89
4,7,99,17,166,3,17,163
5,8,108,40,134,5,37,132
6,5,150,28,104,2,28,102
7,2,249,12,21,0,12,21
8,3,237,5,40,0,5,40
9,8,131,23,128,2,22,127
10,10,75,17,190,0,17,190
11,5,126,20,136,2,20,134
12,7,121,44,117,4,43,114
13,5,104,46,132,6,42,130
14,7,87,34,161,4,32,159
15,5,143,20,119,2,19,118
16,7,91,30,161,2,30,159
17,5,168,19,95,3,17,94
18,11,85,44,153,5,43,149
19,8,77,20,185,2,19,184
20,7,98,29,155,6,27,151
21,4,137,20,125,3,20,122
22,7,47,15,220,3,15,217
23,7,126,17,139,2,17,137
24,7,114,14,154,4,13,151
25,8,70,48,164,8,44,160
26,8,102,27,153,4,27,149
27,5,139,32,111,4,30,109
28,5,144,23,115,1,22,115
29,9,66,13,203,3,13,200
30,6,98,39,145,1,39,144
31,4,149,14,119,3,13,117
32,7,98,35,149,4,35,145
33,9,66,37,179,3,36,177
34,6,180,28,74,1,27,74
35,7,113,21,148,1,21,147
36,8,53,34,195,1,33,195
37,5,146,10,126,1,10,125
38,9,130,43,109,7,39,106
39,4,149,11,122,2,10,121
40,8,86,31,165,4,31,161
41,6,114,19,149,3,18,147
42,6,127,16,139,5,15,135
43,4,164,20,98,0,20,98
44,9,125,33,124,5,32,120
45,5,175,5,102,4,4,99
46,8,107,29,146,7,27,141
47,7,50,53,179,6,51,175
48,8,129,17,136,2,17,134
49,9,87,25,170,3,24,168
50,7,94,8,180,4,8,176
51,9,63,47,172,5,44,170
52,7,90,48,144,4,45,143
53,5,148,34,100,1,33,100
54,7,84,42,156,6,39,153
55,3,226,10,46,1,10,45
56,7,88,25,169,2,24,168
57,5,168,24,90,1,24,89
58,8,77,28,177,5,26,174
59,4,180,20,82,2,18,82
60,8,91,28,163,4,28,159
61,5,143,16,123,2,15,122
62,6,100,29,153,2,29,151
63,5,142,31,109,2,30,108
64,8,106,34,142,2,32,142
65,2,224,10,48,0,10,48
66,5,148,11,123,3,10,121
67,2,207,11,64,2,11,62
68,4,152,7,123,0,7,123
69,9,117,35,130,0,35,130
70,6,151,21,110,6,18,107
71,6,123,19,140,1,19,139
72,5,170,35,77,4,33,75
73,5,66,21,195,2,20,194
74,6,131,33,118,4,32,115
75,8,116,29,137,5,25,136
76,6,148,19,115,2,18,114
77,5,155,18,109,1,17,109
78,6,136,15,131,3,15,128
79,7,84,13,185,1,13,184
