task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,2,2,13,26,0,0,11,0,11,0,2,2,13,1.000000
1,0,2,2,27,58,0,0,25,0,25,0,2,2,27,1.000000
2,1,3,6,15,33,0,3,9,3,9,0,2,5,14,1.000000
3,1,3,3,43,8,0,0,28,0,40,0,2,2,42,1.428571
4,2,4,15,27,29,1,8,12,10,12,1,2,13,25,1.000000
5,2,4,4,25,32,0,0,21,0,21,0,2,2,23,1.000000
6,3,5,14,33,14,1,7,19,9,19,0,2,11,30,1.000000
7,3,5,12,39,79,0,7,25,7,27,0,2,9,36,1.080000
8,4,6,9,28,13,1,5,19,3,19,0,2,5,24,1.000000
9,4,6,8,24,25,1,4,16,2,16,0,2,4,20,1.000000
10,5,7,14,27,44,0,7,13,7,13,0,2,9,22,1.000000
11,5,7,14,18,63,1,5,4,7,4,0,2,9,13,1.000000
12,6,8,11,52,63,0,3,27,3,39,2,2,5,46,1.444444
13,6,8,9,38,46,0,1,27,1,29,0,2,3,32,1.074074
14,7,9,18,33,78,0,9,12,9,14,1,2,11,26,1.166667
15,7,9,10,33,21,0,1,21,1,23,0,2,3,26,1.095238
16,8,10,18,30,30,1,9,12,8,12,0,2,10,22,1.000000
17,8,10,22,26,40,1,9,4,11,4,1,2,14,18,1.000000
18,9,11,23,45,20,1,7,16,12,22,0,2,14,36,1.375000
19,9,11,17,31,51,1,8,14,6,14,0,2,8,22,1.000000
20,10,12,25,51,47,2,10,26,13,26,0,2,15,41,1.000000
21,10,12,15,27,31,1,8,12,3,12,0,2,5,17,1.000000
22,11,13,14,35,16,0,1,21,1,21,0,2,3,24,1.000000
23,11,13,15,43,53,0,2,28,2,28,0,2,4,32,1.000000
24,12,14,21,26,77,0,6,5,6,5,1,2,9,14,1.000000
25,12,14,14,43,76,0,0,29,0,29,0,2,2,31,1.000000
26,13,15,20,52,6,1,10,30,5,32,0,2,7,39,1.066667
27,13,15,30,53,43,5,13,12,14,22,2,2,17,40,1.833333
28,14,16,24,36,37,0,8,12,8,12,0,2,10,22,1.000000
29,14,16,16,26,59,0,0,9,0,9,1,2,2,12,1.000000
30,15,17,19,52,36,0,2,31,2,33,0,2,4,37,1.064516
31,15,17,29,46,43,3,11,15,11,17,1,2,14,31,1.133333
32,16,18,18,32,43,0,0,12,0,14,0,2,2,16,1.166667
33,16,18,21,43,33,0,3,20,3,22,0,2,5,27,1.100000
34,17,19,21,59,18,0,2,34,2,38,0,2,4,42,1.117647
35,17,19,26,30,56,0,7,4,7,4,0,2,9,13,1.000000
36,18,20,20,49,9,0,0,23,0,29,0,2,2,31,1.260870
