agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,137,53,101,2,53,99
1,4,179,55,57,5,51,56
2,3,180,44,67,4,41,66
3,2,208,29,54,0,29,54
4,5,164,35,92,3,33,91
5,6,165,22,104,3,22,101
6,6,153,16,122,2,16,120
7,5,172,18,101,0,18,101
8,10,91,44,156,7,41,152
9,7,117,28,146,3,26,145
10,4,183,20,88,2,20,86
11,4,161,6,124,0,6,124
12,6,96,30,165,1,30,164
13,8,77,36,178,8,34,172
14,9,54,39,198,2,38,197
15,6,106,22,163,1,22,162
16,9,100,24,167,2,24,165
17,5,167,24,100,4,22,98
18,8,83,30,178,4,27,177
19,6,113,36,142,5,34,139
20,8,125,30,136,0,30,136
21,7,116,35,140,3,34,138
22,7,100,30,161,3,28,160
23,7,107,19,165,3,19,162
24,4,189,13,89,1,13,88
25,6,130,45,116,4,44,113
26,10,97,22,172,3,22,169
27,8,110,29,152,1,29,151
28,8,119,33,139,4,31,137
29,7,147,31,113,3,30,111
30,9,53,34,204,3,34,201
31,7,67,33,191,4,32,188
32,8,134,22,135,3,21,133
33,8,106,45,140,3,43,139
34,6,88,16,187,2,14,187
35,9,120,20,151,4,18,149
36,9,137,30,124,5,29,120
37,8,111,26,154,2,26,152
38,6,132,37,122,3,37,119
39,7,141,36,114,5,32,113
40,7,118,47,126,6,45,122
41,8,118,28,145,3,28,142
42,7,122,23,146,4,21,144
43,9,111,26,154,6,26,148
44,8,99,20,172,4,19,169
45,6,116,8,167,4,8,163
46,6,84,16,191,4,15,188
47,8,99,33,159,3,32,157
48,5,184,24,83,1,24,82
49,6,120,11,160,2,11,158
50,6,119,20,152,3,20,149
51,7,82,36,173,4,35,170
52,6,109,35,147,8,31,143
53,8,90,23,178,6,22,173
54,9,109,26,156,2,25,155
55,4,191,16,84,1,15,84
56,7,126,30,135,4,29,132
57,7,135,14,142,2,13,141
58,8,114,25,152,3,25,149
59,6,139,20,132,3,20,129
60,7,108,27,156,1,27,155
61,7,115,22,154,1,22,153
62,6,117,15,159,5,14,155
63,7,138,30,123,2,29,122
64,8,82,28,181,6,28,175
65,2,217,5,69,0,5,69
66,3,209,11,71,1,11,70
67,2,223,6,62,3,6,59
68,4,212,9,70,4,9,66
69,6,164,15,112,0,15,112
70,6,92,11,188,0,11,188
71,9,86,34,171,6,32,167
72,6,117,40,134,4,38,132
73,3,216,3,72,0,3,72
74,2,215,11,65,0,11,65
75,4,231,9,51,2,7,51
76,2,223,2,66,2,1,65
77,4,199,15,77,3,13,76
78,5,133,24,134,5,22,131
79,4,167,33,91,7,32,85
