task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,23,56,0,0,20,0,22,0,1,1,23,1.100000
1,0,1,13,29,79,2,12,14,12,16,0,1,13,29,1.142857
2,1,2,12,34,14,1,8,22,10,22,0,1,11,33,1.000000
3,1,2,11,12,20,1,6,1,9,1,0,1,10,11,1.000000
4,2,3,20,30,13,3,9,7,17,9,1,1,18,28,1.285714
5,2,3,4,16,14,0,1,9,1,11,1,1,2,14,1.222222
6,3,4,12,33,20,2,3,20,7,20,2,1,9,30,1.000000
7,3,4,6,16,25,1,3,10,2,10,0,1,3,13,1.000000
8,4,5,5,21,33,0,0,16,0,16,0,1,1,17,1.000000
9,4,5,6,22,29,1,4,14,1,16,0,1,2,18,1.142857
10,5,6,12,41,51,0,6,19,6,29,0,1,7,36,1.526316
11,5,6,19,43,79,1,6,14,13,24,0,1,14,38,1.714286
12,6,7,7,34,40,0,0,27,0,27,0,1,1,28,1.000000
13,6,7,7,35,58,0,0,28,0,28,0,1,1,29,1.000000
14,7,8,10,20,37,0,2,10,2,10,0,1,3,13,1.000000
15,7,8,8,30,28,0,0,22,0,22,0,1,1,23,1.000000
16,8,9,9,19,62,0,0,10,0,10,0,1,1,11,1.000000
17,8,9,22,39,46,4,11,17,13,17,0,1,14,31,1.000000
18,9,10,17,30,12,2,11,13,7,13,0,1,8,21,1.000000
19,9,10,11,46,35,0,1,32,1,34,1,1,2,37,1.062500
20,10,11,18,33,5,0,7,15,7,15,0,1,8,23,1.000000
21,10,11,13,30,46,0,2,15,2,15,2,1,3,20,1.000000
22,11,12,12,18,26,0,0,6,0,6,0,1,1,7,1.000000
23,11,12,15,44,30,0,1,27,3,29,0,1,4,33,1.074074
24,12,13,17,19,21,0,3,2,3,2,1,1,5,7,1.000000
25,12,13,23,28,13,4,5,4,10,4,1,1,11,16,1.000000
26,13,14,16,36,24,0,2,20,2,20,0,1,3,23,1.000000
27,13,14,16,29,16,0,2,13,2,13,0,1,3,16,1.000000
28,14,15,36,51,77,5,10,15,19,15,2,1,22,37,1.000000
29,14,15,31,52,36,11,9,21,16,21,0,1,17,38,1.000000
30,15,16,18,32,11,0,2,14,2,14,0,1,3,17,1.000000
31,15,16,23,40,32,0,7,15,7,17,0,1,8,25,1.133333
32,16,17,20,50,49,0,3,30,3,30,0,1,4,34,1.000000
33,16,17,17,26,27,0,0,8,0,8,1,1,1,10,1.000000
34,17,18,20,30,13,0,2,10,2,10,0,1,3,13,1.000000
35,17,18,22,37,14,0,4,15,4,15,0,1,5,20,1.000000
36,18,19,30,47,43,7,13,17,10,17,1,1,12,29,1.000000
37,18,19,31,45,71,3,9,14,12,14,0,1,13,27,1.000000
38,19,20,28,38,72,3,10,10,8,10,0,1,9,19,1.000000
39,19,20,31,32,21,2,10,1,11,1,0,1,12,13,1.000000
40,20,21,23,26,37,0,2,3,2,3,0,1,3,6,1.000000
41,20,21,35,54,50,10,32,19,14,19,0,1,15,34,1.000000
42,21,22,33,54,71,4,12,21,10,21,1,1,12,33,1.000000
43,21,22,25,58,62,3,8,30,3,32,1,1,4,37,1.066667
44,22,23,28,56,21,0,5,26,5,28,0,1,6,34,1.076923
45,22,23,31,54,20,3,11,21,8,23,0,1,9,32,1.095238
46,23,24,25,30,15,0,1,5,1,5,0,1,2,7,1.000000
47,23,24,30,40,26,0,6,10,6,10,0,1,7,17,1.000000
48,24,25,33,56,41,1,9,19,8,23,0,1,9,32,1.210526
49,24,25,26,41,43,0,1,15,1,15,0,1,2,17,1.000000
50,25,26,28,44,44,0,2,16,2,16,0,1,3,19,1.000000
51,25,26,36,57,23,4,11,15,10,21,0,1,11,32,1.400000
52,26,27,36,62,27,4,8,26,8,26,1,1,10,36,1.000000
53,26,27,31,52,37,3,10,19,4,21,0,1,5,26,1.105263
54,27,28,35,59,62,2,6,15,7,23,1,1,8,32,1.533333
55,27,28,30,62,69,0,2,32,2,32,0,1,3,35,1.000000
56,28,29,35,53,37,4,7,14,6,18,0,1,7,25,1.285714
57,28,29,34,49,47,1,11,15,4,15,1,1,6,21,1.000000
58,29,30,30,42,23,0,0,12,0,12,0,1,1,13,1.000000
59,29,30,38,66,47,0,8,28,8,28,0,1,9,37,1.000000
60,30,31,35,53,15,0,4,18,4,18,0,1,5,23,1.000000
61,30,31,46,69,16,4,7,22,14,22,2,1,16,39,1.000000
62,31,32,36,74,52,0,2,36,4,38,0,1,5,43,1.055556
63,31,32,36,53,70,2,11,17,3,17,1,1,5,22,1.000000
