timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920524359
2,0,6,2,4,76,3,1,0,0.920604364
3,0,8,2,6,74,5,1,0,0.92048532
4,0,10,2,8,72,6,2,0,0.92044808
5,0,12,2,10,70,7,3,0,0.920507382
6,0,14,2,12,68,7,5,1,0.92057637
7,0,16,2,14,66,7,7,1,0.920524851
8,0,18,2,16,64,8,8,1,0.92056486
9,0,20,2,18,62,9,9,1,0.920556403
10,0,22,2,20,60,10,10,1,0.920529603
11,0,24,2,22,58,10,12,2,0.920568191
12,1,25,2,23,57,8,15,2,0.92053442
13,1,27,2,25,55,8,17,2,0.920570308
14,1,29,2,27,53,10,17,3,0.92057027
15,1,31,2,29,51,11,18,4,0.920598951
16,3,31,2,29,51,11,18,5,0.920575631
17,3,33,2,31,49,10,21,7,0.920606153
18,4,34,2,32,48,10,22,7,0.920626558
19,6,34,2,32,48,11,21,7,0.920618254
20,7,35,2,33,47,10,23,8,0.920587795
21,8,36,2,34,46,12,22,9,0.920585148
22,9,37,2,35,45,12,23,10,0.920605992
23,10,38,2,36,44,11,25,10,0.920631772
24,10,40,2,38,42,13,25,11,0.920579677
25,10,42,2,40,40,13,27,12,0.920605788
26,12,42,2,40,40,14,26,12,0.920624122
27,12,44,2,42,38,16,26,13,0.920661988
28,13,45,2,43,37,15,28,13,0.920562421
29,15,45,2,43,37,17,26,13,0.920646519
30,21,41,2,39,41,15,24,13,0.920603834
31,21,43,2,41,39,12,29,14,0.920578318
32,23,43,2,41,39,14,27,15,0.920611494
33,25,43,2,41,39,13,28,15,0.92058488
34,27,43,2,41,39,13,28,15,0.92060369
35,28,44,2,42,38,8,34,17,0.920585757
36,29,45,2,43,37,5,38,18,0.920460783
37,30,46,2,44,36,6,38,19,0.92054577
38,31,47,2,45,35,5,40,19,0.920549944
39,32,48,2,46,34,7,39,20,0.920597069
40,34,48,2,46,34,8,38,21,0.920603138
41,36,48,2,46,34,8,38,21,0.920578982
42,37,49,2,47,33,8,39,21,0.920602681
43,38,50,2,48,32,7,41,21,0.920529688
44,40,50,2,48,32,7,41,21,0.920572039
45,42,50,2,48,32,8,40,23,0.920695997
46,43,51,2,49,31,7,42,25,0.920621734
47,44,52,2,50,30,7,43,26,0.920628934
48,44,54,2,52,28,9,43,27,0.920585249
49,46,54,2,52,28,11,41,27,0.920652586
50,47,55,2,53,27,12,41,27,0.920600839
51,49,55,2,53,27,14,39,27,0.92063353
52,52,54,2,52,28,14,38,28,0.920546844
53,56,52,2,50,30,12,38,30,0.920554294
54,59,51,2,49,31,9,40,31,0.920577394
55,61,51,2,49,31,8,41,31,0.920572315
56,64,50,2,48,32,9,39,33,0.920587752
57,66,50,2,48,32,6,42,33,0.920566416
58,68,50,2,48,32,6,42,33,0.920560307
59,73,47,2,45,35,6,39,33,0.920554812
60,74,48,2,46,34,5,41,33,0.920580887
61,75,49,2,47,33,6,41,35,0.920551554
62,77,49,2,47,33,6,41,35,0.920543573
63,77,51,2,49,31,6,43,36,0.920582191
64,81,49,2,47,33,5,42,38,0.920540974
65,83,49,2,47,33,4,43,38,0.920538211
66,87,47,2,45,35,4,41,39,0.920551292
67,89,47,2,45,35,6,39,41,0.920470916
68,91,47,2,45,35,8,37,43,0.920587885
69,93,47,2,45,35,8,37,44,0.92053905
70,95,47,2,45,35,10,35,46,0.920556443
71,96,48,2,46,34,8,38,47,0.920553208
72,98,48,2,46,34,6,40,48,0.920589813
73,98,50,2,48,32,8,40,49,0.920620852
74,100,50,2,48,32,9,39,50,0.92062765
75,101,51,2,49,31,10,39,51,0.920585773
76,102,52,2,50,30,12,38,52,0.920569494
77,104,52,2,50,30,10,40,52,0.920581654
78,105,53,2,51,29,8,43,52,0.92054846
79,107,53,2,51,29,8,43,53,0.920567095
80,107,55,2,53,27,8,45,56,0.920523004
81,110,54,2,52,28,8,44,56,0.920514758
82,111,55,2,53,27,8,45,60,0.920621353
