task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,4,22,29,0,3,18,3,18,0,1,4,22,1.000000
1,0,1,1,38,56,0,0,37,0,37,0,1,1,38,1.000000
2,1,2,2,10,35,0,0,8,0,8,0,1,1,9,1.000000
3,1,2,6,16,52,0,4,10,4,10,0,1,5,15,1.000000
4,2,3,11,23,40,0,8,12,8,12,0,1,9,21,1.000000
5,2,3,8,22,37,0,5,14,5,14,0,1,6,20,1.000000
6,3,4,12,32,14,0,8,16,8,20,0,1,9,29,1.250000
7,3,4,5,27,20,0,1,22,1,22,0,1,2,24,1.000000
8,4,5,16,29,26,4,7,13,10,13,1,1,12,25,1.000000
9,4,5,8,29,25,0,3,21,3,21,0,1,4,25,1.000000
10,5,6,23,29,79,1,8,6,17,6,0,1,18,24,1.000000
11,5,6,7,30,21,0,1,21,1,23,0,1,2,25,1.095238
12,6,7,16,31,78,0,9,15,9,15,0,1,10,25,1.000000
13,6,7,19,40,6,2,5,21,12,21,0,1,13,34,1.000000
14,7,8,18,30,6,3,8,12,9,12,1,1,11,23,1.000000
15,7,8,8,48,22,0,0,40,0,40,0,1,1,41,1.000000
16,8,9,17,29,13,2,7,12,8,12,0,1,9,21,1.000000
17,8,9,14,25,30,2,4,11,5,11,0,1,6,17,1.000000
18,9,10,14,37,77,1,2,21,4,23,0,1,5,28,1.095238
19,9,10,17,49,24,0,7,31,7,31,1,1,8,40,1.000000
20,10,11,12,14,26,0,1,2,1,2,0,1,2,4,1.000000
21,10,11,14,32,76,1,5,14,3,16,2,1,4,22,1.142857
22,11,12,12,26,16,0,0,14,0,14,0,1,1,15,1.000000
23,11,12,15,43,53,1,12,25,3,27,1,1,4,32,1.080000
24,12,13,13,54,45,0,0,41,0,41,0,1,1,42,1.000000
25,12,13,16,48,15,3,4,32,3,32,0,1,4,36,1.000000
26,13,14,24,63,13,1,4,26,9,38,2,1,11,50,1.461538
27,13,14,15,42,36,0,1,27,1,27,0,1,2,29,1.000000
28,14,15,25,50,63,0,10,21,10,23,2,1,11,36,1.095238
29,14,15,29,42,44,4,12,13,13,13,1,1,15,28,1.000000
30,15,16,24,43,51,0,8,19,8,19,0,1,9,28,1.000000
31,15,16,25,41,47,0,6,15,8,15,2,1,10,26,1.000000
32,16,17,24,51,33,0,7,17,7,27,0,1,8,35,1.588235
33,16,17,32,64,75,1,10,30,15,32,0,1,16,48,1.066667
34,17,18,18,52,61,0,0,29,0,33,1,1,1,35,1.137931
35,17,18,18,49,18,0,0,29,0,31,0,1,1,32,1.068966
36,18,19,25,49,44,0,6,24,6,24,0,1,7,31,1.000000
37,18,19,32,58,41,3,11,24,13,26,0,1,14,40,1.083333
38,19,20,21,40,28,0,1,19,1,19,0,1,2,21,1.000000
39,19,20,23,41,52,0,3,12,3,18,0,1,4,22,1.500000
40,20,21,26,53,11,1,2,25,5,27,0,1,6,33,1.080000
41,20,21,34,54,38,2,8,20,12,20,1,1,14,34,1.000000
42,21,22,28,36,32,2,3,8,6,8,0,1,7,15,1.000000
43,21,22,23,43,4,0,1,20,1,20,0,1,2,22,1.000000
44,22,23,36,54,32,5,8,13,12,17,2,1,14,32,1.307692
45,22,23,33,40,11,3,9,7,10,7,0,1,11,18,1.000000
46,23,24,29,39,23,3,7,9,5,9,1,1,6,16,1.000000
47,23,24,24,39,60,0,0,13,0,15,0,1,1,16,1.153846
48,24,25,28,35,46,0,3,6,3,6,1,1,4,11,1.000000
49,24,25,25,35,23,0,0,10,0,10,0,1,1,11,1.000000
50,25,26,35,48,5,1,9,13,9,13,0,1,10,23,1.000000
51,25,26,26,42,75,0,0,14,0,16,0,1,1,17,1.142857
52,26,27,31,43,5,3,3,12,4,12,0,1,5,17,1.000000
53,26,27,37,63,59,0,8,23,10,25,1,1,11,37,1.086957
54,27,28,30,57,5,1,6,27,2,27,0,1,3,30,1.000000
55,27,28,30,34,31,0,2,4,2,4,0,1,3,7,1.000000
56,28,29,42,57,17,4,9,15,12,15,1,1,14,29,1.000000
57,28,29,33,41,30,0,4,8,4,8,0,1,5,13,1.000000
58,29,30,30,51,49,0,0,16,0,20,1,1,1,22,1.250000
59,29,30,36,51,16,1,2,15,6,15,0,1,7,22,1.000000
60,30,31,34,55,2,0,3,21,3,21,0,1,4,25,1.000000
61,30,31,33,40,17,0,2,7,2,7,0,1,3,10,1.000000
62,31,32,32,50,42,0,0,16,0,18,0,1,1,19,1.125000
63,31,32,35,55,64,0,3,20,3,20,0,1,4,24,1.000000
64,32,33,44,53,29,4,10,9,10,9,1,1,12,21,1.000000
65,32,33,35,48,35,0,2,13,2,13,0,1,3,16,1.000000
66,33,34,41,49,20,4,4,7,6,7,2,1,8,16,1.000000
67,33,34,37,49,21,0,3,12,3,12,0,1,4,16,1.000000
68,34,35,43,70,25,4,11,27,7,27,1,1,9,36,1.000000
69,34,35,42,71,27,4,2,28,6,28,2,1,8,37,1.000000
70,35,36,38,44,46,1,3,6,2,6,0,1,3,9,1.000000
71,35,36,37,61,67,0,1,24,1,24,0,1,2,26,1.000000
72,36,37,50,66,13,1,8,14,13,16,0,1,14,30,1.142857
73,36,37,37,56,27,0,0,19,0,19,0,1,1,20,1.000000
74,37,38,39,47,77,0,1,8,1,8,0,1,2,10,1.000000
75,37,38,39,65,53,0,1,25,1,25,1,1,2,28,1.000000
