timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.920550549
2,0,6,2,4,76,4,0,0,0.920581116
3,0,8,2,6,74,6,0,0,0.920505914
4,0,10,2,8,72,6,2,0,0.920481802
5,0,12,2,10,70,8,2,1,0.920535846
6,0,14,2,12,68,8,4,1,0.920473809
7,0,16,2,14,66,9,5,1,0.920480005
8,0,18,2,16,64,7,9,1,0.920558778
9,0,20,2,18,62,8,10,2,0.920489445
10,0,22,2,20,60,7,13,3,0.920515187
11,0,24,2,22,58,9,13,3,0.920541362
12,0,26,2,24,56,7,17,3,0.920538748
13,0,28,2,26,54,9,17,3,0.920481356
14,0,30,2,28,52,9,19,3,0.920587798
15,0,32,2,30,50,7,23,3,0.920542945
16,0,34,2,32,48,8,24,3,0.920588748
17,0,36,2,34,46,9,25,3,0.920527528
18,1,37,2,35,45,9,26,4,0.92058291
19,1,39,2,37,43,10,27,5,0.920612375
20,1,41,2,39,41,9,30,8,0.920634639
21,1,43,2,41,39,10,31,8,0.920582463
22,1,45,2,43,37,11,32,9,0.920584195
23,2,46,2,44,36,11,33,10,0.920611863
24,2,48,2,46,34,11,35,10,0.920589119
25,3,49,2,47,33,11,36,10,0.920574617
26,5,49,2,47,33,12,35,12,0.920585827
27,5,51,2,49,31,13,36,12,0.92060917
28,5,53,2,51,29,12,39,13,0.920575133
29,7,53,2,51,29,13,38,13,0.92062567
30,9,53,2,51,29,14,37,14,0.920630219
31,11,53,2,51,29,13,38,15,0.920622188
32,12,54,2,52,28,14,38,16,0.920607992
33,14,54,2,52,28,15,37,17,0.920564022
34,16,54,2,52,28,13,39,18,0.920623535
35,17,55,2,53,27,12,41,18,0.920571092
36,20,54,2,52,28,13,39,18,0.92055177
37,23,53,2,51,29,14,37,20,0.920617057
38,25,53,2,51,29,12,39,22,0.920599228
39,25,55,2,53,27,11,42,22,0.920527892
40,27,55,2,53,27,9,44,23,0.920609046
41,29,55,2,53,27,9,44,23,0.920616999
42,32,54,2,52,28,9,43,25,0.920552037
43,33,55,2,53,27,10,43,25,0.920557754
44,35,55,2,53,27,11,42,28,0.920533664
45,39,53,2,51,29,7,44,28,0.920514701
46,41,53,2,51,29,7,44,29,0.920583263
47,41,55,2,53,27,7,46,30,0.920557873
48,42,56,2,54,26,6,48,32,0.920557714
49,42,58,2,56,24,5,51,32,0.920520298
50,42,60,2,58,22,5,53,33,0.920518699
51,43,61,2,59,21,6,53,35,0.920597461
52,46,60,2,58,22,7,51,35,0.920580868
53,47,61,2,59,21,6,53,36,0.920643685
54,50,60,2,58,22,8,50,36,0.920642684
55,53,59,2,57,23,10,47,37,0.920551206
56,53,61,2,59,21,10,49,37,0.920634695
57,57,59,2,57,23,11,46,38,0.920656049
58,61,57,2,55,25,11,44,39,0.920634055
59,62,58,2,56,24,11,45,41,0.920581586
60,65,57,2,55,25,12,43,42,0.920646716
61,66,58,2,56,24,10,46,42,0.920590128
62,69,57,2,55,25,9,46,42,0.920559791
63,72,56,2,54,26,11,43,43,0.920586308
64,75,55,2,53,27,9,44,44,0.920582924
65,76,56,2,54,26,8,46,46,0.920535824
66,78,56,2,54,26,6,48,46,0.920583272
67,81,55,2,53,27,5,48,47,0.920540409
68,83,55,2,53,27,6,47,47,0.920575141
69,85,55,2,53,27,6,47,48,0.920585957
70,87,55,2,53,27,5,48,48,0.920582725
71,87,57,2,55,25,7,48,50,0.920569787
72,87,59,2,57,23,6,51,53,0.920637972
73,87,61,2,59,21,7,52,54,0.920651079
74,90,60,2,58,22,9,49,55,0.920635111
75,91,61,2,59,21,11,48,56,0.92061811
76,93,61,2,59,21,9,50,57,0.920621098
77,96,60,2,58,22,7,51,58,0.92054939
78,99,59,2,57,23,9,48,61,0.920617149
79,101,59,2,57,23,10,47,63,0.920559495
80,102,60,2,58,22,11,47,65,0.920594313
81,103,61,2,59,21,11,48,66,0.920659321
82,105,61,2,59,21,12,47,67,0.920578127
83,109,59,2,57,23,11,46,68,0.920631963
84,114,56,2,54,26,10,44,69,0.920637204
85,115,57,2,55,25,8,47,72,0.920586931
86,115,59,2,57,23,8,49,73,0.920630946
87,115,61,2,59,21,9,50,73,0.920606278
88,123,55,2,53,27,11,42,76,0.920564558
89,125,55,2,53,27,11,42,77,0.920491739
90,129,53,2,51,29,9,42,78,0.920598211
91,132,52,2,50,30,9,41,78,0.920671155
92,135,51,2,49,31,9,40,79,0.920609191
93,138,50,2,48,32,10,38,79,0.920649204
94,141,49,2,47,33,9,38,79,0.920632931
95,144,48,2,46,34,9,37,80,0.920605805
96,147,47,2,45,35,8,37,81,0.92060213
97,149,47,2,45,35,8,37,82,0.9206542
98,152,46,2,44,36,9,35,83,0.920592385
99,152,48,2,46,34,11,35,83,0.920532004
100,154,48,2,46,34,11,35,83,0.920637908
101,155,49,2,47,33,8,39,85,0.920621008
102,157,49,2,47,33,8,39,88,0.920523915
103,158,50,2,48,32,9,39,89,0.920623552
104,160,50,2,48,32,10,38,90,0.920628559
105,163,49,2,47,33,8,39,91,0.92055702
106,164,50,2,48,32,9,39,93,0.92063108
107,165,51,2,49,31,8,41,93,0.920606133
108,168,50,2,48,32,6,42,95,0.920625025
109,173,47,2,45,35,8,37,95,0.920506895
110,177,45,2,43,37,8,35,95,0.920537863
111,179,45,2,43,37,7,36,95,0.920584206
112,179,47,2,45,35,8,37,95,0.920519635
113,180,48,2,46,34,4,42,97,0.920560359
114,181,49,2,47,33,4,43,98,0.920557262
115,183,49,2,47,33,5,42,98,0.920574921
116,185,49,2,47,33,7,40,99,0.920514475
117,189,47,2,45,35,5,40,99,0.920534264
118,190,48,2,46,34,3,43,99,0.920519888
119,190,50,2,48,32,5,43,100,0.920558512
120,194,48,2,46,34,4,42,101,0.920558175
121,194,50,2,48,32,6,42,102,0.920523008
122,194,52,2,50,30,7,43,102,0.920543606
123,196,52,2,50,30,9,41,102,0.92057105
124,199,51,2,49,31,8,41,103,0.920564553
125,200,52,2,50,30,7,43,103,0.920548436
126,203,51,2,49,31,8,41,103,0.920491944
127,205,51,2,49,31,8,41,105,0.920614715
128,210,48,2,46,34,8,38,105,0.920586343
129,213,47,2,45,35,5,40,107,0.920587617
130,214,48,2,46,34,7,39,108,0.920573893
131,216,48,2,46,34,6,40,108,0.920595762
132,217,49,2,47,33,7,40,110,0.920542241
133,219,49,2,47,33,7,40,112,0.920524576
134,222,48,2,46,34,8,38,112,0.920577596
135,223,49,2,47,33,10,37,112,0.920648775
136,223,51,2,49,31,8,41,112,0.920574152
137,225,51,2,49,31,9,40,115,0.920537665
138,227,51,2,49,31,8,41,116,0.920558823
139,229,51,2,49,31,10,39,116,0.920594234
140,230,52,2,50,30,6,44,118,0.920605838
141,231,53,2,51,29,6,45,118,0.920527029
142,235,51,2,49,31,7,42,118,0.92061124
143,236,52,2,50,30,7,43,120,0.920554507
144,237,53,2,51,29,7,44,122,0.920602088
145,239,53,2,51,29,7,44,123,0.920573031
146,241,53,2,51,29,6,45,124,0.92058033
147,244,52,2,50,30,7,43,126,0.920557849
148,244,54,2,52,28,5,47,126,0.920594485
149,247,53,2,51,29,6,45,128,0.92053753
150,248,54,2,52,28,6,46,130,0.920591517
151,251,53,2,51,29,8,43,130,0.920536574
152,253,53,2,51,29,9,42,131,0.920588118
153,254,54,2,52,28,8,44,132,0.9206129
154,255,55,2,53,27,7,46,136,0.920570086
155,257,55,2,53,27,4,49,137,0.9204976
156,259,55,2,53,27,4,49,137,0.920596191
157,261,55,2,53,27,5,48,137,0.920544642
158,262,56,2,54,26,6,48,137,0.920589891
159,265,55,2,53,27,8,45,138,0.920584377
160,269,53,2,51,29,7,44,139,0.920584504
161,270,54,2,52,28,8,44,140,0.920590471
162,274,52,2,50,30,9,41,142,0.920649749
163,275,53,2,51,29,7,44,143,0.920583562
164,276,54,2,52,28,8,44,143,0.920584745
165,277,55,2,53,27,8,45,145,0.92057805
166,282,52,2,50,30,8,42,145,0.920545954
167,284,52,2,50,30,6,44,146,0.920553818
168,286,52,2,50,30,5,45,147,0.920627804
169,287,53,2,51,29,5,46,148,0.920628907
170,287,55,2,53,27,5,48,148,0.92058493
171,287,57,2,55,25,5,50,149,0.920608717
172,289,57,2,55,25,6,49,150,0.920600464
173,292,56,2,54,26,7,47,152,0.920548406
174,296,54,2,52,28,6,46,152,0.920616203
175,301,51,2,49,31,7,42,152,0.920601696
176,304,50,2,48,32,8,40,153,0.920636264
177,305,51,2,49,31,8,41,153,0.92060961
178,310,48,2,46,34,7,39,153,0.92059819
179,313,47,2,45,35,8,37,154,0.920562849
180,316,46,2,44,36,8,36,154,0.920572114
181,316,48,2,46,34,7,39,154,0.920598883
182,316,50,2,48,32,8,40,154,0.920591079
183,316,52,2,50,30,8,42,156,0.92060592
184,317,53,2,51,29,6,45,156,0.920591156
185,320,52,2,50,30,6,44,157,0.920653925
186,324,50,2,48,32,6,42,161,0.920603397
187,324,52,2,50,30,7,43,161,0.920606304
188,326,52,2,50,30,9,41,161,0.920620769
189,327,53,2,51,29,9,42,164,0.920537631
190,329,53,2,51,29,11,40,166,0.920634519
191,334,50,2,48,32,8,40,168,0.920587788
192,334,52,2,50,30,7,43,169,0.92058644
193,334,54,2,52,28,5,47,169,0.920544855
194,337,53,2,51,29,6,45,171,0.920523478
195,339,53,2,51,29,4,47,172,0.920587036
196,340,54,2,52,28,4,48,173,0.92059281
197,341,55,2,53,27,4,49,174,0.920548907
198,343,55,2,53,27,6,47,177,0.920558031
199,344,56,2,54,26,4,50,177,0.920600292
200,344,58,2,56,24,6,50,179,0.920541714
201,345,59,2,57,23,5,52,179,0.920595913
202,349,57,2,55,25,7,48,180,0.920537066
203,352,56,2,54,26,8,46,180,0.920616706
204,354,56,2,54,26,9,45,180,0.920594775
205,356,56,2,54,26,10,44,183,0.920614532
206,358,56,2,54,26,9,45,184,0.920595253
207,363,53,2,51,29,10,41,188,0.920611727
208,366,52,2,50,30,11,39,188,0.920600462
209,370,50,2,48,32,10,38,189,0.920561229
210,371,51,2,49,31,9,40,189,0.920656199
211,374,50,2,48,32,9,39,189,0.920561719
212,375,51,2,49,31,8,41,190,0.92054941
213,381,47,2,45,35,7,38,193,0.920596079
214,385,45,2,43,37,6,37,194,0.920520532
215,386,46,2,44,36,5,39,195,0.920537973
216,388,46,2,44,36,6,38,197,0.920574912
217,390,46,2,44,36,5,39,199,0.920546713
218,392,46,2,44,36,5,39,200,0.920534385
219,394,46,2,44,36,7,37,200,0.920555712
220,396,46,2,44,36,6,38,202,0.920591365
221,396,48,2,46,34,6,40,203,0.920633076
222,398,48,2,46,34,6,40,203,0.920580322
223,400,48,2,46,34,8,38,203,0.920498559
224,401,49,2,47,33,6,41,203,0.920575763
225,401,51,2,49,31,8,41,204,0.920645947
226,403,51,2,49,31,7,42,206,0.920523824
227,406,50,2,48,32,8,40,208,0.920592435
228,407,51,2,49,31,6,43,209,0.920562428
229,409,51,2,49,31,3,46,210,0.920565377
230,413,49,2,47,33,5,42,210,0.920538933
231,415,49,2,47,33,6,41,211,0.920602379
232,417,49,2,47,33,7,40,212,0.920549113
233,420,48,2,46,34,7,39,213,0.92062966
234,422,48,2,46,34,6,40,214,0.920512313
235,423,49,2,47,33,7,40,215,0.920552864
236,424,50,2,48,32,6,42,216,0.920565812
237,428,48,2,46,34,7,39,218,0.920573939
238,430,48,2,46,34,7,39,220,0.920588403
239,435,45,2,43,37,7,36,220,0.920571636
240,435,47,2,45,35,8,37,220,0.920582785
241,435,49,2,47,33,8,39,222,0.920567921
242,437,49,2,47,33,9,38,224,0.920603402
243,438,50,2,48,32,9,39,224,0.920583137
244,440,50,2,48,32,10,38,225,0.920576133
245,443,49,2,47,33,9,38,225,0.920610803
246,444,50,2,48,32,10,38,225,0.920595336
247,446,50,2,48,32,9,39,225,0.92057491
248,446,52,2,50,30,7,43,225,0.920533152
249,450,50,2,48,32,6,42,225,0.920578516
250,455,45,0,45,35,4,41,226,0.920552297
251,458,42,0,42,38,1,41,226,0.920530133
252,459,41,0,41,39,1,40,227,0.920515309
253,460,40,0,40,40,1,39,227,0.920565663
254,467,33,0,33,47,0,33,227,0.920531229
255,468,32,0,32,48,0,32,228,0.920518
256,468,32,0,32,48,0,32,229,0.920510541
257,469,31,0,31,49,0,31,229,0.920462258
258,471,29,0,29,51,0,29,229,0.920530668
259,474,26,0,26,54,0,26,230,0.920545002
260,476,24,0,24,56,0,24,231,0.920501262
261,476,24,0,24,56,0,24,231,0.920506724
262,477,23,0,23,57,0,23,231,0.920505069
263,481,19,0,19,61,0,19,231,0.920485416
264,484,16,0,16,64,0,16,231,0.920518354
265,485,15,0,15,65,0,15,231,0.920467184
266,485,15,0,15,65,0,15,231,0.920481769
267,485,15,0,15,65,0,15,231,0.920494807
268,487,13,0,13,67,0,13,231,0.920539848
269,489,11,0,11,69,0,11,231,0.920499516
270,490,10,0,10,70,0,10,231,0.92049034
271,491,9,0,9,71,0,9,231,0.920507879
272,492,8,0,8,72,0,8,231,0.920498184
273,493,7,0,7,73,0,7,231,0.920524777
274,493,7,0,7,73,0,7,231,0.920462786
275,493,7,0,7,73,0,7,231,0.920474194
276,494,6,0,6,74,0,6,231,0.920484166
277,495,5,0,5,75,0,5,231,0.920435931
278,496,4,0,4,76,0,4,231,0.920485566
279,497,3,0,3,77,0,3,231,0.920501297
280,497,3,0,3,77,0,3,231,0.920485842
281,497,3,0,3,77,0,3,231,0.920476341
282,497,3,0,3,77,0,3,231,0.920493896
283,498,2,0,2,78,0,2,231,0.920447382
284,498,2,0,2,78,0,2,231,0.920430082
285,498,2,0,2,78,0,2,231,0.920470324
286,498,2,0,2,78,0,2,231,0.920477934
287,498,2,0,2,78,0,2,231,0.920417477
288,498,2,0,2,78,0,2,231,0.920469313
289,499,1,0,1,79,0,1,231,0.920460885
290,499,1,0,1,79,0,1,231,0.92049127
291,499,1,0,1,79,0,1,231,0.920469211
292,500,0,0,0,80,0,0,231,0.920432381
