agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,2,198,14,73,1,14,72
1,5,144,25,116,3,23,115
2,3,225,10,50,2,9,49
3,3,189,4,92,0,4,92
4,4,135,7,143,4,7,139
5,5,183,24,78,2,24,76
6,8,58,24,203,6,24,197
7,5,159,18,108,3,18,105
8,3,244,6,35,0,6,35
9,3,217,6,62,1,6,61
10,7,110,26,149,2,26,147
11,6,99,34,152,3,33,150
12,6,104,31,150,5,31,145
13,6,121,23,141,1,22,141
14,4,181,14,90,1,14,89
15,8,92,34,159,2,33,158
16,9,66,23,196,1,23,195
17,6,152,4,129,2,4,127
18,8,65,35,185,3,34,183
19,3,212,17,56,3,16,54
20,10,60,27,198,4,27,194
21,8,64,40,181,7,36,178
22,7,113,20,152,0,20,152
23,5,120,22,143,4,20,141
24,6,122,29,134,4,28,131
25,6,143,24,118,4,23,115
26,6,156,28,101,0,28,101
27,5,188,20,77,2,19,76
28,8,140,27,118,2,25,118
29,9,107,30,148,3,30,145
30,10,123,34,128,0,34,128
31,6,110,16,159,9,14,152
32,8,86,27,172,3,27,169
33,7,101,45,139,3,44,137
34,5,150,22,113,3,21,111
35,6,163,16,106,1,16,105
36,7,62,16,207,5,15,203
37,7,100,38,147,8,36,141
38,4,167,10,108,1,10,107
39,6,183,15,87,3,12,87
40,10,84,38,163,4,37,160
41,6,154,31,100,4,30,97
42,9,95,42,148,7,39,144
43,6,161,33,91,3,32,89
44,7,108,44,133,3,42,132
45,3,188,26,71,4,23,70
46,8,125,29,131,6,28,126
47,7,108,20,157,4,20,153
48,5,216,13,56,1,13,55
49,9,66,15,204,4,15,200
50,4,143,27,115,5,23,114
51,7,93,18,174,1,18,173
52,5,119,28,138,1,28,137
53,7,68,27,190,1,26,190
54,8,60,35,190,5,35,185
55,6,130,28,127,5,24,126
56,7,88,29,168,2,28,167
57,4,185,10,90,0,10,90
58,8,100,26,159,7,25,153
59,8,100,32,153,4,31,150
60,7,89,30,166,3,30,163
61,3,171,23,91,4,22,88
62,8,88,18,179,3,18,176
63,8,115,26,144,4,25,141
64,4,191,7,87,3,7,84
65,1,229,32,24,1,31,24
66,2,203,9,73,0,9,73
67,3,201,10,74,1,9,74
68,9,75,16,194,2,16,192
69,7,97,16,172,2,16,170
70,8,120,27,138,0,27,138
71,8,98,33,154,7,31,149
72,8,94,20,171,5,20,166
73,6,91,35,159,1,34,159
74,5,134,31,120,3,31,117
75,7,89,24,172,5,23,168
76,9,85,23,177,5,22,173
77,9,66,50,169,7,50,162
78,6,149,30,106,4,29,103
79,8,48,23,214,3,23,211
