timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.920220494
2,0,6,2,4,76,4,0,0,0.920221451
3,0,8,2,6,74,5,1,0,0.920241756
4,0,10,2,8,72,6,2,0,0.920252565
5,0,12,2,10,70,8,2,0,0.92022853
6,0,14,2,12,68,9,3,0,0.920203622
7,0,16,2,14,66,7,7,0,0.920267231
8,1,17,2,15,65,8,7,0,0.92024643
9,1,19,2,17,63,8,9,0,0.920251063
10,1,21,2,19,61,8,11,0,0.920252309
11,1,23,2,21,59,9,12,0,0.92025046
12,1,25,2,23,57,10,13,1,0.920217276
13,2,26,2,24,56,9,15,2,0.920265612
14,2,28,2,26,54,9,17,2,0.920252243
15,2,30,2,28,52,7,21,2,0.920208905
16,5,29,2,27,53,8,19,2,0.920235146
17,5,31,2,29,51,10,19,2,0.920243284
18,5,33,2,31,49,11,20,4,0.920245788
19,5,35,2,33,47,7,26,4,0.920244803
20,5,37,2,35,45,7,28,5,0.920251491
21,7,37,2,35,45,7,28,5,0.920240511
22,8,38,2,36,44,7,29,6,0.920247342
23,10,38,2,36,44,8,28,8,0.920234117
24,13,37,2,35,45,8,27,8,0.920222626
25,14,38,2,36,44,8,28,8,0.920245098
26,14,40,2,38,42,9,29,8,0.920267765
27,15,41,2,39,41,10,29,8,0.920270367
28,17,41,2,39,41,12,27,9,0.920252185
29,18,42,2,40,40,9,31,9,0.920267897
30,19,43,2,41,39,10,31,11,0.920256733
31,21,43,2,41,39,10,31,12,0.92025512
32,23,43,2,41,39,10,31,13,0.920266832
33,24,44,2,42,38,11,31,13,0.920305423
34,24,46,2,44,36,11,33,13,0.920230075
35,26,46,2,44,36,12,32,13,0.920263687
36,29,45,2,43,37,14,29,13,0.920280548
37,31,45,2,43,37,12,31,13,0.920290416
38,33,45,2,43,37,11,32,13,0.920251212
39,35,45,2,43,37,12,31,14,0.920308991
40,36,46,2,44,36,13,31,15,0.920275724
41,37,47,2,45,35,14,31,15,0.920273875
42,39,47,2,45,35,12,33,16,0.920261995
43,40,48,2,46,34,11,35,16,0.920211834
44,42,48,2,46,34,7,39,17,0.920266737
45,43,49,2,47,33,6,41,18,0.920252126
46,44,50,2,48,32,5,43,19,0.920275033
47,49,47,2,45,35,6,39,19,0.920264156
48,51,47,2,45,35,6,39,20,0.920306858
49,52,48,2,46,34,6,40,22,0.920261147
50,55,47,2,45,35,7,38,22,0.920245196
51,55,49,2,47,33,8,39,22,0.920254692
52,55,51,2,49,31,8,41,23,0.920256784
53,57,51,2,49,31,7,42,23,0.920290024
54,59,51,2,49,31,7,42,23,0.920260896
55,61,51,2,49,31,7,42,24,0.920265348
56,63,51,2,49,31,8,41,26,0.920272538
57,65,51,2,49,31,10,39,26,0.920288768
58,68,50,2,48,32,9,39,27,0.920269659
59,72,48,2,46,34,8,38,27,0.920290768
60,74,48,2,46,34,9,37,27,0.92028308
61,74,50,2,48,32,10,38,29,0.920298707
62,76,50,2,48,32,12,36,29,0.920275875
63,78,50,2,48,32,10,38,29,0.920286531
64,80,50,2,48,32,9,39,29,0.920299379
65,80,52,2,50,30,8,42,29,0.92028792
66,83,51,2,49,31,9,40,29,0.920295547
67,83,53,2,51,29,9,42,30,0.920267253
68,85,53,2,51,29,8,43,30,0.920274189
69,87,53,2,51,29,8,43,31,0.920264104
70,90,52,2,50,30,8,42,31,0.920250101
71,91,53,2,51,29,7,44,33,0.920313313
72,91,55,2,53,27,9,44,34,0.920294542
73,92,56,2,54,26,10,44,34,0.920295779
74,92,58,2,56,24,10,46,34,0.920288745
75,93,59,2,57,23,9,48,35,0.920303487
76,93,61,2,59,21,10,49,36,0.920248925
77,93,63,2,61,19,11,50,36,0.920275868
78,94,64,2,62,18,8,54,36,0.920274921
79,97,63,2,61,19,8,53,38,0.920233566
80,100,62,2,60,20,8,52,39,0.920243143
81,103,61,2,59,21,9,50,41,0.92026908
82,103,63,2,61,19,10,51,41,0.920308352
83,104,64,2,62,18,10,52,41,0.920286612
84,106,64,2,62,18,12,50,41,0.920281768
85,109,63,2,61,19,9,52,42,0.920283374
86,116,58,2,56,24,6,50,45,0.920286925
87,122,54,2,52,28,5,47,45,0.920245674
88,125,53,2,51,29,4,47,46,0.920254799
89,127,53,2,51,29,6,45,46,0.920312484
90,127,55,2,53,27,6,47,46,0.920280013
91,131,53,2,51,29,6,45,48,0.920275649
92,132,54,2,52,28,7,45,50,0.920318969
93,132,56,2,54,26,8,46,50,0.920285639
94,135,55,2,53,27,8,45,52,0.920268156
95,139,53,2,51,29,8,43,54,0.920305534
96,139,55,2,53,27,9,44,54,0.920258192
97,143,53,2,51,29,5,46,55,0.920239007
98,144,54,2,52,28,5,47,55,0.920258086
99,148,52,2,50,30,5,45,55,0.920286453
100,149,53,2,51,29,4,47,56,0.920280914
101,151,53,2,51,29,6,45,58,0.920238746
102,153,53,2,51,29,6,45,59,0.920243916
103,154,54,2,52,28,4,48,61,0.920289317
104,156,54,2,52,28,4,48,61,0.920263803
