agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,5,170,27,88,1,26,88
1,0,285,0,0,0,0,0
2,5,187,18,80,1,17,80
3,4,177,20,88,3,20,85
4,5,113,12,160,0,12,160
5,8,138,5,142,3,5,139
6,6,147,37,101,2,37,99
7,6,119,17,149,2,17,147
8,5,118,21,146,2,21,144
9,6,127,22,136,2,22,134
10,6,148,13,124,1,13,123
11,7,126,15,144,1,15,143
12,6,123,31,131,2,29,131
13,9,100,31,154,4,30,151
14,6,131,25,129,2,25,127
15,9,112,21,152,1,20,152
16,8,51,26,208,2,26,206
17,7,134,20,131,6,20,125
18,7,72,31,182,3,31,179
19,10,87,26,172,1,26,171
20,8,73,27,185,5,26,181
21,9,84,36,165,2,35,164
22,5,164,15,106,0,15,106
23,6,172,8,105,0,8,105
24,6,163,13,109,1,13,108
25,8,95,35,155,5,34,151
26,9,87,46,152,9,42,147
27,5,140,22,123,4,22,119
28,6,103,17,165,3,16,163
29,7,60,25,200,2,25,198
30,8,72,45,168,4,41,168
31,8,107,14,164,3,14,161
32,8,85,21,179,2,20,178
33,8,72,21,192,1,21,191
34,6,122,29,134,1,28,134
35,9,112,36,137,6,33,134
36,8,100,26,159,3,25,157
37,7,82,40,163,5,38,160
38,7,118,27,140,2,27,138
39,6,128,32,125,1,31,125
40,6,109,24,152,4,22,150
41,6,123,42,120,4,39,119
42,4,178,7,100,2,7,98
43,8,93,34,158,8,31,153
44,7,86,23,176,1,23,175
45,6,155,23,107,4,23,103
46,6,95,24,166,4,24,162
47,7,93,44,148,6,42,144
48,6,166,24,95,2,24,93
49,8,86,26,173,5,25,169
50,6,127,13,145,0,13,145
51,11,43,16,226,5,16,221
52,11,64,43,178,2,42,177
53,9,65,34,186,2,34,184
54,8,103,29,153,6,28,148
55,3,198,18,69,1,18,68
56,7,102,29,154,4,28,151
57,6,116,29,140,1,29,139
58,6,165,11,109,1,10,109
59,6,133,14,138,6,12,134
60,5,110,22,153,2,22,151
61,5,176,10,99,1,10,98
62,7,125,19,141,2,19,139
63,4,149,16,120,2,15,119
64,6,135,7,143,2,7,141
65,0,285,0,0,0,0,0
66,3,199,5,81,0,5,81
67,4,183,17,85,3,15,84
68,3,174,9,102,1,9,101
69,3,202,8,75,0,8,75
70,1,244,9,32,2,8,31
71,10,114,27,144,7,27,137
72,4,204,14,67,2,13,66
73,2,232,2,51,0,2,51
74,8,127,16,142,1,16,141
75,2,234,9,42,0,9,42
76,7,118,29,138,3,27,137
77,6,93,50,142,5,47,140
78,8,63,40,182,3,38,181
79,6,169,19,97,2,19,95
