task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,6,25,25,0,5,17,5,19,0,1,6,25,1.117647
1,0,1,1,36,32,0,0,33,0,35,0,1,1,36,1.060606
2,1,2,4,22,44,0,2,18,2,18,0,1,3,21,1.000000
3,1,2,7,35,20,0,5,25,5,27,1,1,6,34,1.080000
4,2,3,7,28,51,0,4,13,4,21,0,1,5,26,1.615385
5,2,3,7,37,46,0,4,28,4,30,0,1,5,35,1.071429
6,3,4,5,20,53,0,1,15,1,15,0,1,2,17,1.000000
7,3,4,6,13,40,0,2,7,2,7,0,1,3,10,1.000000
8,4,5,7,17,30,0,2,10,2,10,0,1,3,13,1.000000
9,4,5,5,11,19,0,0,6,0,6,0,1,1,7,1.000000
10,5,6,6,30,26,0,0,24,0,24,0,1,1,25,1.000000
11,5,6,6,18,5,0,0,12,0,12,0,1,1,13,1.000000
12,6,7,40,55,79,11,12,15,29,15,4,1,34,49,1.000000
13,6,7,21,42,43,1,10,19,14,21,0,1,15,36,1.105263
14,7,8,22,32,14,1,10,10,14,10,0,1,15,25,1.000000
15,7,8,11,26,33,0,3,15,3,15,0,1,4,19,1.000000
16,8,9,19,34,21,0,10,15,10,15,0,1,11,26,1.000000
17,8,9,25,58,56,1,10,28,15,32,2,1,17,50,1.142857
18,9,10,17,29,41,1,11,11,7,11,1,1,8,20,1.000000
19,9,10,16,36,18,0,6,20,6,20,0,1,7,27,1.000000
20,10,11,19,45,52,0,8,26,8,26,0,1,9,35,1.000000
21,10,11,13,25,16,0,2,12,2,12,0,1,3,15,1.000000
22,11,12,13,22,79,0,1,7,1,9,0,1,2,11,1.285714
23,11,12,12,28,45,0,0,16,0,16,0,1,1,17,1.000000
24,12,13,13,34,59,0,0,20,0,20,1,1,1,22,1.000000
25,12,13,23,33,47,0,10,9,10,9,1,1,11,21,1.000000
26,13,14,19,54,29,0,5,32,5,34,1,1,6,41,1.062500
27,13,14,27,48,14,2,5,20,12,20,2,1,14,35,1.000000
28,14,15,23,44,36,2,12,21,8,21,0,1,9,30,1.000000
29,14,15,16,54,78,0,1,30,1,38,0,1,2,40,1.266667
30,15,16,25,39,35,1,11,14,9,14,0,1,10,24,1.000000
31,15,16,29,38,13,1,9,7,13,9,0,1,14,23,1.285714
32,16,17,19,60,6,1,10,23,2,41,0,1,3,44,1.782609
33,16,17,26,39,40,0,9,13,9,13,0,1,10,23,1.000000
34,17,18,23,48,35,0,4,21,4,25,1,1,6,31,1.190476
