agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,139,43,111,2,42,110
1,6,142,36,115,5,33,113
2,3,173,48,72,6,42,72
3,4,184,38,71,1,38,70
4,6,146,30,117,3,28,116
5,2,249,18,26,2,18,24
6,4,138,22,133,1,22,132
7,2,200,29,64,1,28,64
8,9,102,19,172,0,19,172
9,7,117,8,168,2,8,166
10,3,189,15,89,0,15,89
11,5,172,17,104,4,15,102
12,6,100,24,169,4,23,166
13,6,134,17,142,2,17,140
14,9,83,25,185,4,25,181
15,7,126,22,145,2,21,144
16,8,113,37,143,2,35,143
17,4,167,28,98,2,27,97
18,6,114,19,160,2,18,159
19,7,136,43,114,6,40,111
20,6,103,25,165,3,24,163
21,7,106,26,161,4,24,159
22,5,177,24,92,2,24,90
23,7,128,26,139,4,22,139
24,8,121,20,152,2,20,150
25,8,95,31,167,3,31,164
26,9,105,22,166,3,21,164
27,6,109,52,132,2,51,131
28,7,127,42,124,3,39,124
29,9,96,27,170,1,27,169
30,10,77,47,169,4,45,167
31,5,137,37,119,1,37,118
32,8,123,19,151,4,18,148
33,9,85,33,175,5,30,173
34,6,111,15,167,2,13,167
35,8,108,41,144,4,39,142
36,8,91,17,185,5,16,181
37,8,101,33,159,2,32,158
38,7,113,26,154,4,24,152
39,11,104,39,150,0,39,150
40,9,71,37,185,0,37,185
41,9,101,26,166,4,26,162
42,6,124,16,153,5,14,150
43,6,116,33,144,3,31,143
44,8,90,42,161,3,40,160
45,7,98,12,183,1,11,183
46,5,146,27,120,1,26,120
47,7,93,49,151,6,46,148
48,6,142,26,125,6,24,121
49,5,131,14,148,2,14,146
50,4,186,11,96,1,11,95
51,7,158,31,104,4,28,103
52,9,87,30,176,2,30,174
53,6,118,25,150,1,25,149
54,6,129,14,150,1,14,149
55,7,117,10,166,8,10,158
56,7,74,16,203,2,16,201
57,7,138,28,127,1,27,127
58,7,120,18,155,2,18,153
59,6,151,20,122,1,20,121
60,7,118,39,136,4,37,134
61,1,245,3,45,0,3,45
62,7,115,22,156,7,19,152
63,6,136,29,128,3,28,126
64,8,88,24,181,3,24,178
65,1,267,3,23,0,3,23
66,2,243,1,49,1,1,48
67,6,81,26,186,2,24,186
68,5,171,23,99,5,22,95
69,5,199,8,86,0,8,86
70,7,126,23,144,1,22,144
71,9,87,26,180,6,25,175
72,5,171,18,104,3,18,101
73,5,189,8,96,3,8,93
74,3,183,11,99,0,11,99
75,7,183,21,89,3,20,87
76,4,211,3,79,2,3,77
77,3,235,8,50,2,7,49
78,7,119,31,143,5,30,139
79,8,82,45,166,5,44,162
