timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920473525
2,0,6,2,4,76,3,1,0,0.920488352
3,0,8,2,6,74,5,1,0,0.920476205
4,0,10,2,8,72,6,2,0,0.920487611
5,0,12,2,10,70,7,3,0,0.920468504
6,0,14,2,12,68,6,6,0,0.920486475
7,0,16,2,14,66,8,6,0,0.920486118
8,0,18,2,16,64,7,9,0,0.920600592
9,0,20,2,18,62,9,9,0,0.920564911
10,0,22,2,20,60,10,10,0,0.920469317
11,0,24,2,22,58,9,13,0,0.920473903
12,0,26,2,24,56,9,15,0,0.920600082
13,0,28,2,26,54,9,17,2,0.920601547
14,0,30,2,28,52,10,18,2,0.920592769
15,1,31,2,29,51,12,17,2,0.920593126
16,1,33,2,31,49,11,20,2,0.920560799
17,1,35,2,33,47,11,22,3,0.920559474
18,2,36,2,34,46,13,21,3,0.920541812
19,2,38,2,36,44,13,23,5,0.92053897
20,2,40,2,38,42,11,27,5,0.920540442
21,2,42,2,40,40,12,28,6,0.920585012
22,2,44,2,42,38,11,31,8,0.920599361
23,3,45,2,43,37,12,31,10,0.920616264
24,4,46,2,44,36,13,31,10,0.920599371
25,5,47,2,45,35,12,33,10,0.920607105
26,5,49,2,47,33,11,36,11,0.920598009
27,5,51,2,49,31,13,36,11,0.920586681
28,5,53,2,51,29,14,37,14,0.920577682
29,6,54,2,52,28,13,39,15,0.920565588
30,7,55,2,53,27,12,41,16,0.920603637
31,9,55,2,53,27,13,40,16,0.920589394
32,12,54,2,52,28,13,39,17,0.920592433
33,13,55,2,53,27,11,42,20,0.920607273
34,16,54,2,52,28,10,42,22,0.920555264
35,17,55,2,53,27,8,45,22,0.920558783
36,17,57,2,55,25,6,49,25,0.9205525
37,17,59,2,57,23,7,50,28,0.920528269
38,21,57,2,55,25,7,48,29,0.920601858
39,25,55,2,53,27,8,45,29,0.920576957
40,26,56,2,54,26,8,46,31,0.920603473
41,29,55,2,53,27,9,44,32,0.920604094
42,30,56,2,54,26,10,44,32,0.920616078
43,32,56,2,54,26,11,43,32,0.920573716
44,34,56,2,54,26,10,44,32,0.920651608
45,34,58,2,56,24,11,45,34,0.920639439
46,35,59,2,57,23,12,45,34,0.920541184
47,39,57,2,55,25,13,42,34,0.920682405
48,42,56,2,54,26,12,42,34,0.92065638
49,43,57,2,55,25,13,42,35,0.920574907
50,44,58,2,56,24,11,45,35,0.920632168
51,48,56,2,54,26,11,43,35,0.920630276
52,49,57,2,55,25,12,43,35,0.920626274
53,51,57,2,55,25,11,44,38,0.920599913
54,52,58,2,56,24,7,49,39,0.920556468
55,55,57,2,55,25,9,46,39,0.920526785
56,56,58,2,56,24,10,46,41,0.920630963
57,57,59,2,57,23,10,47,43,0.920584856
58,60,58,2,56,24,10,46,44,0.920506399
59,60,60,2,58,22,8,50,46,0.920560015
60,62,60,2,58,22,8,50,47,0.920591044
61,64,60,2,58,22,8,50,47,0.920529714
62,65,61,2,59,21,9,50,47,0.920591975
63,67,61,2,59,21,10,49,49,0.92052691
64,68,62,2,60,20,8,52,49,0.920632175
65,71,61,2,59,21,8,51,51,0.920597083
66,76,58,2,56,24,6,50,53,0.920615116
67,77,59,2,57,23,6,51,53,0.920585708
68,79,59,2,57,23,8,49,53,0.920559938
69,80,60,2,58,22,10,48,54,0.920656868
70,84,58,2,56,24,8,48,55,0.920553649
71,87,57,2,55,25,10,45,55,0.920575722
72,92,54,2,52,28,11,41,56,0.920556264
73,95,53,2,51,29,10,41,58,0.920548306
74,97,53,2,51,29,11,40,59,0.920539361
75,101,51,2,49,31,9,40,59,0.920562673
76,101,53,2,51,29,11,40,59,0.920619318
77,106,50,2,48,32,10,38,59,0.920582361
78,108,50,2,48,32,9,39,60,0.92053695
79,108,52,2,50,30,7,43,60,0.920549716
80,110,52,2,50,30,6,44,60,0.92053067
81,110,54,2,52,28,6,46,60,0.920528935
82,114,52,2,50,30,6,44,61,0.92057233
83,116,52,2,50,30,7,43,62,0.920593606
84,116,54,2,52,28,9,43,63,0.920597737
85,117,55,2,53,27,8,45,63,0.920587867
86,120,54,2,52,28,7,45,64,0.920605556
87,121,55,2,53,27,7,46,64,0.920599945
88,124,54,2,52,28,8,44,65,0.920558817
89,128,52,2,50,30,8,42,65,0.920665526
90,132,50,2,48,32,6,42,66,0.920613169
91,134,50,2,48,32,6,42,67,0.920523908
92,135,51,2,49,31,7,42,68,0.92057354
93,138,50,2,48,32,5,43,69,0.920618646
94,139,51,2,49,31,6,43,71,0.920541647
95,141,51,2,49,31,7,42,71,0.920599977
96,144,50,2,48,32,7,41,72,0.920539935
97,144,52,2,50,30,7,43,74,0.92049173
98,146,52,2,50,30,6,44,75,0.920556777
99,146,54,2,52,28,5,47,75,0.920547751
100,148,54,2,52,28,5,47,76,0.920518386
101,151,53,2,51,29,5,46,77,0.920621514
102,154,52,2,50,30,7,43,78,0.920577086
103,155,53,2,51,29,7,44,78,0.92054296
104,159,51,2,49,31,7,42,78,0.920561374
105,162,50,2,48,32,5,43,78,0.9205401
106,165,49,2,47,33,5,42,78,0.920540779
107,168,48,2,46,34,7,39,79,0.920595604
108,171,47,2,45,35,7,38,79,0.920564621
109,174,46,2,44,36,8,36,79,0.920579521
110,175,47,2,45,35,10,35,80,0.920594802
111,176,48,2,46,34,8,38,80,0.920578356
112,176,50,2,48,32,7,41,80,0.920564462
113,179,49,2,47,33,6,41,80,0.920588394
114,182,48,2,46,34,7,39,83,0.920553293
115,183,49,2,47,33,7,40,85,0.920506273
116,188,46,2,44,36,5,39,85,0.920562654
117,190,46,2,44,36,5,39,86,0.920567758
118,192,46,2,44,36,4,40,87,0.920590935
119,193,47,2,45,35,5,40,87,0.92056703
120,194,48,2,46,34,3,43,87,0.920556969
121,195,49,2,47,33,4,43,87,0.92056232
122,199,47,2,45,35,5,40,87,0.920547657
123,200,48,2,46,34,5,41,87,0.920547074
124,203,47,2,45,35,5,40,88,0.920534501
125,203,49,2,47,33,6,41,89,0.920554787
126,205,49,2,47,33,5,42,90,0.920540601
127,207,49,2,47,33,4,43,92,0.920530835
128,209,49,2,47,33,3,44,93,0.920582743
129,212,48,2,46,34,5,41,95,0.92055156
130,214,48,2,46,34,6,40,95,0.920563587
131,216,48,2,46,34,8,38,95,0.920579496
132,218,48,2,46,34,7,39,96,0.92053776
133,220,48,2,46,34,7,39,96,0.920610097
134,225,45,2,43,37,8,35,97,0.92054952
135,230,42,2,40,40,5,35,97,0.920560299
136,231,43,2,41,39,3,38,97,0.920579569
137,232,44,2,42,38,4,38,97,0.920574979
138,233,45,2,43,37,2,41,97,0.920526501
139,237,43,2,41,39,3,38,97,0.920550542
140,239,43,2,41,39,5,36,97,0.920533929
141,240,44,2,42,38,4,38,99,0.920525737
142,242,44,2,42,38,5,37,99,0.920563741
143,244,44,2,42,38,6,36,99,0.92054148
144,247,43,2,41,39,4,37,100,0.920521724
145,249,43,2,41,39,2,39,100,0.92048535
146,253,41,2,39,41,3,36,100,0.920523776
147,253,43,2,41,39,4,37,101,0.920509172
148,254,44,2,42,38,4,38,101,0.92052888
149,257,43,2,41,39,5,36,101,0.920553616
150,258,44,2,42,38,5,37,101,0.920540041
151,260,44,2,42,38,6,36,101,0.920496274
152,261,45,2,43,37,7,36,102,0.920584714
153,263,45,2,43,37,8,35,104,0.920567356
154,264,46,2,44,36,9,35,106,0.920535059
155,265,47,2,45,35,9,36,107,0.920592528
156,268,46,2,44,36,7,37,107,0.92055113
157,270,46,2,44,36,6,38,107,0.920579045
158,273,45,2,43,37,8,35,107,0.920579852
159,276,44,2,42,38,7,35,107,0.920541807
160,278,44,2,42,38,7,35,108,0.920541461
161,280,44,2,42,38,7,35,109,0.920579056
