timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920598162
2,0,6,2,4,76,3,1,0,0.920558787
3,0,8,2,6,74,5,1,0,0.920510693
4,0,10,2,8,72,6,2,0,0.920558815
5,0,12,2,10,70,7,3,0,0.920530351
6,0,14,2,12,68,6,6,0,0.920566054
7,0,16,2,14,66,8,6,0,0.920581376
8,0,18,2,16,64,7,9,0,0.92058771
9,0,20,2,18,62,9,9,0,0.920602806
10,0,22,2,20,60,10,10,0,0.920580723
11,0,24,2,22,58,9,13,0,0.920588824
12,0,26,2,24,56,9,15,0,0.920648879
13,0,28,2,26,54,10,16,1,0.920667498
14,0,30,2,28,52,11,17,1,0.920618631
15,1,31,2,29,51,11,18,2,0.920664095
16,1,33,2,31,49,10,21,2,0.92059873
17,1,35,2,33,47,10,23,2,0.9206298
18,2,36,2,34,46,12,22,2,0.920625551
19,2,38,2,36,44,14,22,2,0.920665485
20,2,40,2,38,42,14,24,2,0.920638086
21,2,42,2,40,40,13,27,3,0.920679429
22,2,44,2,42,38,13,29,4,0.920689427
23,3,45,2,43,37,14,29,4,0.920679496
24,6,44,2,42,38,13,29,5,0.92061655
25,6,46,2,44,36,11,33,5,0.920625814
26,6,48,2,46,34,11,35,6,0.920620505
27,7,49,2,47,33,8,39,8,0.920600846
28,8,50,2,48,32,8,40,8,0.920638179
29,9,51,2,49,31,10,39,10,0.920616487
30,9,53,2,51,29,9,42,10,0.920617827
31,10,54,2,52,28,10,42,11,0.920640571
32,11,55,2,53,27,11,42,13,0.920674087
33,13,55,2,53,27,11,42,15,0.920622944
34,18,52,2,50,30,11,39,16,0.920596423
35,20,52,2,50,30,11,39,17,0.920622172
36,20,54,2,52,28,10,42,17,0.920627292
37,20,56,2,54,26,10,44,17,0.9206323
38,22,56,2,54,26,10,44,18,0.920675632
39,25,55,2,53,27,7,46,20,0.920657017
40,27,55,2,53,27,8,45,21,0.920566951
41,28,56,2,54,26,9,45,21,0.920645689
42,30,56,2,54,26,9,45,22,0.920677712
43,32,56,2,54,26,11,43,23,0.920680788
44,36,54,2,52,28,10,42,24,0.920656865
45,38,54,2,52,28,10,42,25,0.920668167
46,38,56,2,54,26,9,45,25,0.92066403
47,40,56,2,54,26,9,45,26,0.92065326
48,40,58,2,56,24,9,47,27,0.920631067
49,42,58,2,56,24,10,46,28,0.92072424
50,43,59,2,57,23,11,46,31,0.920738607
51,46,58,2,56,24,12,44,33,0.920616892
52,49,57,2,55,25,10,45,33,0.920645869
53,50,58,2,56,24,10,46,34,0.920603617
54,51,59,2,57,23,10,47,34,0.920620088
55,53,59,2,57,23,9,48,35,0.920648964
56,56,58,2,56,24,11,45,37,0.920626949
57,56,60,2,58,22,9,49,38,0.920611272
58,60,58,2,56,24,9,47,38,0.920588708
59,64,56,2,54,26,8,46,38,0.920598067
60,67,55,2,53,27,7,46,38,0.920605543
61,69,55,2,53,27,6,47,38,0.920580651
62,72,54,2,52,28,6,46,39,0.920648487
63,73,55,2,53,27,3,50,39,0.920613188
64,73,57,2,55,25,5,50,41,0.920578947
65,73,59,2,57,23,6,51,42,0.920622029
66,78,56,2,54,26,7,47,42,0.920603512
67,82,54,2,52,28,9,43,42,0.920591565
68,83,55,2,53,27,10,43,43,0.920610885
69,85,55,2,53,27,10,43,43,0.92055896
70,89,53,2,51,29,10,41,43,0.92058717
71,92,52,2,50,30,11,39,44,0.920636435
72,94,52,2,50,30,10,40,46,0.9206747
73,99,49,2,47,33,8,39,47,0.920559943
74,100,50,2,48,32,8,40,47,0.920610315
75,102,50,2,48,32,5,43,47,0.92057785
76,102,52,2,50,30,6,44,49,0.920595471
77,105,51,2,49,31,8,41,49,0.920642534
78,108,50,2,48,32,10,38,50,0.92060022
79,110,50,2,48,32,5,43,52,0.92059977
80,112,50,2,48,32,7,41,52,0.920632141
81,113,51,2,49,31,7,42,53,0.920643847
82,117,49,2,47,33,8,39,54,0.920680029
83,118,50,2,48,32,9,39,54,0.920604745
84,121,49,2,47,33,11,36,55,0.920611638
85,124,48,2,46,34,8,38,56,0.920568795
86,124,50,2,48,32,9,39,57,0.920608052
87,125,51,2,49,31,8,41,58,0.920624665
88,126,52,2,50,30,7,43,59,0.920593962
89,129,51,2,49,31,6,43,60,0.920562648
90,135,47,2,45,35,8,37,60,0.920606605
91,138,46,2,44,36,6,38,62,0.920593272
92,139,47,2,45,35,4,41,64,0.920701898
93,139,49,2,47,33,5,42,65,0.920667956
94,141,49,2,47,33,2,45,65,0.920543307
95,142,50,2,48,32,3,45,66,0.920637144
96,144,50,2,48,32,3,45,66,0.920560441
97,145,51,2,49,31,4,45,68,0.920612315
98,147,51,2,49,31,5,44,68,0.920650323
99,150,50,2,48,32,7,41,68,0.920618467
100,150,52,2,50,30,6,44,69,0.920581413
101,152,52,2,50,30,7,43,70,0.920702267
102,154,52,2,50,30,6,44,70,0.920623557
103,158,50,2,48,32,7,41,70,0.920562487
104,160,50,2,48,32,5,43,73,0.920623378
105,161,51,2,49,31,5,44,74,0.920622852
106,164,50,2,48,32,6,42,74,0.920599404
107,168,48,2,46,34,7,39,74,0.920640767
108,171,47,2,45,35,8,37,74,0.920632211
109,173,47,2,45,35,6,39,74,0.92060952
110,175,47,2,45,35,7,38,75,0.920616703
111,177,47,2,45,35,6,39,76,0.920604481
112,181,45,2,43,37,4,39,76,0.920570067
113,183,45,2,43,37,5,38,76,0.920568204
114,183,47,2,45,35,7,38,76,0.920667075
115,184,48,2,46,34,6,40,77,0.920713892
116,186,48,2,46,34,6,40,77,0.920622499
117,189,47,2,45,35,4,41,79,0.920634169
118,190,48,2,46,34,1,45,81,0.920569813
119,191,49,2,47,33,2,45,81,0.920586534
120,193,49,2,47,33,4,43,81,0.920647689
121,195,49,2,47,33,4,43,82,0.920603573
122,201,45,2,43,37,4,39,82,0.920601556
123,202,46,2,44,36,5,39,83,0.92064039
124,203,47,2,45,35,4,41,83,0.920608685
125,204,48,2,46,34,2,44,83,0.92060333
126,205,49,2,47,33,3,44,84,0.920568689
127,207,49,2,47,33,3,44,84,0.920549769
128,211,47,2,45,35,5,40,84,0.920574137
129,211,49,2,47,33,4,43,84,0.920579806
130,211,51,2,49,31,4,45,85,0.920605619
131,214,50,2,48,32,5,43,85,0.920621518
132,217,49,2,47,33,6,41,85,0.920567681
133,218,50,2,48,32,6,42,86,0.9206115
