agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,2,220,7,59,1,6,59
1,1,241,1,44,0,1,44
2,2,239,5,42,0,5,42
3,3,239,6,41,1,6,40
4,4,196,6,84,0,6,84
5,7,138,19,129,3,17,128
6,8,95,25,166,6,23,162
7,7,99,16,171,2,16,169
8,5,125,22,139,3,21,137
9,8,101,20,165,2,20,163
10,4,157,28,101,1,27,101
11,6,125,33,128,3,30,128
12,6,119,29,138,1,28,138
13,8,120,15,151,4,14,148
14,8,95,25,166,4,25,162
15,4,166,19,101,1,18,101
16,11,84,50,152,8,47,147
17,7,148,13,125,1,13,124
18,10,76,20,190,2,20,188
19,4,189,16,81,4,15,78
20,8,98,25,163,1,25,162
21,7,99,44,143,6,41,140
22,8,86,20,180,2,20,178
23,3,227,14,45,0,14,45
24,7,142,27,117,4,26,114
25,6,98,24,164,3,24,161
26,8,113,32,141,2,31,140
27,8,97,37,152,2,36,151
28,7,131,32,123,6,31,118
29,7,111,52,123,3,49,123
30,7,95,21,170,3,20,168
31,6,142,30,114,2,29,113
32,10,59,36,191,1,36,190
33,8,69,36,181,0,36,181
34,10,72,53,161,1,52,161
35,8,77,14,195,0,14,195
36,9,129,39,118,3,39,115
37,7,103,30,153,2,29,152
38,7,144,27,115,4,26,112
39,7,90,40,156,2,39,155
40,7,115,18,153,4,16,151
41,5,124,30,132,4,27,131
42,8,107,14,165,6,14,159
43,5,143,33,110,1,33,109
44,8,100,57,129,4,56,126
45,5,171,22,93,2,21,92
46,10,100,24,162,1,23,162
47,9,92,29,165,2,28,164
48,6,111,40,135,3,38,134
49,8,140,22,124,1,22,123
50,7,119,30,137,2,29,136
51,7,80,13,193,1,13,192
52,7,75,21,190,5,20,186
53,9,98,50,138,5,47,136
54,7,120,32,134,6,31,129
55,4,169,27,90,4,26,87
56,7,143,19,124,5,18,120
57,5,171,29,86,4,28,83
58,8,101,27,158,3,26,156
59,4,204,22,60,1,21,60
60,7,120,29,137,1,29,136
61,6,174,16,96,1,16,95
62,9,59,12,215,1,12,214
63,5,155,19,112,1,19,111
64,5,142,21,123,0,21,123
65,1,262,4,20,0,4,20
66,5,188,7,91,1,7,90
67,1,231,2,53,1,2,52
68,1,246,1,39,0,1,39
69,6,132,14,140,1,14,139
70,5,185,19,82,2,18,81
71,10,81,42,163,4,41,160
72,5,144,31,111,3,31,108
73,7,126,13,147,0,13,147
74,4,173,6,107,1,6,106
75,6,162,14,110,0,14,110
76,4,165,34,87,1,33,87
77,4,191,8,87,1,8,86
78,4,232,13,41,1,13,40
79,6,115,50,121,4,48,119
