agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,161,4,120,1,4,119
1,6,142,9,134,3,9,131
2,6,81,15,189,2,14,188
3,3,191,18,76,4,14,76
4,5,184,23,78,1,23,77
5,6,142,25,118,2,24,117
6,7,91,51,143,1,50,143
7,5,127,19,139,2,19,137
8,6,118,8,159,4,8,155
9,7,112,18,155,3,17,153
10,5,153,16,116,2,16,114
11,7,131,23,131,0,23,131
12,8,100,19,166,2,19,164
13,6,106,25,154,2,25,152
14,9,63,31,191,0,31,191
15,6,130,26,129,3,25,127
16,7,70,29,186,3,28,184
17,5,121,9,155,0,9,155
18,8,47,30,208,1,30,207
19,5,162,14,109,2,13,108
20,10,88,39,158,2,38,157
21,7,95,36,154,4,36,150
22,6,97,18,170,1,18,169
23,6,120,35,130,1,35,129
24,8,120,27,138,6,26,133
25,8,76,34,175,2,33,174
26,8,114,23,148,5,19,147
27,9,105,39,141,6,36,138
28,7,134,33,118,1,32,118
29,7,89,28,168,4,27,165
30,8,80,47,158,1,47,157
31,8,113,36,136,4,36,132
32,6,88,18,179,6,18,173
33,9,107,36,142,2,36,140
34,8,121,20,144,1,20,143
35,6,108,11,166,2,11,164
36,8,128,21,136,3,20,134
37,9,72,28,185,3,27,183
38,8,55,26,204,4,26,200
39,6,124,22,139,6,21,134
40,7,80,38,167,6,36,163
41,7,115,18,152,2,18,150
42,7,117,29,139,3,28,137
43,7,110,36,139,3,36,136
44,9,120,40,125,8,37,120
45,7,104,17,164,3,15,163
46,4,133,24,128,1,23,128
47,6,98,34,153,3,34,150
48,5,144,10,131,3,9,129
49,4,197,6,82,0,6,82
50,5,164,24,97,5,21,95
51,8,111,32,142,6,31,137
52,7,140,16,129,1,16,128
53,8,114,19,152,3,19,149
54,8,83,35,167,2,34,166
55,7,94,28,163,4,25,162
56,10,90,34,161,6,32,157
57,6,127,17,141,1,17,140
58,6,158,10,117,2,10,115
59,5,161,7,117,1,7,116
60,5,162,28,95,1,28,94
61,7,124,10,151,1,10,150
62,6,176,19,90,0,19,90
63,6,142,29,114,5,29,109
64,5,135,8,142,2,8,140
65,0,285,0,0,0,0,0
66,5,151,20,114,0,20,114
67,1,274,6,5,0,6,5
68,1,258,3,24,0,3,24
69,1,258,7,20,0,7,20
70,5,139,27,119,4,23,119
71,7,109,27,149,3,26,147
72,7,139,26,120,4,23,119
73,6,166,21,98,4,19,96
74,6,135,19,131,2,19,129
75,7,164,25,96,1,24,96
76,4,181,8,96,1,7,96
77,6,131,21,133,4,18,132
78,5,114,28,143,2,28,141
79,4,189,25,71,3,24,69
