task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,5,12,14,0,4,7,4,7,0,1,5,12,1.000000
1,0,1,18,25,33,6,9,7,15,7,2,1,18,25,1.000000
2,1,2,3,15,40,0,1,12,1,12,0,1,2,14,1.000000
3,1,2,3,26,25,0,1,23,1,23,0,1,2,25,1.000000
4,2,3,8,32,20,1,3,24,5,24,0,1,6,30,1.000000
5,2,3,5,18,18,0,2,13,2,13,0,1,3,16,1.000000
6,3,4,7,20,29,3,6,13,3,13,0,1,4,17,1.000000
7,3,4,11,25,20,0,7,14,7,14,0,1,8,22,1.000000
8,4,5,11,31,63,0,6,20,6,20,0,1,7,27,1.000000
9,4,5,5,40,37,0,0,35,0,35,0,1,1,36,1.000000
10,5,6,15,43,32,0,9,28,9,28,0,1,10,38,1.000000
11,5,6,8,30,30,1,1,22,2,22,0,1,3,25,1.000000
12,6,7,17,34,30,4,2,15,10,17,0,1,11,28,1.133333
13,6,7,7,38,52,0,0,31,0,31,0,1,1,32,1.000000
14,7,8,17,42,30,7,7,19,8,23,3,1,10,35,1.210526
15,7,8,11,29,36,3,6,18,3,18,0,1,4,22,1.000000
16,8,9,15,29,31,1,5,14,6,14,0,1,7,21,1.000000
17,8,9,14,39,41,5,6,19,5,25,0,1,6,31,1.315789
18,9,10,10,18,47,0,0,8,0,8,0,1,1,9,1.000000
19,9,10,11,40,31,0,1,27,1,29,0,1,2,31,1.074074
20,10,11,17,36,51,1,5,18,6,18,1,1,7,26,1.000000
21,10,11,20,38,44,0,9,16,9,16,2,1,10,28,1.000000
22,11,12,19,33,46,0,7,13,7,13,1,1,8,22,1.000000
23,11,12,27,38,79,1,11,9,15,11,0,1,16,27,1.222222
24,12,13,20,32,41,3,3,12,7,12,0,1,8,20,1.000000
25,12,13,15,41,22,0,2,24,2,26,0,1,3,29,1.083333
26,13,14,15,22,58,0,1,7,1,7,0,1,2,9,1.000000
27,13,14,19,37,53,1,7,14,5,18,0,1,6,24,1.285714
