timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920564777
2,0,6,2,4,76,3,1,0,0.920550237
3,0,8,2,6,74,5,1,0,0.920468982
4,0,10,2,8,72,6,2,0,0.920506369
5,0,12,2,10,70,7,3,0,0.9204764
6,0,14,2,12,68,6,6,0,0.920478223
7,0,16,2,14,66,8,6,0,0.920528804
8,0,18,2,16,64,7,9,0,0.920544945
9,0,20,2,18,62,9,9,0,0.920558939
10,0,22,2,20,60,10,10,0,0.920538613
11,0,24,2,22,58,9,13,0,0.920592147
12,0,26,2,24,56,9,15,1,0.920592524
13,0,28,2,26,54,11,15,2,0.920658725
14,0,30,2,28,52,12,16,2,0.920616065
15,1,31,2,29,51,12,17,2,0.920618006
16,1,33,2,31,49,10,21,2,0.920621474
17,1,35,2,33,47,10,23,2,0.920561136
18,2,36,2,34,46,11,23,2,0.920633715
19,2,38,2,36,44,13,23,3,0.920585369
20,2,40,2,38,42,13,25,3,0.920577566
21,2,42,2,40,40,13,27,4,0.920614396
22,2,44,2,42,38,12,30,6,0.920678319
23,3,45,2,43,37,14,29,6,0.920651397
24,5,45,2,43,37,16,27,6,0.920629873
25,5,47,2,45,35,15,30,7,0.920578272
26,5,49,2,47,33,14,33,8,0.920602768
27,5,51,2,49,31,15,34,9,0.920610107
28,5,53,2,51,29,15,36,9,0.920620822
29,7,53,2,51,29,13,38,11,0.920578915
30,7,55,2,53,27,11,42,16,0.920578126
31,9,55,2,53,27,12,41,16,0.920563236
32,12,54,2,52,28,12,40,16,0.920623056
33,13,55,2,53,27,12,41,18,0.920612138
34,15,55,2,53,27,9,44,20,0.920576312
35,16,56,2,54,26,11,43,24,0.920599194
36,16,58,2,56,24,7,49,27,0.920635489
37,16,60,2,58,22,8,50,28,0.920577152
38,20,58,2,56,24,9,47,29,0.920637515
39,25,55,2,53,27,8,45,29,0.920614841
40,28,54,2,52,28,7,45,29,0.920557795
41,30,54,2,52,28,9,43,29,0.920678847
42,30,56,2,54,26,10,44,31,0.920651687
43,31,57,2,55,25,11,44,31,0.920666131
44,33,57,2,55,25,12,43,31,0.920649349
45,35,57,2,55,25,12,43,32,0.920589464
46,38,56,2,54,26,9,45,32,0.920701815
47,38,58,2,56,24,8,48,33,0.920582492
48,39,59,2,57,23,7,50,33,0.920587992
49,42,58,2,56,24,7,49,34,0.920576151
50,46,56,2,54,26,8,46,38,0.920576141
51,47,57,2,55,25,7,48,40,0.92057446
52,50,56,2,54,26,9,45,40,0.920613495
53,56,52,2,50,30,8,42,40,0.920579933
54,56,54,2,52,28,9,43,40,0.920558907
55,58,54,2,52,28,11,41,42,0.920597636
56,58,56,2,54,26,10,44,43,0.9205506
57,59,57,2,55,25,11,44,43,0.920611378
58,62,56,2,54,26,10,44,45,0.920560209
59,63,57,2,55,25,9,46,46,0.920622315
60,65,57,2,55,25,8,47,49,0.920578044
61,66,58,2,56,24,6,50,51,0.920541479
62,71,55,2,53,27,6,47,51,0.920513541
63,71,57,2,55,25,5,50,52,0.920598918
64,72,58,2,56,24,7,49,52,0.920602487
65,73,59,2,57,23,8,49,54,0.920606181
66,76,58,2,56,24,7,49,56,0.920632136
67,79,57,2,55,25,8,47,57,0.920569678
68,81,57,2,55,25,8,47,57,0.920574123
69,84,56,2,54,26,10,44,59,0.920624547
70,88,54,2,52,28,11,41,60,0.920587798
71,89,55,2,53,27,11,42,60,0.920654743
72,91,55,2,53,27,11,42,60,0.920650931
73,94,54,2,52,28,11,41,61,0.920573907
74,100,50,2,48,32,9,39,62,0.920636785
75,102,50,2,48,32,9,39,63,0.920599789
76,104,50,2,48,32,10,38,63,0.920597348
77,105,51,2,49,31,11,38,63,0.920636744
78,108,50,2,48,32,11,37,63,0.920625839
79,110,50,2,48,32,12,36,63,0.920594369
80,110,52,2,50,30,13,37,63,0.920534318
81,111,53,2,51,29,11,40,64,0.920565566
82,114,52,2,50,30,9,41,65,0.920585926
83,116,52,2,50,30,10,40,65,0.920542796
84,120,50,2,48,32,9,39,67,0.92058192
85,123,49,2,47,33,9,38,68,0.92052671
86,123,51,2,49,31,8,41,69,0.920546224
87,126,50,2,48,32,7,41,69,0.920582177
88,127,51,2,49,31,7,42,69,0.920555853
89,128,52,2,50,30,7,43,69,0.920569079
90,129,53,2,51,29,6,45,70,0.920654537
91,130,54,2,52,28,7,45,71,0.920560332
92,132,54,2,52,28,8,44,72,0.920554444
93,134,54,2,52,28,6,46,72,0.920604138
94,137,53,2,51,29,8,43,72,0.920581941
95,139,53,2,51,29,8,43,73,0.920563056
