agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,1,245,2,44,0,2,44
1,4,154,30,107,2,29,106
2,3,234,5,52,1,5,51
3,2,228,10,53,1,10,52
4,5,176,11,104,1,11,103
5,7,128,18,145,1,17,145
6,7,90,55,146,5,53,143
7,7,102,33,156,3,30,156
8,7,128,38,125,3,38,122
9,5,136,29,126,2,29,124
10,4,182,34,75,0,34,75
11,6,102,25,164,1,25,163
12,8,91,17,183,3,17,180
13,7,137,31,123,4,30,120
14,8,104,23,164,5,19,163
15,7,125,24,142,2,23,141
16,7,109,22,160,2,21,159
17,7,128,32,131,1,31,131
18,10,92,54,145,4,54,141
19,6,163,12,116,2,12,114
20,10,73,43,175,3,42,173
21,7,95,38,158,3,38,155
22,8,91,35,165,5,33,162
23,8,92,35,164,2,35,162
24,9,116,17,158,1,16,158
25,8,103,32,156,2,31,155
26,10,74,46,171,2,45,170
27,10,71,32,188,2,30,188
28,7,90,27,174,2,27,172
29,9,48,38,205,2,37,204
30,10,55,29,207,5,28,203
31,6,128,29,134,4,26,133
32,8,97,25,169,1,24,169
33,10,75,33,183,2,32,182
34,11,84,31,176,2,31,174
35,4,180,24,87,4,20,87
36,6,167,23,101,0,23,101
37,8,100,30,161,3,28,160
38,10,96,42,153,4,41,150
39,8,86,31,174,1,30,174
40,7,100,25,166,2,24,165
41,7,117,37,137,2,35,137
42,7,102,23,166,4,22,163
43,6,142,32,117,3,32,114
44,9,123,28,140,3,27,138
45,8,83,34,174,4,33,171
46,8,148,24,119,2,24,117
47,9,75,40,176,2,39,175
48,6,125,27,139,1,27,138
49,8,132,20,139,3,19,137
50,7,129,18,144,3,17,142
51,9,123,36,132,2,35,131
52,8,72,26,193,3,24,192
53,6,127,25,139,4,25,135
54,7,111,19,161,3,19,158
55,6,145,19,127,1,19,126
56,6,154,27,110,2,26,109
57,6,174,13,104,2,12,103
58,5,177,8,106,0,8,106
59,6,137,24,130,2,23,129
60,6,142,23,126,1,23,125
61,3,215,5,71,1,5,70
62,8,130,9,152,1,9,151
63,7,99,34,158,1,33,158
64,5,164,17,110,5,15,107
65,0,291,0,0,0,0,0
66,4,183,25,83,2,24,82
67,1,279,0,12,0,0,12
68,1,261,11,19,0,11,19
69,4,215,15,61,1,15,60
70,5,135,8,148,3,8,145
71,0,290,1,0,0,1,0
72,3,197,11,83,1,11,82
73,6,130,14,147,3,12,146
74,2,222,13,56,3,12,54
75,1,259,2,30,0,2,30
76,5,164,17,110,2,16,109
77,3,204,24,63,3,24,60
78,3,215,10,66,0,10,66
79,7,139,25,127,2,25,125
