timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920183933
2,0,6,2,4,76,3,1,0,0.920212428
3,0,8,2,6,74,5,1,0,0.920249848
4,0,10,2,8,72,6,2,0,0.920229535
5,0,12,2,10,70,7,3,0,0.920246546
6,0,14,2,12,68,6,6,0,0.920293308
7,0,16,2,14,66,8,6,0,0.920278029
8,0,18,2,16,64,7,9,0,0.920247109
9,0,20,2,18,62,9,9,0,0.920173418
10,0,22,2,20,60,10,10,0,0.920276816
11,0,24,2,22,58,11,11,0,0.920315517
12,0,26,2,24,56,10,14,0,0.92024557
13,0,28,2,26,54,12,14,0,0.920263338
14,0,30,2,28,52,13,15,1,0.92024987
15,1,31,2,29,51,11,18,1,0.920259382
16,1,33,2,31,49,10,21,1,0.920307366
17,1,35,2,33,47,9,24,1,0.920305718
18,2,36,2,34,46,11,23,1,0.920317153
19,2,38,2,36,44,11,25,1,0.92031187
20,2,40,2,38,42,11,27,1,0.92033077
21,2,42,2,40,40,12,28,1,0.920326126
22,3,43,2,41,39,11,30,2,0.920285618
23,4,44,2,42,38,12,30,3,0.920285244
24,6,44,2,42,38,13,29,4,0.920300252
25,6,46,2,44,36,9,35,5,0.920309561
26,6,48,2,46,34,11,35,5,0.920300994
27,6,50,2,48,32,11,37,5,0.920260991
28,6,52,2,50,30,10,40,5,0.920315837
29,7,53,2,51,29,11,40,7,0.920314202
30,9,53,2,51,29,10,41,8,0.920284592
31,10,54,2,52,28,10,42,8,0.920289941
32,12,54,2,52,28,10,42,9,0.9202928
33,16,52,2,50,30,10,40,11,0.920310119
34,18,52,2,50,30,10,40,13,0.920285867
35,20,52,2,50,30,8,42,15,0.920311505
36,22,52,2,50,30,7,43,16,0.920336862
37,22,54,2,52,28,6,46,16,0.920325121
38,24,54,2,52,28,6,46,16,0.920307345
39,26,54,2,52,28,6,46,16,0.920309374
40,27,55,2,53,27,6,47,17,0.920286287
41,30,54,2,52,28,7,45,17,0.92030293
42,31,55,2,53,27,8,45,18,0.920314176
43,32,56,2,54,26,10,44,19,0.920327688
44,35,55,2,53,27,11,42,20,0.920358324
45,41,51,2,49,31,10,39,21,0.920293799
46,42,52,2,50,30,11,39,22,0.920306324
47,44,52,2,50,30,8,42,22,0.920321575
48,45,53,2,51,29,10,41,22,0.920337609
49,46,54,2,52,28,7,45,23,0.920297292
50,46,56,2,54,26,8,46,27,0.920260787
51,47,57,2,55,25,8,47,30,0.920319655
52,50,56,2,54,26,7,47,31,0.92033658
53,50,58,2,56,24,7,49,31,0.920309412
54,52,58,2,56,24,5,51,33,0.920309255
55,56,56,2,54,26,6,48,34,0.920289589
56,57,57,2,55,25,5,50,36,0.920332202
57,59,57,2,55,25,5,50,37,0.920297669
58,59,59,2,57,23,7,50,37,0.92025304
59,59,61,2,59,21,8,51,37,0.920286597
60,64,58,2,56,24,7,49,41,0.920270215
61,66,58,2,56,24,7,49,44,0.920291994
62,69,57,2,55,25,5,50,45,0.920301613
63,70,58,2,56,24,6,50,45,0.920261302
64,73,57,2,55,25,7,48,45,0.920290865
65,78,54,2,52,28,8,44,48,0.920318062
66,81,53,2,51,29,8,43,51,0.920267301
67,82,54,2,52,28,7,45,51,0.920265514
68,86,52,2,50,30,9,41,53,0.9202578
69,87,53,2,51,29,8,43,54,0.920329359
70,88,54,2,52,28,8,44,54,0.920274125
71,88,56,2,54,26,8,46,56,0.920327006
72,92,54,2,52,28,7,45,57,0.920275901
73,97,51,2,49,31,7,42,58,0.920250723
74,99,51,2,49,31,8,41,59,0.920261424
75,103,49,2,47,33,9,38,59,0.920303555
76,104,50,2,48,32,9,39,59,0.920258485
77,106,50,2,48,32,11,37,61,0.920296025
78,109,49,2,47,33,10,37,65,0.920331642
79,109,51,2,49,31,10,39,65,0.92031782
80,111,51,2,49,31,10,39,65,0.920311053
81,112,52,2,50,30,9,41,65,0.920350085
82,116,50,2,48,32,10,38,66,0.920286287
83,119,49,2,47,33,11,36,66,0.920305404
