agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,1,247,21,29,0,21,29
1,7,140,10,147,3,9,145
2,6,171,35,91,3,33,90
3,0,297,0,0,0,0,0
4,2,224,2,71,0,2,71
5,3,173,4,120,0,4,120
6,6,159,14,124,1,13,124
7,6,123,31,143,5,29,140
8,4,185,15,97,2,14,96
9,2,234,11,52,1,11,51
10,4,196,9,92,0,9,92
11,4,177,6,114,1,6,113
12,8,118,19,160,2,19,158
13,6,106,28,163,3,27,161
14,6,145,25,127,1,24,127
15,3,212,2,83,1,2,82
16,8,119,28,150,4,28,146
17,5,189,26,82,2,24,82
18,7,145,26,126,3,26,123
19,3,210,4,83,0,4,83
20,8,114,19,164,1,19,163
21,8,131,25,141,7,21,138
22,6,132,24,141,3,23,139
23,4,187,12,98,1,12,97
24,7,127,10,160,4,9,157
25,7,113,10,174,6,10,168
26,6,131,36,130,1,36,129
27,9,99,17,181,7,14,177
28,7,141,24,132,2,22,132
29,7,98,10,189,1,10,188
30,7,93,35,169,4,34,166
31,7,110,20,167,2,20,165
32,6,116,13,168,1,13,167
33,7,140,29,128,1,29,127
34,5,151,20,126,6,20,120
35,8,125,29,143,1,29,142
36,8,100,38,159,2,38,157
37,9,108,50,139,7,47,135
38,9,109,20,168,2,19,167
39,5,176,11,110,1,11,109
40,9,102,22,173,3,22,170
41,4,147,43,107,6,39,105
42,8,82,15,200,5,15,195
43,7,196,23,78,0,23,78
44,7,115,25,157,8,21,153
45,9,70,35,192,2,35,190
46,5,103,11,183,0,11,183
47,8,141,32,124,4,30,122
48,4,177,12,108,1,12,107
49,9,111,22,164,6,19,161
50,4,184,13,100,1,13,99
51,7,103,26,168,1,26,167
52,8,104,53,140,4,51,138
53,8,110,25,162,3,25,159
54,6,115,30,152,4,30,148
55,5,132,24,141,1,24,140
56,8,128,30,139,4,27,138
57,10,88,29,180,3,27,179
58,6,161,11,125,3,11,122
59,6,139,19,139,5,18,135
60,10,70,30,197,2,30,195
61,5,155,1,141,2,1,139
62,8,89,24,184,6,21,181
63,5,189,12,96,2,11,95
64,6,161,31,105,5,29,102
65,2,267,4,26,0,4,26
66,2,236,14,47,2,12,47
67,4,209,8,80,1,8,79
68,8,151,19,127,1,18,127
69,9,130,38,129,4,34,129
70,5,176,14,107,0,14,107
71,7,122,25,150,0,25,150
72,5,195,27,75,1,27,74
73,7,148,26,123,6,22,121
74,8,155,14,128,1,14,127
75,6,145,9,143,0,9,143
76,11,57,30,210,2,30,208
77,7,149,28,120,5,27,116
78,9,115,35,147,1,35,146
79,7,156,43,98,8,39,94
