task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,2,14,70,0,1,12,1,12,0,1,2,14,1.000000
1,0,1,7,27,14,0,6,20,6,20,0,1,7,27,1.000000
2,1,2,12,23,29,0,10,11,10,11,0,1,11,22,1.000000
3,1,2,7,29,40,0,5,20,5,22,0,1,6,28,1.100000
4,2,3,8,40,25,0,5,32,5,32,0,1,6,38,1.000000
5,2,3,6,22,20,0,3,16,3,16,0,1,4,20,1.000000
6,3,4,11,35,44,0,7,24,7,24,0,1,8,32,1.000000
7,3,4,9,19,37,0,5,10,5,10,0,1,6,16,1.000000
8,4,5,22,53,16,2,7,31,17,31,0,1,18,49,1.000000
9,4,5,7,20,51,0,2,13,2,13,0,1,3,16,1.000000
10,5,6,6,39,27,0,0,33,0,33,0,1,1,34,1.000000
11,5,6,7,22,36,0,1,15,1,15,0,1,2,17,1.000000
12,6,7,7,19,62,0,0,12,0,12,0,1,1,13,1.000000
13,6,7,15,29,56,0,8,14,8,14,0,1,9,23,1.000000
14,7,8,8,19,78,0,0,11,0,11,0,1,1,12,1.000000
15,7,8,9,30,35,0,1,21,1,21,0,1,2,23,1.000000
16,8,9,14,43,30,0,5,29,5,29,0,1,6,35,1.000000
17,8,9,18,52,6,0,9,30,9,34,0,1,10,44,1.133333
18,9,10,10,48,73,0,0,32,0,38,0,1,1,39,1.187500
19,9,10,12,28,16,0,2,16,2,16,0,1,3,19,1.000000
20,10,11,20,53,33,4,7,31,9,33,0,1,10,43,1.064516
21,10,11,11,19,50,0,0,8,0,8,0,1,1,9,1.000000
22,11,12,14,25,74,0,1,11,1,11,1,1,3,14,1.000000
23,11,12,29,54,47,1,9,16,17,24,1,1,18,43,1.500000
24,12,13,13,39,13,0,0,20,0,26,0,1,1,27,1.300000
25,12,13,13,24,79,0,0,10,0,10,1,1,1,12,1.000000
26,13,14,24,41,33,5,5,15,8,17,2,1,11,28,1.133333
27,13,14,31,44,12,6,14,13,17,13,0,1,18,31,1.000000
28,14,15,30,41,63,4,8,11,14,11,1,1,16,27,1.000000
29,14,15,16,23,22,0,1,7,1,7,0,1,2,9,1.000000
30,15,16,20,54,43,1,6,20,4,34,0,1,5,39,1.700000
31,15,16,17,42,70,0,1,22,1,24,1,1,2,27,1.090909
32,16,17,26,36,47,1,5,10,9,10,0,1,10,20,1.000000
33,16,17,61,77,19,36,32,15,43,15,2,1,45,61,1.000000
34,17,18,21,27,46,0,3,6,3,6,0,1,4,10,1.000000
35,17,18,18,29,58,0,0,10,0,10,1,1,1,12,1.000000
36,18,19,27,36,63,2,4,9,8,9,0,1,9,18,1.000000
37,18,19,19,32,9,0,0,13,0,13,0,1,1,14,1.000000
38,19,20,21,27,21,0,1,6,1,6,0,1,2,8,1.000000
39,19,20,22,52,41,1,13,13,2,29,1,1,3,33,2.230769
40,20,21,23,59,64,2,8,36,2,36,0,1,3,39,1.000000
41,20,21,51,64,37,4,5,9,27,13,3,1,31,44,1.444444
42,21,22,24,32,62,0,2,8,2,8,0,1,3,11,1.000000
43,21,22,22,66,49,0,0,44,0,44,0,1,1,45,1.000000
44,22,23,28,33,24,0,5,5,5,5,0,1,6,11,1.000000
45,22,23,26,53,26,1,5,23,3,27,0,1,4,31,1.173913
46,23,24,25,48,29,0,1,23,1,23,0,1,2,25,1.000000
47,23,24,25,47,10,0,1,22,1,22,0,1,2,24,1.000000
48,24,25,27,33,79,0,2,6,2,6,0,1,3,9,1.000000
49,24,25,35,52,26,0,10,12,10,16,1,1,11,28,1.333333
50,25,26,32,58,41,0,6,26,6,26,0,1,7,33,1.000000
51,25,26,36,56,5,0,10,18,10,20,0,1,11,31,1.111111
52,26,27,40,55,31,2,10,14,13,14,1,1,14,29,1.000000
53,26,27,29,42,37,0,2,13,2,13,0,1,3,16,1.000000
54,27,28,34,46,74,3,1,10,6,12,0,1,7,19,1.200000
55,27,28,32,46,46,0,4,13,4,13,1,1,5,19,1.000000
56,28,29,29,36,21,0,0,7,0,7,0,1,1,8,1.000000
57,28,29,30,59,16,0,1,27,1,29,0,1,2,31,1.074074
58,29,30,33,60,74,1,2,26,2,26,2,1,4,31,1.000000
59,29,30,31,52,75,0,1,19,1,21,0,1,2,23,1.105263
60,30,31,33,50,28,0,2,17,2,17,0,1,3,20,1.000000
61,30,31,31,69,56,0,0,38,0,38,0,1,1,39,1.000000
62,31,32,37,61,19,2,31,21,4,23,2,1,6,30,1.095238
63,31,32,33,50,53,0,1,17,1,17,0,1,2,19,1.000000
64,32,33,36,66,76,1,2,28,3,30,0,1,4,34,1.071429
65,32,33,34,54,15,0,1,18,1,20,0,1,2,22,1.111111
66,33,34,34,54,42,0,0,17,0,19,1,1,1,21,1.117647
67,33,34,34,63,76,0,0,26,0,28,1,1,1,30,1.076923
68,34,35,42,76,7,0,7,34,7,34,0,1,8,42,1.000000
69,34,35,48,69,38,3,13,19,11,21,2,1,14,35,1.105263
70,35,36,40,63,58,0,4,23,4,23,0,1,5,28,1.000000
71,35,36,40,70,12,1,13,29,4,29,1,1,5,35,1.000000
72,36,37,37,42,35,0,0,5,0,5,0,1,1,6,1.000000
73,36,37,37,52,44,0,0,15,0,15,0,1,1,16,1.000000
74,37,38,48,72,50,1,9,15,10,23,1,1,11,35,1.533333
75,37,38,41,49,57,0,3,8,3,8,0,1,4,12,1.000000
76,38,39,48,90,77,0,9,22,9,42,0,1,10,52,1.909091
77,38,39,52,66,43,3,9,11,13,13,1,1,14,28,1.181818
78,39,40,43,70,78,1,3,27,0,27,3,1,4,31,1.000000
79,39,40,41,53,13,0,1,12,1,12,0,1,2,14,1.000000
80,40,41,47,50,14,1,8,3,6,3,0,1,7,10,1.000000
81,40,41,42,55,27,1,4,13,1,13,0,1,2,15,1.000000
82,41,42,46,59,19,0,4,13,4,13,0,1,5,18,1.000000
83,41,42,42,68,17,0,0,22,0,24,2,1,1,27,1.090909
84,42,43,43,88,2,0,0,43,0,45,0,1,1,46,1.046512
85,42,43,47,55,39,1,32,8,4,8,0,1,5,13,1.000000
86,43,44,48,71,27,0,4,18,4,22,1,1,5,28,1.222222
87,43,44,44,58,20,0,0,14,0,14,0,1,1,15,1.000000
88,44,45,46,75,60,0,1,23,1,27,2,1,2,31,1.173913
89,44,45,47,74,4,0,2,22,2,26,1,1,3,30,1.181818
90,45,46,46,78,9,0,0,28,0,30,2,1,1,33,1.071429
91,45,46,46,52,54,0,0,6,0,6,0,1,1,7,1.000000
92,46,47,48,63,14,0,1,15,1,15,0,1,2,17,1.000000
93,46,47,53,73,11,1,9,17,6,19,1,1,7,27,1.117647
94,47,48,56,68,23,0,8,11,8,11,1,1,9,21,1.000000
95,47,48,53,55,36,0,3,2,5,2,0,1,6,8,1.000000
96,48,49,54,69,73,0,5,11,5,15,0,1,6,21,1.363636
97,48,49,50,62,39,0,1,12,1,12,0,1,2,14,1.000000
98,49,50,51,71,74,1,1,20,1,20,0,1,2,22,1.000000
99,49,50,52,76,37,0,2,22,2,24,0,1,3,27,1.090909
100,50,51,53,67,10,0,2,14,2,14,0,1,3,17,1.000000
101,50,51,57,98,25,1,3,33,6,41,0,1,7,48,1.242424
102,51,52,58,81,40,0,6,14,6,22,1,1,7,30,1.571429
103,51,52,57,80,25,0,5,22,5,22,1,1,6,29,1.000000
104,52,53,55,71,38,0,2,13,2,15,1,1,3,19,1.153846
105,52,53,55,80,54,1,2,23,1,25,1,1,3,28,1.086957
106,53,54,56,59,26,0,2,3,2,3,0,1,3,6,1.000000
107,53,54,63,94,57,0,4,31,8,31,1,1,10,41,1.000000
108,54,55,56,67,22,0,1,11,1,11,0,1,2,13,1.000000
109,54,55,56,77,42,0,1,19,1,21,0,1,2,23,1.105263
110,55,56,58,81,13,0,2,17,2,23,0,1,3,26,1.352941
111,55,56,63,92,48,1,8,24,6,28,2,1,8,37,1.166667
112,56,57,59,92,70,0,2,33,2,33,0,1,3,36,1.000000
113,56,57,57,71,54,0,0,12,0,14,0,1,1,15,1.166667
114,57,58,76,95,64,9,8,19,17,19,1,1,19,38,1.000000
115,57,58,59,101,30,0,1,40,1,42,0,1,2,44,1.050000
116,58,59,61,95,59,1,3,29,2,33,1,1,3,37,1.137931
117,58,59,63,82,75,0,4,19,4,19,0,1,5,24,1.000000
118,59,60,60,69,63,0,0,6,0,8,1,1,1,10,1.333333
119,59,60,62,90,18,2,1,25,2,27,1,1,3,31,1.080000
120,60,61,65,96,18,1,7,19,3,31,1,1,5,36,1.631579
121,60,61,69,91,26,5,8,20,8,22,0,1,9,31,1.100000
122,61,62,64,97,36,0,2,33,2,33,0,1,3,36,1.000000
123,61,62,62,96,34,0,0,26,0,34,0,1,1,35,1.307692
124,62,63,66,78,6,1,6,12,3,12,0,1,4,16,1.000000
125,62,63,68,92,28,1,4,18,3,24,2,1,6,30,1.333333
126,63,64,65,77,76,0,1,12,1,12,0,1,2,14,1.000000
127,63,64,72,77,31,2,5,5,8,5,0,1,9,14,1.000000
128,64,65,74,102,24,1,5,22,9,28,0,1,10,38,1.272727
129,64,65,66,84,78,0,1,17,1,17,1,1,2,20,1.000000
130,65,66,67,95,6,0,1,27,1,27,1,1,2,30,1.000000
131,65,66,73,93,14,0,7,19,7,19,1,1,8,28,1.000000
132,66,67,72,84,72,1,9,12,5,12,0,1,6,18,1.000000
133,66,67,71,74,28,0,1,2,3,2,2,1,5,8,1.000000
134,67,68,69,81,24,1,2,12,1,12,0,1,2,14,1.000000
135,67,68,87,97,44,5,9,10,19,10,0,1,20,30,1.000000
136,68,69,71,83,24,1,4,12,2,12,0,1,3,15,1.000000
137,68,69,71,96,29,0,2,25,2,25,0,1,3,28,1.000000
138,69,70,71,97,17,0,1,23,1,25,1,1,2,28,1.086957
139,69,70,72,79,32,0,2,7,2,7,0,1,3,10,1.000000
140,70,71,72,85,22,0,1,13,1,13,0,1,2,15,1.000000
141,70,71,71,80,24,0,0,5,0,9,0,1,1,10,1.800000
142,71,72,73,105,52,0,1,25,1,31,1,1,2,34,1.240000
143,71,72,78,107,59,1,8,29,6,29,0,1,7,36,1.000000
144,72,73,80,111,49,0,7,25,7,31,0,1,8,39,1.240000
145,72,73,73,99,11,0,0,22,0,26,0,1,1,27,1.181818
146,73,74,75,100,3,0,1,25,1,25,0,1,2,27,1.000000
147,73,74,76,104,1,0,1,28,1,28,1,1,3,31,1.000000
148,74,75,77,97,4,0,2,18,2,20,0,1,3,23,1.111111
149,74,75,78,105,50,0,3,25,3,27,0,1,4,31,1.080000
150,75,76,79,95,35,0,3,14,3,16,0,1,4,20,1.142857
151,75,76,78,109,44,0,2,31,2,31,0,1,3,34,1.000000
152,76,77,103,120,21,7,5,17,25,17,1,1,27,44,1.000000
153,76,77,77,107,37,0,0,25,0,29,1,1,1,31,1.160000
154,77,78,79,80,54,0,1,1,1,1,0,1,2,3,1.000000
155,77,78,82,100,60,0,4,18,4,18,0,1,5,23,1.000000
156,78,79,86,114,46,1,5,24,7,28,0,1,8,36,1.166667
157,78,79,80,87,16,0,1,7,1,7,0,1,2,9,1.000000
158,79,80,85,98,56,0,5,13,5,13,0,1,6,19,1.000000
159,79,80,87,90,76,0,5,3,7,3,0,1,8,11,1.000000
160,80,81,83,105,19,0,2,22,2,22,0,1,3,25,1.000000
161,80,81,82,113,71,0,1,27,1,31,0,1,2,33,1.148148
162,81,82,82,97,21,0,0,10,0,14,1,1,1,16,1.400000
163,81,82,96,120,39,8,32,24,13,24,1,1,15,39,1.000000
164,82,83,87,100,32,0,4,12,4,12,1,1,5,18,1.000000
165,82,83,84,113,47,0,1,29,1,29,0,1,2,31,1.000000
166,83,84,89,100,25,0,5,9,5,11,0,1,6,17,1.222222
167,83,84,88,108,23,0,4,20,4,20,0,1,5,25,1.000000
168,84,85,87,98,40,0,2,11,2,11,0,1,3,14,1.000000
169,84,85,86,111,78,0,1,20,1,24,1,1,2,27,1.200000
170,85,86,89,92,13,0,3,3,3,3,0,1,4,7,1.000000
171,85,86,96,112,10,2,5,16,9,16,1,1,11,27,1.000000
172,86,87,91,105,12,1,9,14,4,14,0,1,5,19,1.000000
173,86,87,90,107,9,0,3,17,3,17,0,1,4,21,1.000000
174,87,88,90,118,48,0,2,28,2,28,0,1,3,31,1.000000
175,87,88,91,105,59,1,4,12,3,14,0,1,4,18,1.166667
176,88,89,91,101,63,0,2,9,2,9,1,1,3,13,1.000000
177,88,89,97,121,10,1,4,22,8,24,0,1,9,33,1.090909
178,89,90,90,106,24,0,0,15,0,15,1,1,1,17,1.000000
179,89,90,95,111,7,2,10,15,5,15,1,1,6,22,1.000000
180,90,91,101,109,54,2,8,8,10,8,0,1,11,19,1.000000
181,90,91,106,126,51,4,4,17,13,19,3,1,16,36,1.117647
182,91,92,100,124,7,2,6,24,8,24,0,1,9,33,1.000000
183,91,92,93,104,15,0,1,10,1,10,1,1,2,13,1.000000
184,92,93,94,123,53,0,1,23,1,29,0,1,2,31,1.260870
185,92,93,94,100,7,0,1,6,1,6,0,1,2,8,1.000000
186,93,94,96,126,74,1,10,24,2,28,2,1,3,33,1.166667
187,93,94,96,122,61,0,2,26,2,26,0,1,3,29,1.000000
188,94,95,95,108,54,0,0,13,0,13,0,1,1,14,1.000000
189,94,95,100,128,33,0,1,24,5,28,0,1,6,34,1.166667
190,95,96,101,117,79,5,6,14,5,16,0,1,6,22,1.142857
191,95,96,98,109,16,0,2,11,2,11,0,1,3,14,1.000000
192,96,97,102,142,75,0,4,39,4,39,2,1,6,46,1.000000
193,96,97,105,132,77,1,9,23,8,27,0,1,9,36,1.173913
194,97,98,99,116,4,0,1,17,1,17,0,1,2,19,1.000000
195,97,98,111,152,74,4,10,25,13,39,2,1,14,55,1.560000
196,98,99,101,136,70,1,1,35,1,35,1,1,3,38,1.000000
197,98,99,107,118,77,3,6,9,7,11,1,1,9,20,1.222222
198,99,100,103,121,11,0,3,14,3,18,0,1,4,22,1.285714
199,99,100,103,126,77,1,4,19,3,23,0,1,4,27,1.210526
200,100,101,105,141,36,0,4,33,4,35,1,1,5,41,1.060606
201,100,101,101,119,60,0,0,18,0,18,0,1,1,19,1.000000
202,101,102,105,127,17,0,3,22,3,22,0,1,4,26,1.000000
203,101,102,106,111,30,3,4,5,3,5,1,1,5,10,1.000000
204,102,103,105,129,77,1,4,18,2,24,0,1,3,27,1.333333
205,102,103,104,113,69,0,1,7,1,9,0,1,2,11,1.285714
206,103,104,107,116,46,0,3,9,3,9,0,1,4,13,1.000000
207,103,104,110,137,26,1,7,24,6,26,1,1,7,34,1.083333
208,104,105,106,140,5,1,4,32,1,34,0,1,2,36,1.062500
209,104,105,108,116,26,0,3,8,3,8,0,1,4,12,1.000000
210,105,106,107,124,56,0,1,17,1,17,0,1,2,19,1.000000
211,105,106,113,137,2,2,6,21,7,23,1,1,8,32,1.095238
212,106,107,111,152,27,2,4,41,4,41,0,1,5,46,1.000000
213,106,107,108,145,29,0,1,31,1,37,0,1,2,39,1.193548
214,107,108,109,144,5,0,1,17,1,35,0,1,2,37,2.058824
215,107,108,117,131,59,1,5,14,9,14,0,1,10,24,1.000000
216,108,109,110,148,38,0,1,35,1,37,1,1,2,40,1.057143
217,108,109,112,126,59,0,3,14,3,14,0,1,4,18,1.000000
218,109,110,116,126,34,2,5,10,6,10,0,1,7,17,1.000000
219,109,110,111,125,41,0,1,14,1,14,0,1,2,16,1.000000
220,110,111,114,129,35,2,7,10,3,14,1,1,4,19,1.400000
221,110,111,114,134,2,0,1,17,1,19,3,1,4,24,1.117647
222,111,112,114,148,39,0,2,34,2,34,0,1,3,37,1.000000
223,111,112,114,130,32,0,2,14,2,16,0,1,3,19,1.142857
224,112,113,113,133,34,0,0,19,0,19,1,1,1,21,1.000000
225,112,113,129,141,23,8,3,12,16,12,0,1,17,29,1.000000
226,113,114,115,144,44,1,3,29,1,29,0,1,2,31,1.000000
227,113,114,116,128,16,0,2,11,2,11,1,1,3,15,1.000000
228,114,115,117,119,58,0,2,2,2,2,0,1,3,5,1.000000
229,114,115,118,142,44,0,3,22,3,24,0,1,4,28,1.090909
230,115,116,118,137,57,2,1,19,2,19,0,1,3,22,1.000000
231,115,116,127,149,50,4,7,20,11,22,0,1,12,34,1.100000
232,116,117,118,160,28,0,1,38,1,42,0,1,2,44,1.105263
