timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,0,2,0,0.920444702
2,0,6,2,4,76,2,2,0,0.920577698
3,0,8,2,6,74,3,3,0,0.920513455
4,0,10,2,8,72,5,3,0,0.920571972
5,0,12,2,10,70,6,4,0,0.920539476
6,0,14,2,12,68,8,4,0,0.920507883
7,0,16,2,14,66,8,6,0,0.920533776
8,0,18,2,16,64,10,6,0,0.920514913
9,0,20,2,18,62,11,7,0,0.92060958
10,0,22,2,20,60,11,9,0,0.920568147
11,0,24,2,22,58,11,11,1,0.920570165
12,0,26,2,24,56,7,17,2,0.92058727
13,1,27,2,25,55,8,17,3,0.920599682
14,1,29,2,27,53,9,18,3,0.92062513
15,1,31,2,29,51,9,20,4,0.920611626
16,2,32,2,30,50,10,20,5,0.920664228
17,2,34,2,32,48,11,21,5,0.920595972
18,3,35,2,33,47,12,21,7,0.920614156
19,3,37,2,35,45,11,24,8,0.920597514
20,5,37,2,35,45,11,24,8,0.920545376
21,5,39,2,37,43,9,28,10,0.920573409
22,6,40,2,38,42,8,30,12,0.920641278
23,7,41,2,39,41,8,31,12,0.920520929
24,7,43,2,41,39,9,32,12,0.920641739
25,8,44,2,42,38,9,33,13,0.920564103
26,9,45,2,43,37,9,34,14,0.920544041
27,9,47,2,45,35,10,35,14,0.920633358
28,10,48,2,46,34,10,36,14,0.920587001
29,10,50,2,48,32,11,37,14,0.92062745
30,11,51,2,49,31,12,37,15,0.920656944
31,11,53,2,51,29,12,39,17,0.920680218
32,11,55,2,53,27,11,42,19,0.920664503
33,13,55,2,53,27,10,43,20,0.920544695
34,13,57,2,55,25,8,47,22,0.920609808
35,14,58,2,56,24,9,47,24,0.920560509
36,20,54,2,52,28,10,42,26,0.920671878
37,21,55,2,53,27,9,44,27,0.92065279
38,22,56,2,54,26,10,44,29,0.920581952
39,25,55,2,53,27,9,44,29,0.920712421
40,27,55,2,53,27,9,44,29,0.920650327
41,31,53,2,51,29,11,40,30,0.920689201
42,35,51,2,49,31,10,39,32,0.920609003
43,36,52,2,50,30,10,40,33,0.920574246
44,38,52,2,50,30,11,39,34,0.920556063
45,39,53,2,51,29,10,41,35,0.920594556
46,43,51,2,49,31,7,42,37,0.920600797
47,45,51,2,49,31,8,41,37,0.920576094
48,47,51,2,49,31,7,42,38,0.920604603
49,48,52,2,50,30,4,46,38,0.920572162
50,48,54,2,52,28,6,46,40,0.920572929
51,48,56,2,54,26,7,47,42,0.920580887
52,52,54,2,52,28,8,44,43,0.920557749
53,53,55,2,53,27,9,44,43,0.920543499
54,53,57,2,55,25,10,45,43,0.92063917
55,53,59,2,57,23,9,48,43,0.920682625
56,54,60,2,58,22,9,49,44,0.920685719
57,55,61,2,59,21,9,50,44,0.92065076
58,59,59,2,57,23,11,46,45,0.920681065
59,61,59,2,57,23,11,46,45,0.920682796
60,64,58,2,56,24,12,44,48,0.920643289
61,65,59,2,57,23,11,46,49,0.920598469
62,65,61,2,59,21,10,49,50,0.920620047
63,70,58,2,56,24,12,44,50,0.920697174
64,71,59,2,57,23,13,44,51,0.920637382
65,75,57,2,55,25,14,41,53,0.920665702
66,78,56,2,54,26,15,39,53,0.920636915
67,80,56,2,54,26,13,41,53,0.920674108
68,81,57,2,55,25,11,44,54,0.92065943
69,83,57,2,55,25,12,43,56,0.920693881
70,86,56,2,54,26,12,42,56,0.920663838
71,87,57,2,55,25,12,43,57,0.920627971
72,88,58,2,56,24,12,44,59,0.920620146
73,90,58,2,56,24,14,42,59,0.920637761
74,91,59,2,57,23,15,42,61,0.920664669
75,95,57,2,55,25,14,41,62,0.92066596
76,97,57,2,55,25,13,42,64,0.92062986
77,98,58,2,56,24,12,44,64,0.920666588
78,102,56,2,54,26,12,42,64,0.920695775
79,104,56,2,54,26,13,41,66,0.920658307
80,105,57,2,55,25,11,44,68,0.920618496
81,105,59,2,57,23,10,47,70,0.920648056
82,106,60,2,58,22,10,48,71,0.920708439
83,112,56,2,54,26,10,44,71,0.92074748
84,114,56,2,54,26,11,43,72,0.920599248
85,115,57,2,55,25,10,45,72,0.920680708
86,116,58,2,56,24,10,46,73,0.920636403
87,117,59,2,57,23,11,46,76,0.920650751
88,118,60,2,58,22,10,48,76,0.920686095
89,119,61,2,59,21,11,48,79,0.920663314
90,120,62,2,60,20,12,48,82,0.920693395
91,123,61,2,59,21,12,47,83,0.920676889
92,126,60,2,58,22,14,44,85,0.920723393
93,131,57,2,55,25,15,40,89,0.920703421
94,134,56,2,54,26,14,40,90,0.9206752
95,136,56,2,54,26,14,40,92,0.920665163
96,138,56,2,54,26,14,40,93,0.920663153
97,139,57,2,55,25,13,42,94,0.920644971
98,139,59,2,57,23,12,45,95,0.920598577
99,140,60,2,58,22,10,48,95,0.920648488
100,141,61,2,59,21,9,50,96,0.920630624
101,141,63,2,61,19,8,53,98,0.920662177
102,145,61,2,59,21,8,51,101,0.920608467
103,146,62,2,60,20,9,51,102,0.920606472
104,147,63,2,61,19,11,50,104,0.920687081
105,148,64,2,62,18,11,51,105,0.920665259
106,153,61,2,59,21,9,50,108,0.920656506
107,155,61,2,59,21,8,51,110,0.920644572
108,159,59,2,57,23,8,49,112,0.920629794
109,162,58,2,56,24,7,49,112,0.920696516
110,163,59,2,57,23,7,50,114,0.920641081
111,166,58,2,56,24,9,47,115,0.920518763
112,169,57,2,55,25,7,48,115,0.920641048
113,169,59,2,57,23,7,50,116,0.920559952
114,172,58,2,56,24,8,48,118,0.92053635
115,174,58,2,56,24,6,50,118,0.920622938
116,178,56,2,54,26,8,46,120,0.92051609
117,181,55,2,53,27,8,45,121,0.920527636
118,183,55,2,53,27,7,46,122,0.920612004
119,185,55,2,53,27,7,46,122,0.920570445
120,189,53,2,51,29,6,45,122,0.920604811
121,191,53,2,51,29,8,43,124,0.920591913
122,194,52,2,50,30,7,43,125,0.92062424
123,196,52,2,50,30,8,42,126,0.920555406
124,198,52,2,50,30,7,43,128,0.92057823
125,200,52,2,50,30,7,43,129,0.92060148
126,202,52,2,50,30,8,42,130,0.920588297
127,203,53,2,51,29,7,44,133,0.920577506
128,205,53,2,51,29,8,43,135,0.920603834
129,209,51,2,49,31,10,39,136,0.920616346
130,212,50,2,48,32,10,38,137,0.920549893
131,214,50,2,48,32,9,39,137,0.920563722
132,217,49,2,47,33,6,41,138,0.920588843
