task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,45,62,0,0,44,0,44,0,1,1,45,1.000000
1,0,1,5,12,51,0,4,7,4,7,0,1,5,12,1.000000
2,1,2,2,34,27,0,0,32,0,32,0,1,1,33,1.000000
3,1,2,5,36,40,1,1,30,3,30,1,1,4,35,1.000000
4,2,3,4,45,56,0,1,39,1,41,0,1,2,43,1.051282
5,2,3,11,35,40,0,8,18,8,24,0,1,9,33,1.333333
6,3,4,7,12,70,0,3,5,3,5,0,1,4,9,1.000000
7,3,4,4,37,59,0,0,33,0,33,0,1,1,34,1.000000
8,4,5,5,31,9,0,0,23,0,25,1,1,1,27,1.086957
9,4,5,5,37,10,0,0,29,0,31,1,1,1,33,1.068966
10,5,6,11,23,44,0,5,12,5,12,0,1,6,18,1.000000
11,5,6,11,38,14,0,5,25,5,27,0,1,6,33,1.080000
12,6,7,15,49,79,0,8,20,8,34,0,1,9,43,1.700000
13,6,7,7,32,41,0,0,23,0,23,2,1,1,26,1.000000
14,7,8,16,25,78,0,8,9,8,9,0,1,9,18,1.000000
15,7,8,16,34,63,0,8,14,8,18,0,1,9,27,1.285714
16,8,9,20,47,33,0,11,18,11,26,1,1,12,39,1.444444
17,8,9,15,35,37,0,6,19,6,19,1,1,7,27,1.000000
18,9,10,23,35,43,1,9,10,12,12,1,1,14,26,1.200000
19,9,10,17,40,47,1,8,21,7,23,0,1,8,31,1.095238
20,10,11,13,24,29,0,2,11,2,11,0,1,3,14,1.000000
21,10,11,11,21,42,0,0,10,0,10,0,1,1,11,1.000000
22,11,12,12,19,73,0,0,7,0,7,0,1,1,8,1.000000
23,11,12,21,53,52,0,9,18,9,32,0,1,10,42,1.777778
24,12,13,15,31,20,0,2,16,2,16,0,1,3,19,1.000000
25,12,13,13,37,53,0,0,22,0,24,0,1,1,25,1.090909
26,13,14,15,52,69,0,1,35,1,37,0,1,2,39,1.057143
27,13,14,19,42,25,0,5,20,5,22,1,1,6,29,1.100000
28,14,15,18,28,71,0,3,8,3,10,0,1,4,14,1.250000
29,14,15,25,53,77,2,10,28,10,28,0,1,11,39,1.000000
30,15,16,25,30,13,0,9,5,9,5,0,1,10,15,1.000000
31,15,16,22,45,36,0,4,21,6,23,0,1,7,30,1.095238
32,16,17,32,49,51,5,9,17,15,17,0,1,16,33,1.000000
33,16,17,18,45,76,0,1,21,1,27,0,1,2,29,1.285714
34,17,18,18,23,72,0,0,5,0,5,0,1,1,6,1.000000
35,17,18,18,42,18,0,0,22,0,24,0,1,1,25,1.090909
36,18,19,19,41,32,0,0,22,0,22,0,1,1,23,1.000000
37,18,19,24,51,77,1,4,22,5,26,1,1,6,33,1.181818
38,19,20,30,47,70,0,10,15,10,15,2,1,11,28,1.000000
39,19,20,20,52,48,0,0,30,0,32,0,1,1,33,1.066667
40,20,21,21,59,74,0,0,32,0,38,0,1,1,39,1.187500
41,20,21,25,43,51,0,4,15,4,17,1,1,5,23,1.133333
42,21,22,22,57,12,0,0,28,0,34,1,1,1,36,1.214286
43,21,22,31,54,6,0,9,19,9,23,0,1,10,33,1.210526
44,22,23,25,41,35,0,2,16,2,16,0,1,3,19,1.000000
45,22,23,25,41,30,0,2,16,2,16,0,1,3,19,1.000000
46,23,24,24,67,31,0,0,40,0,42,1,1,1,44,1.050000
47,23,24,30,52,44,0,5,22,5,22,1,1,7,29,1.000000
48,24,25,34,56,45,1,11,20,9,22,0,1,10,32,1.100000
49,24,25,35,48,24,1,11,12,9,12,2,1,11,24,1.000000
50,25,26,26,48,29,0,0,20,0,22,0,1,1,23,1.100000
51,25,26,27,38,8,0,1,11,1,11,0,1,2,13,1.000000
52,26,27,31,47,23,1,9,12,4,16,0,1,5,21,1.333333
