agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,2,244,2,42,0,2,42
1,3,203,4,81,0,4,81
2,2,202,14,72,1,13,72
3,4,187,18,83,0,18,83
4,5,182,4,102,1,4,101
5,7,106,44,138,1,44,137
6,6,110,41,137,0,41,137
7,7,82,21,185,2,20,184
8,7,122,26,140,5,25,136
9,5,127,20,141,4,20,137
10,6,122,41,125,2,41,123
11,5,114,22,152,1,22,151
12,8,59,24,205,3,23,203
13,8,106,30,152,2,29,151
14,9,101,28,159,3,28,156
15,7,117,34,137,7,32,132
16,8,100,50,138,8,47,133
17,9,131,26,131,3,26,128
18,8,132,28,128,1,27,128
19,6,128,28,132,4,26,130
20,8,92,31,165,5,30,161
21,8,111,26,151,5,24,148
22,5,133,17,138,2,17,136
23,5,191,18,79,2,16,79
24,6,206,15,67,1,15,66
25,8,80,21,187,4,21,183
26,7,117,20,151,0,20,151
27,7,92,34,162,3,33,160
28,7,85,32,171,2,31,170
29,9,110,35,143,3,34,141
30,8,127,11,150,2,11,148
31,5,153,19,116,5,19,111
32,9,149,22,117,3,21,115
33,8,98,30,160,4,29,157
34,9,129,18,141,3,17,139
35,8,107,30,151,4,30,147
36,8,104,43,141,2,42,140
37,7,115,9,164,4,8,161
38,8,102,41,145,7,38,141
39,5,191,18,79,1,17,79
40,8,115,11,162,2,11,160
41,10,88,23,177,2,23,175
42,5,150,16,122,1,16,121
43,8,78,40,170,3,39,168
44,9,102,27,159,6,26,154
45,7,101,45,142,2,45,140
46,7,149,23,116,1,23,115
47,7,129,22,137,3,22,134
48,6,136,41,111,2,41,109
49,6,127,27,134,2,26,133
50,6,131,6,151,0,6,151
51,7,147,31,110,2,30,109
52,8,89,23,176,5,23,171
53,7,104,32,152,0,32,152
54,6,160,24,104,2,24,102
55,6,117,28,143,3,27,141
56,5,200,21,67,2,19,67
57,5,127,11,150,1,11,149
58,6,157,8,123,1,8,122
59,7,114,24,150,3,22,149
60,6,154,16,118,0,16,118
61,3,213,2,73,2,2,71
62,7,143,22,123,3,21,121
63,8,85,53,150,2,53,148
64,6,149,27,112,2,25,112
65,0,288,0,0,0,0,0
66,3,219,11,58,2,11,56
67,2,247,3,38,0,3,38
68,5,174,20,94,3,20,91
69,5,140,11,137,1,11,136
70,1,277,2,9,0,2,9
71,5,177,7,104,0,7,104
72,2,207,13,68,0,13,68
73,6,140,20,128,3,19,126
74,7,129,21,138,0,21,138
75,4,181,15,92,1,15,91
76,5,172,20,96,0,20,96
77,9,72,52,164,5,50,161
78,6,132,21,135,2,21,133
79,7,111,34,143,4,32,141
