timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920228487
2,0,6,2,4,76,3,1,0,0.920262566
3,0,8,2,6,74,5,1,0,0.920246959
4,0,10,2,8,72,6,2,0,0.920214785
5,0,12,2,10,70,6,4,0,0.92025174
6,0,14,2,12,68,4,8,0,0.920241948
7,0,16,2,14,66,2,12,0,0.920236197
8,0,18,2,16,64,4,12,0,0.920198633
9,0,20,2,18,62,6,12,0,0.920263167
10,0,22,2,20,60,8,12,0,0.920265375
11,1,23,2,21,59,9,12,1,0.920210362
12,1,25,2,23,57,10,13,1,0.920250387
13,2,26,2,24,56,9,15,1,0.92028261
14,2,28,2,26,54,11,15,1,0.920296372
15,2,30,2,28,52,13,15,1,0.920334412
16,2,32,2,30,50,14,16,3,0.920273934
17,3,33,2,31,49,15,16,3,0.920236524
18,4,34,2,32,48,15,17,4,0.920298534
19,4,36,2,34,46,13,21,5,0.920300689
20,6,36,2,34,46,13,21,5,0.920262644
21,6,38,2,36,44,10,26,6,0.920236156
22,7,39,2,37,43,11,26,6,0.920288221
23,7,41,2,39,41,12,27,7,0.920278848
24,7,43,2,41,39,13,28,8,0.920305806
25,9,43,2,41,39,14,27,8,0.920274145
26,10,44,2,42,38,15,27,8,0.920246849
27,10,46,2,44,36,13,31,9,0.920278928
28,12,46,2,44,36,14,30,9,0.920320472
29,12,48,2,46,34,11,35,9,0.920290725
30,13,49,2,47,33,10,37,9,0.920239341
31,15,49,2,47,33,9,38,10,0.920293389
32,16,50,2,48,32,9,39,10,0.920290104
33,18,50,2,48,32,10,38,11,0.920320871
34,19,51,2,49,31,8,41,11,0.920257654
35,19,53,2,51,29,7,44,11,0.920241111
36,21,53,2,51,29,7,44,14,0.920249741
37,23,53,2,51,29,9,42,18,0.920279501
38,24,54,2,52,28,8,44,19,0.920300094
39,24,56,2,54,26,9,45,21,0.920317007
40,27,55,2,53,27,9,44,22,0.920299894
41,29,55,2,53,27,8,45,22,0.920282316
42,30,56,2,54,26,8,46,23,0.920321363
43,33,55,2,53,27,8,45,25,0.920266314
44,34,56,2,54,26,6,48,26,0.920249315
45,34,58,2,56,24,7,49,27,0.920309653
46,35,59,2,57,23,8,49,29,0.920253603
