agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,221,19,46,0,19,46
1,5,110,22,154,4,21,151
2,4,164,22,100,4,22,96
3,1,252,6,28,0,6,28
4,5,130,12,144,0,12,144
5,9,116,20,150,1,20,149
6,7,89,30,167,5,30,162
7,7,98,16,172,3,16,169
8,5,176,10,100,1,10,99
9,6,106,16,164,3,15,162
10,3,176,3,107,2,3,105
11,4,132,27,127,2,26,126
12,7,140,26,120,4,25,117
13,8,79,51,156,4,49,154
14,8,104,21,161,1,21,160
15,6,150,15,121,4,14,118
16,8,80,16,190,0,16,190
17,9,86,13,187,6,11,183
18,7,128,16,142,3,15,140
19,6,167,10,109,3,9,107
20,9,94,27,165,2,26,164
21,9,69,25,192,3,25,189
22,4,143,8,135,2,8,133
23,9,72,28,186,1,28,185
24,7,126,24,136,3,23,134
25,8,98,34,154,6,31,151
26,10,119,39,128,3,38,126
27,8,117,29,140,1,28,140
28,5,107,2,177,3,2,174
29,7,129,39,118,1,38,118
30,7,115,32,139,0,32,139
31,6,116,25,145,1,24,145
32,6,95,33,158,2,31,158
33,5,107,55,124,3,53,123
34,7,143,6,137,2,6,135
35,6,120,50,116,5,46,115
36,5,171,26,89,3,25,87
37,11,77,35,174,4,34,171
38,9,112,21,153,1,21,152
39,5,172,14,100,0,14,100
40,7,146,34,106,3,31,106
41,7,139,22,125,2,22,123
42,8,98,26,162,5,25,158
43,6,135,14,137,6,13,132
44,8,96,38,152,5,35,150
45,8,122,30,134,4,29,131
46,4,158,14,114,1,14,113
47,7,53,41,192,4,40,189
48,3,187,13,86,2,12,85
49,7,92,22,172,0,22,172
50,6,141,12,133,2,12,131
51,8,114,40,132,3,39,130
52,9,76,22,188,2,21,187
53,7,108,25,153,2,24,152
54,7,78,17,191,1,17,190
55,7,108,21,157,0,21,157
56,7,138,10,138,0,10,138
57,6,148,11,127,2,11,125
58,8,176,28,82,2,28,80
59,6,123,26,137,6,25,132
60,7,139,26,121,1,25,121
61,5,149,8,129,1,8,128
62,6,91,20,175,2,20,173
63,7,99,22,165,4,22,161
64,5,168,22,96,0,22,96
65,0,282,4,0,0,4,0
66,4,178,14,94,3,13,92
67,5,152,35,99,3,32,99
68,5,175,15,96,0,15,96
69,2,227,8,51,0,8,51
70,7,148,29,109,2,28,108
71,7,92,40,154,3,39,152
72,5,94,24,168,3,24,165
73,6,158,25,103,3,24,101
74,2,219,8,59,1,8,58
75,8,145,20,121,4,19,118
76,6,140,24,122,1,24,121
77,4,164,12,110,3,12,107
78,3,177,35,74,5,33,71
79,9,73,38,175,4,37,172
