task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,5,12,14,0,4,7,4,7,0,1,5,12,1.000000
1,0,1,19,26,33,8,9,7,16,7,2,1,19,26,1.000000
2,1,2,3,15,40,0,1,12,1,12,0,1,2,14,1.000000
3,1,2,3,26,25,0,1,23,1,23,0,1,2,25,1.000000
4,2,3,8,32,20,1,3,24,5,24,0,1,6,30,1.000000
5,2,3,5,18,18,0,2,13,2,13,0,1,3,16,1.000000
6,3,4,7,20,29,3,6,13,3,13,0,1,4,17,1.000000
7,3,4,11,25,20,0,7,14,7,14,0,1,8,22,1.000000
8,4,5,11,33,63,0,6,20,6,22,0,1,7,29,1.100000
9,4,5,5,40,37,0,0,35,0,35,0,1,1,36,1.000000
10,5,6,12,40,29,0,6,28,6,28,0,1,7,35,1.000000
11,5,6,8,31,30,1,1,22,2,22,1,1,3,26,1.000000
12,6,7,17,32,30,3,2,15,10,15,0,1,11,26,1.000000
13,6,7,7,38,52,0,0,31,0,31,0,1,1,32,1.000000
14,7,8,17,41,30,7,7,19,8,23,2,1,10,34,1.210526
15,7,8,13,33,35,5,7,18,5,20,0,1,6,26,1.111111
16,8,9,13,29,26,0,4,14,4,16,0,1,5,21,1.142857
17,8,9,14,33,41,5,6,19,5,19,0,1,6,25,1.000000
18,9,10,10,18,47,0,0,8,0,8,0,1,1,9,1.000000
19,9,10,12,41,31,0,2,27,2,29,0,1,3,32,1.074074
20,10,11,17,36,51,1,5,18,6,18,1,1,7,26,1.000000
21,10,11,23,43,43,2,11,16,11,20,1,1,13,33,1.250000
22,11,12,19,32,46,0,7,13,7,13,0,1,8,21,1.000000
23,11,12,27,39,79,2,11,9,15,11,1,1,16,28,1.222222
24,12,13,18,30,41,3,3,12,5,12,0,1,6,18,1.000000
25,12,13,15,41,22,0,2,24,2,26,0,1,3,29,1.083333
26,13,14,15,22,58,0,1,7,1,7,0,1,2,9,1.000000
27,13,14,19,35,53,1,7,14,5,16,0,1,6,22,1.142857
28,14,15,15,28,56,0,0,13,0,13,0,1,1,14,1.000000
29,14,15,20,27,60,0,5,7,5,7,0,1,6,13,1.000000
30,15,16,29,54,21,2,4,24,13,24,1,1,14,39,1.000000
31,15,16,18,21,51,0,2,3,2,3,0,1,3,6,1.000000
32,16,17,19,27,49,0,2,8,2,8,0,1,3,11,1.000000
33,16,17,20,32,14,0,3,12,3,12,0,1,4,16,1.000000
34,17,18,26,43,78,2,9,17,8,17,0,1,9,26,1.000000
35,17,18,40,60,13,6,8,16,22,20,0,1,23,43,1.250000
36,18,19,27,40,53,1,6,13,8,13,0,1,9,22,1.000000
37,18,19,22,35,21,0,3,13,3,13,0,1,4,17,1.000000
38,19,20,22,41,53,0,2,17,2,19,0,1,3,22,1.117647
39,19,20,26,41,48,0,5,15,5,15,1,1,7,22,1.000000
40,20,21,22,33,45,0,1,11,1,11,0,1,2,13,1.000000
41,20,21,21,36,16,0,0,15,0,15,0,1,1,16,1.000000
42,21,22,24,53,11,0,2,21,2,29,0,1,3,32,1.380952
43,21,22,27,59,13,0,5,28,5,32,0,1,6,38,1.142857
44,22,23,23,31,24,0,0,8,0,8,0,1,1,9,1.000000
45,22,23,33,48,51,1,9,15,9,15,1,1,11,26,1.000000
46,23,24,26,51,61,0,2,24,2,24,1,1,3,28,1.000000
47,23,24,28,59,51,1,10,27,4,31,0,1,5,36,1.148148
48,24,25,33,60,18,4,8,21,7,27,1,1,9,36,1.285714
49,24,25,30,48,27,4,4,18,5,18,0,1,6,24,1.000000
50,25,26,43,82,0,13,27,27,16,39,1,1,18,57,1.444444
51,25,26,36,45,51,0,10,9,10,9,0,1,11,20,1.000000
52,26,27,31,43,12,0,4,12,4,12,0,1,5,17,1.000000
53,26,27,37,50,35,1,10,13,10,13,0,1,11,24,1.000000
54,27,28,37,67,35,3,12,30,9,30,0,1,10,40,1.000000
55,27,28,28,62,62,0,0,32,0,34,0,1,1,35,1.062500
56,28,29,32,40,35,1,1,6,2,8,1,1,4,12,1.333333
57,28,29,35,56,70,0,5,20,5,20,2,1,7,28,1.000000
58,29,30,31,33,15,0,1,2,1,2,0,1,2,4,1.000000
59,29,30,37,57,26,2,12,18,7,20,0,1,8,28,1.111111
60,30,31,46,66,55,9,32,20,14,20,1,1,16,36,1.000000
61,30,31,37,56,10,2,6,16,6,16,3,1,7,26,1.000000
62,31,32,42,70,71,2,8,28,10,28,0,1,11,39,1.000000
63,31,32,33,55,66,0,1,22,1,22,0,1,2,24,1.000000
64,32,33,34,40,46,0,1,6,1,6,0,1,2,8,1.000000
65,32,33,34,65,50,0,1,26,1,30,1,1,2,33,1.153846
66,33,34,76,102,17,36,31,26,35,26,7,1,43,69,1.000000
67,33,34,35,41,30,0,1,6,1,6,0,1,2,8,1.000000
68,34,35,48,80,26,1,7,24,13,32,0,1,14,46,1.333333
69,34,35,37,75,71,1,6,30,2,38,0,1,3,41,1.266667
70,35,36,107,141,19,54,32,29,67,33,5,1,72,106,1.137931
71,35,36,37,66,32,1,2,29,1,29,0,1,2,31,1.000000
72,36,37,44,61,44,2,8,15,6,17,1,1,8,25,1.133333
73,36,37,40,56,47,0,3,14,3,16,0,1,4,20,1.142857
74,37,38,38,70,7,0,0,26,0,32,0,1,1,33,1.230769
75,37,38,42,52,35,1,9,8,4,10,0,1,5,15,1.250000
76,38,39,39,54,54,0,0,15,0,15,0,1,1,16,1.000000
77,38,39,39,66,42,0,0,25,0,27,0,1,1,28,1.080000
78,39,40,40,52,33,0,0,12,0,12,0,1,1,13,1.000000
79,39,40,40,57,56,0,0,16,0,16,1,1,1,18,1.000000
80,40,41,48,61,9,1,4,10,7,12,1,1,8,21,1.200000
81,40,41,45,63,36,1,7,16,4,18,0,1,5,23,1.125000
82,41,42,43,69,29,1,3,18,1,24,2,1,2,28,1.333333
83,41,42,49,64,45,1,7,15,6,15,1,1,8,23,1.000000
84,42,43,46,78,21,0,3,32,3,32,0,1,4,36,1.000000
85,42,43,45,72,9,0,2,25,2,27,0,1,3,30,1.080000
86,43,44,49,70,22,0,5,19,5,21,0,1,6,27,1.105263
87,43,44,46,60,36,0,2,14,2,14,0,1,3,17,1.000000
88,44,45,58,67,1,7,29,9,12,9,1,1,14,23,1.000000
89,44,45,46,71,52,0,1,22,1,24,1,1,2,27,1.090909
90,45,46,48,56,12,0,2,8,2,8,0,1,3,11,1.000000
91,45,46,52,81,37,1,4,25,6,29,0,1,7,36,1.160000
92,46,47,70,95,44,6,14,24,22,24,2,1,24,49,1.000000
93,46,47,63,70,1,11,26,7,12,7,4,1,17,24,1.000000
94,47,48,48,65,44,0,0,15,0,17,0,1,1,18,1.133333
95,47,48,54,69,51,1,7,13,6,15,0,1,7,22,1.153846
96,48,49,53,56,31,1,5,3,4,3,0,1,5,8,1.000000
