timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920540783
2,0,6,2,4,76,3,1,0,0.920572906
3,0,8,2,6,74,5,1,0,0.92054765
4,0,10,2,8,72,6,2,0,0.920476164
5,0,12,2,10,70,7,3,0,0.920555963
6,0,14,2,12,68,6,6,0,0.920514781
7,0,16,2,14,66,8,6,0,0.920526914
8,0,18,2,16,64,7,9,0,0.920562778
9,0,20,2,18,62,9,9,0,0.920468697
10,0,22,2,20,60,10,10,0,0.920532739
11,0,24,2,22,58,9,13,0,0.920593352
12,0,26,2,24,56,9,15,0,0.920602838
13,0,28,2,26,54,11,15,0,0.920712231
14,0,30,2,28,52,11,17,0,0.92066565
15,1,31,2,29,51,11,18,1,0.920571838
16,1,33,2,31,49,11,20,1,0.920687394
17,1,35,2,33,47,10,23,1,0.92058685
18,2,36,2,34,46,12,22,2,0.92062897
19,2,38,2,36,44,14,22,2,0.920623331
20,2,40,2,38,42,14,24,2,0.92059379
21,2,42,2,40,40,11,29,2,0.920640083
22,2,44,2,42,38,12,30,2,0.920620909
23,4,44,2,42,38,14,28,3,0.920687301
24,4,46,2,44,36,14,30,4,0.920659498
25,5,47,2,45,35,13,32,6,0.920661679
26,5,49,2,47,33,13,34,6,0.920665096
27,5,51,2,49,31,12,37,7,0.920685338
28,5,53,2,51,29,11,40,7,0.920634862
29,7,53,2,51,29,12,39,8,0.920616369
30,8,54,2,52,28,11,41,9,0.920596574
31,9,55,2,53,27,11,42,9,0.920620283
32,11,55,2,53,27,12,41,10,0.920679876
33,13,55,2,53,27,11,42,12,0.920644847
34,14,56,2,54,26,11,43,14,0.920591514
35,16,56,2,54,26,12,42,16,0.920612166
36,16,58,2,56,24,6,50,17,0.920609885
37,16,60,2,58,22,8,50,18,0.920568406
38,17,61,2,59,21,8,51,20,0.920683169
39,21,59,2,57,23,8,49,20,0.920668975
40,24,58,2,56,24,9,47,22,0.920646079
41,26,58,2,56,24,11,45,22,0.920656993
42,27,59,2,57,23,10,47,22,0.92062144
43,27,61,2,59,21,11,48,24,0.920660239
44,30,60,2,58,22,10,48,24,0.920621121
45,34,58,2,56,24,9,47,26,0.920631531
46,36,58,2,56,24,9,47,26,0.920628795
47,40,56,2,54,26,11,43,27,0.920667686
