timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,4,0,80,0,0,0,0.920300749
2,0,6,6,0,80,0,0,0,0.920233785
3,0,8,8,0,80,0,0,0,0.920218691
4,0,10,10,0,80,0,0,0,0.920258197
5,0,12,12,0,80,0,0,0,0.92023163
6,0,14,14,0,80,0,0,0,0.920197168
7,0,16,16,0,80,0,0,0,0.920235814
8,0,18,18,0,80,0,0,0,0.920206166
9,0,20,20,0,80,0,0,0,0.920178596
10,0,22,22,0,80,0,0,0,0.920226855
11,0,24,24,0,80,0,0,0,0.920235747
12,0,26,26,0,80,0,0,0,0.920240766
13,0,28,28,0,80,0,0,0,0.920228221
14,0,30,30,0,80,0,0,0,0.920229408
15,0,32,32,0,80,0,0,0,0.920261403
16,0,34,34,0,80,0,0,0,0.920248038
17,0,36,36,0,80,0,0,0,0.920203085
18,0,38,38,0,80,0,0,0,0.920223403
19,0,40,40,0,80,0,0,0,0.920266281
20,0,42,42,0,80,0,0,0,0.920229303
21,0,44,44,0,80,0,0,0,0.920243208
22,0,46,46,0,80,0,0,0,0.920223224
23,0,48,48,0,80,0,0,0,0.920244465
24,0,50,50,0,80,0,0,0,0.920257551
25,0,52,52,0,80,0,0,0,0.920272208
26,0,54,54,0,80,0,0,0,0.920278505
27,0,56,56,0,80,0,0,0,0.920182724
28,0,58,58,0,80,0,0,0,0.920267061
29,0,60,60,0,80,0,0,0,0.920253693
30,0,62,62,0,80,0,0,0,0.920211032
31,0,64,64,0,80,0,0,0,0.920263919
32,0,66,66,0,80,0,0,0,0.920268359
33,0,68,68,0,80,0,0,0,0.920254296
34,0,70,70,0,80,0,0,0,0.920244343
35,0,72,72,0,80,0,0,0,0.920261186
36,0,74,74,0,80,0,0,0,0.920329625
37,0,76,76,0,80,0,0,0,0.920261118
38,0,78,78,0,80,0,0,0,0.920233504
39,0,80,80,0,80,0,0,0,0.920238977
40,0,82,82,0,80,0,0,0,0.920191588
41,0,84,84,0,80,0,0,0,0.920268361
42,0,86,86,0,80,0,0,0,0.920239346
43,0,88,88,0,80,0,0,0,0.920246187
44,0,90,90,0,80,0,0,0,0.920245322
45,0,92,92,0,80,0,0,0,0.920202229
46,0,94,94,0,80,0,0,0,0.920245592
47,0,96,96,0,80,0,0,0,0.920239652
48,0,98,98,0,80,0,0,0,0.92024406
49,0,100,100,0,80,0,0,0,0.920199016
50,0,102,102,0,80,0,0,0,0.920256392
51,0,104,104,0,80,0,0,0,0.920259413
52,0,106,106,0,80,0,0,0,0.920265072
53,0,108,108,0,80,0,0,0,0.920244622
54,0,110,110,0,80,0,0,0,0.92029183
55,0,112,112,0,80,0,0,0,0.920289327
56,0,114,114,0,80,0,0,0,0.920212446
57,0,116,116,0,80,0,0,0,0.920242439
58,0,118,118,0,80,0,0,0,0.920263258
59,0,120,120,0,80,0,0,0,0.920259782
60,0,122,122,0,80,0,0,0,0.920250891
61,0,124,124,0,80,0,0,0,0.920236123
62,0,126,126,0,80,0,0,0,0.92029761
63,0,128,128,0,80,0,0,0,0.920288885
64,0,130,130,0,80,0,0,0,0.920280474
65,0,132,132,0,80,0,0,0,0.920275897
66,0,134,134,0,80,0,0,0,0.920265504
67,0,136,136,0,80,0,0,0,0.920248357
68,0,138,138,0,80,0,0,0,0.920269121
69,0,140,140,0,80,0,0,0,0.920241831
70,0,142,142,0,80,0,0,0,0.920257172
71,0,144,144,0,80,0,0,0,0.920266288
72,0,146,146,0,80,0,0,0,0.92027944
73,0,148,148,0,80,0,0,0,0.920300732
74,0,150,150,0,80,0,0,0,0.920222531
75,0,152,152,0,80,0,0,0,0.920276184
76,0,154,154,0,80,0,0,0,0.920268876
77,0,156,156,0,80,0,0,0,0.920200412
78,0,158,158,0,80,0,0,0,0.920302276
79,0,160,160,0,80,0,0,0,0.920259539
80,0,162,162,0,80,0,0,0,0.920276335
81,0,164,164,0,80,0,0,0,0.920278307
82,0,166,166,0,80,0,0,0,0.920240823
83,0,168,168,0,80,0,0,0,0.920247613
84,0,170,170,0,80,0,0,0,0.920265471
85,0,172,172,0,80,0,0,0,0.920180261
86,0,174,174,0,80,0,0,0,0.920258522
87,0,176,176,0,80,0,0,0,0.920271599
88,0,178,178,0,80,0,0,0,0.920268795
89,0,180,180,0,80,0,0,0,0.920265885
90,0,182,182,0,80,0,0,0,0.920264553
91,0,184,184,0,80,0,0,0,0.920279874
92,0,186,186,0,80,0,0,0,0.920261781
93,0,188,188,0,80,0,0,0,0.920218521
94,0,190,190,0,80,0,0,0,0.920231574
95,0,192,192,0,80,0,0,0,0.920294685
96,0,194,194,0,80,0,0,0,0.920268236
97,0,196,196,0,80,0,0,0,0.920278159
98,0,198,198,0,80,0,0,0,0.920273879
99,0,200,200,0,80,0,0,0,0.920275319
100,0,202,202,0,80,0,0,0,0.920268364
101,0,204,204,0,80,0,0,0,0.920246869
102,0,206,206,0,80,0,0,0,0.920236012
103,0,208,208,0,80,0,0,0,0.920249374
104,0,210,210,0,80,0,0,0,0.920288235
105,0,212,212,0,80,0,0,0,0.920279013
106,0,214,214,0,80,0,0,0,0.920293529
107,0,216,216,0,80,0,0,0,0.920267422
108,0,218,218,0,80,0,0,0,0.920291519
109,0,220,220,0,80,0,0,0,0.920266902
110,0,222,222,0,80,0,0,0,0.920275347
111,0,224,224,0,80,0,0,0,0.92025561
112,0,226,226,0,80,0,0,0,0.920261085
113,0,228,228,0,80,0,0,0,0.920333072
114,0,230,230,0,80,0,0,0,0.920246357
115,0,232,232,0,80,0,0,0,0.920269632
116,0,234,234,0,80,0,0,0,0.920234772
117,0,236,236,0,80,0,0,0,0.92030423
118,0,238,238,0,80,0,0,0,0.920273162
119,0,240,240,0,80,0,0,0,0.92023197
120,0,242,242,0,80,0,0,0,0.92027217
121,0,244,244,0,80,0,0,0,0.920233295
122,0,246,246,0,80,0,0,0,0.920286045
123,0,248,248,0,80,0,0,0,0.920266059
124,0,250,250,0,80,0,0,0,0.920302386
125,0,252,252,0,80,0,0,0,0.92028255
126,0,254,254,0,80,0,0,0,0.92029532
127,0,256,256,0,80,0,0,0,0.920307984
128,0,258,258,0,80,0,0,0,0.920287664
129,0,260,260,0,80,0,0,0,0.920237624
130,0,262,262,0,80,0,0,0,0.920234204
131,0,264,264,0,80,0,0,0,0.920319896
132,0,266,266,0,80,0,0,0,0.920286484
133,0,268,268,0,80,0,0,0,0.920290379
134,0,270,270,0,80,0,0,0,0.920226093
135,0,272,272,0,80,0,0,0,0.920322257
136,0,274,274,0,80,0,0,0,0.920303131
137,0,276,276,0,80,0,0,0,0.920275557
138,0,278,278,0,80,0,0,0,0.920247297
139,0,280,280,0,80,0,0,0,0.920246122
140,0,282,282,0,80,0,0,0,0.920301874
141,0,284,284,0,80,0,0,0,0.920305069
142,0,286,286,0,80,0,0,0,0.920300885
143,0,288,288,0,80,0,0,0,0.920321209
144,0,290,290,0,80,0,0,0,0.920260302
145,0,292,292,0,80,0,0,0,0.920272126
146,0,294,294,0,80,0,0,0,0.920254719
147,0,296,296,0,80,0,0,0,0.920227322
148,0,298,298,0,80,0,0,0,0.920255968
149,0,300,300,0,80,0,0,0,0.920310579
150,0,302,302,0,80,0,0,0,0.920291205
151,0,304,304,0,80,0,0,0,0.920282849
152,0,306,306,0,80,0,0,0,0.920370516
153,0,308,308,0,80,0,0,0,0.920309845
154,0,310,310,0,80,0,0,0,0.920286293
155,0,312,312,0,80,0,0,0,0.920289119
156,0,314,314,0,80,0,0,0,0.920296728
157,0,316,316,0,80,0,0,0,0.920325489
158,0,318,318,0,80,0,0,0,0.920307989
159,0,320,320,0,80,0,0,0,0.920334313
160,0,322,322,0,80,0,0,0,0.920309842
161,0,324,324,0,80,0,0,0,0.920250854
162,0,326,326,0,80,0,0,0,0.920305473
163,0,328,328,0,80,0,0,0,0.920320776
164,0,330,330,0,80,0,0,0,0.920324313
165,0,332,332,0,80,0,0,0,0.920269404
166,0,334,334,0,80,0,0,0,0.920310279
167,0,336,336,0,80,0,0,0,0.920293351
168,0,338,338,0,80,0,0,0,0.920316037
169,0,340,340,0,80,0,0,0,0.920297113
170,0,342,342,0,80,0,0,0,0.920265056
171,0,344,344,0,80,0,0,0,0.920360568
172,0,346,346,0,80,0,0,0,0.920303448
173,0,348,348,0,80,0,0,0,0.920326642
174,0,350,350,0,80,0,0,0,0.920332441
175,0,352,352,0,80,0,0,0,0.920313
176,0,354,354,0,80,0,0,0,0.920323724
177,0,356,356,0,80,0,0,0,0.920312607
178,0,358,358,0,80,0,0,0,0.920308208
179,0,360,360,0,80,0,0,0,0.920271008
180,0,362,362,0,80,0,0,0,0.920296093
181,0,364,364,0,80,0,0,0,0.92033779
182,0,366,366,0,80,0,0,0,0.920287281
183,0,368,368,0,80,0,0,0,0.9203381
184,0,370,370,0,80,0,0,0,0.920318823
185,0,372,372,0,80,0,0,0,0.920351592
186,0,374,374,0,80,0,0,0,0.920309933
187,0,376,376,0,80,0,0,0,0.920268134
188,0,378,378,0,80,0,0,0,0.920266921
189,0,380,380,0,80,0,0,0,0.920318095
190,0,382,382,0,80,0,0,0,0.920324613
191,0,384,384,0,80,0,0,0,0.920312421
192,0,386,386,0,80,0,0,0,0.920329289
