timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,0,2,0,0.920209127
2,0,6,2,4,76,1,3,0,0.920191117
3,0,8,2,6,74,2,4,0,0.920221413
4,0,10,2,8,72,4,4,0,0.920199833
5,0,12,2,10,70,5,5,0,0.920191671
6,0,14,2,12,68,7,5,0,0.920233664
7,0,16,2,14,66,9,5,0,0.920251394
8,0,18,2,16,64,9,7,0,0.920229464
9,0,20,2,18,62,9,9,0,0.920209781
10,0,22,2,20,60,10,10,0,0.920256546
11,0,24,2,22,58,11,11,1,0.920252157
12,1,25,2,23,57,12,11,1,0.920253005
13,1,27,2,25,55,9,16,1,0.920226772
14,2,28,2,26,54,9,17,1,0.920216723
15,2,30,2,28,52,10,18,2,0.920261485
16,2,32,2,30,50,10,20,4,0.920279063
17,3,33,2,31,49,11,20,5,0.920224263
18,3,35,2,33,47,12,21,6,0.920266597
19,3,37,2,35,45,12,23,7,0.920278956
20,3,39,2,37,43,10,27,8,0.920290549
21,3,41,2,39,41,10,29,8,0.920257323
22,3,43,2,41,39,8,33,8,0.920244665
23,3,45,2,43,37,9,34,8,0.920196537
24,5,45,2,43,37,11,32,8,0.920268314
25,8,44,2,42,38,13,29,10,0.920266917
26,12,42,2,40,40,13,27,11,0.920261645
27,13,43,2,41,39,11,30,12,0.920268388
28,14,44,2,42,38,12,30,14,0.92024908
29,15,45,2,43,37,8,35,14,0.920249486
30,16,46,2,44,36,7,37,14,0.920270063
31,16,48,2,46,34,9,37,15,0.92026458
32,18,48,2,46,34,9,37,16,0.920222349
33,19,49,2,47,33,10,37,16,0.920253589
34,21,49,2,47,33,9,38,16,0.920228599
35,23,49,2,47,33,8,39,16,0.920255036
36,24,50,2,48,32,7,41,16,0.920278653
37,25,51,2,49,31,6,43,17,0.920296268
38,27,51,2,49,31,7,42,17,0.920305387
39,27,53,2,51,29,7,44,17,0.920265112
40,28,54,2,52,28,7,45,18,0.920267547
41,30,54,2,52,28,6,46,18,0.920202082
42,34,52,2,50,30,6,44,18,0.920293969
43,34,54,2,52,28,8,44,18,0.920299697
44,37,53,2,51,29,10,41,20,0.920291193
45,39,53,2,51,29,11,40,21,0.92029676
46,42,52,2,50,30,10,40,21,0.920292635
47,44,52,2,50,30,7,43,23,0.920272035
48,47,51,2,49,31,7,42,24,0.920266817
49,48,52,2,50,30,7,43,24,0.920255479
50,50,52,2,50,30,6,44,25,0.920252923
51,54,50,2,48,32,7,41,25,0.920276972
52,56,50,2,48,32,8,40,25,0.920268052
53,59,49,2,47,33,9,38,25,0.920261753
54,62,48,2,46,34,9,37,27,0.920269797
55,63,49,2,47,33,8,39,27,0.920291664
56,66,48,2,46,34,9,37,30,0.920264992
57,68,48,2,46,34,8,38,30,0.92026712
58,69,49,2,47,33,8,39,30,0.920269943
59,70,50,2,48,32,8,40,31,0.920248435
60,72,50,2,48,32,10,38,32,0.920286657
61,75,49,2,47,33,12,35,33,0.920278736
62,75,51,2,49,31,12,37,34,0.920321284
63,77,51,2,49,31,12,37,34,0.920257882
64,77,53,2,51,29,12,39,35,0.920283281
65,78,54,2,52,28,11,41,36,0.92024851
66,81,53,2,51,29,11,40,37,0.920293561
67,82,54,2,52,28,11,41,37,0.920272541
68,83,55,2,53,27,11,42,37,0.920280102
69,85,55,2,53,27,12,41,37,0.920275765
70,88,54,2,52,28,10,42,37,0.92027934
71,90,54,2,52,28,8,44,37,0.920227795
72,90,56,2,54,26,8,46,37,0.920229591
73,91,57,2,55,25,8,47,37,0.920289609
74,97,53,2,51,29,9,42,37,0.920307589
75,100,52,2,50,30,10,40,37,0.920285259
76,102,52,2,50,30,11,39,37,0.920295416
77,105,51,2,49,31,12,37,38,0.920295255
78,107,51,2,49,31,13,36,39,0.920286905
79,110,50,2,48,32,11,37,40,0.920292209
80,113,49,2,47,33,10,37,42,0.920261997
81,114,50,2,48,32,10,38,42,0.920261063
82,115,51,2,49,31,9,40,44,0.920262187
83,117,51,2,49,31,8,41,46,0.920293413
84,119,51,2,49,31,5,44,47,0.920298216
85,121,51,2,49,31,6,43,47,0.920300131
86,122,52,2,50,30,8,42,47,0.92027576
87,123,53,2,51,29,8,43,48,0.920279338
88,123,55,2,53,27,4,49,49,0.920343173
89,124,56,2,54,26,6,48,49,0.920263443
90,127,55,2,53,27,6,47,49,0.920236011
91,129,55,2,53,27,6,47,49,0.920277024
92,131,55,2,53,27,6,47,49,0.920272772
93,134,54,2,52,28,7,45,49,0.920286612
94,134,56,2,54,26,5,49,49,0.920258882
95,137,55,2,53,27,6,47,50,0.920262921
96,140,54,2,52,28,6,46,51,0.920271284
97,141,55,2,53,27,7,46,52,0.920256627
98,143,55,2,53,27,9,44,53,0.920270992
99,145,55,2,53,27,10,43,54,0.920273404
100,147,55,2,53,27,8,45,54,0.920239472
101,149,55,2,53,27,7,46,57,0.920295661
102,151,55,2,53,27,6,47,58,0.920302599
103,153,55,2,53,27,6,47,58,0.920262124
104,155,55,2,53,27,6,47,61,0.920249652
105,156,56,2,54,26,7,47,62,0.920271955
106,156,58,2,56,24,8,48,64,0.920265006
107,157,59,2,57,23,10,47,64,0.920270786
108,158,60,2,58,22,9,49,64,0.920314332
109,159,61,2,59,21,8,51,65,0.920272146
110,162,60,2,58,22,8,50,65,0.920281255
111,164,60,2,58,22,6,52,66,0.920263575
112,167,59,2,57,23,8,49,67,0.920244974
113,170,58,2,56,24,9,47,70,0.920254497
114,171,59,2,57,23,9,48,70,0.920238259
115,174,58,2,56,24,7,49,70,0.92025547
116,177,57,2,55,25,5,50,71,0.920239079
117,177,59,2,57,23,5,52,71,0.92023041
118,178,60,2,58,22,7,51,71,0.920247564
119,182,58,2,56,24,7,49,72,0.920246482
120,185,57,2,55,25,6,49,72,0.920253756
121,190,54,2,52,28,7,45,72,0.920277107
122,191,55,2,53,27,7,46,73,0.920246591
123,194,54,2,52,28,9,43,76,0.920264387
124,195,55,2,53,27,9,44,79,0.920273862
125,198,54,2,52,28,9,43,79,0.920236211
126,200,54,2,52,28,11,41,81,0.920228966
127,205,51,2,49,31,8,41,82,0.920262821
128,205,53,2,51,29,7,44,85,0.920261745
129,207,53,2,51,29,8,43,85,0.920269082
130,210,52,2,50,30,8,42,85,0.920262947
131,211,53,2,51,29,8,43,86,0.92025514
132,212,54,2,52,28,8,44,86,0.920270095
133,215,53,2,51,29,10,41,87,0.920265222
134,217,53,2,51,29,9,42,87,0.92028289
135,219,53,2,51,29,9,42,87,0.920244151
136,222,52,2,50,30,8,42,88,0.92027259
137,224,52,2,50,30,8,42,88,0.92031548
138,226,52,2,50,30,10,40,88,0.920310859
139,229,51,2,49,31,10,39,88,0.920267028
140,231,51,2,49,31,7,42,89,0.920259231
141,232,52,2,50,30,7,43,90,0.920271395
142,233,53,2,51,29,7,44,91,0.920272115
143,236,52,2,50,30,7,43,93,0.920232817
144,239,51,2,49,31,8,41,95,0.920241645
145,240,52,2,50,30,10,40,96,0.920259639
146,241,53,2,51,29,10,41,96,0.92026919
147,241,55,2,53,27,7,46,96,0.920214903
148,242,56,2,54,26,7,47,96,0.920247889
149,245,55,2,53,27,9,44,97,0.920267007
150,248,54,2,52,28,10,42,98,0.920300282
151,251,53,2,51,29,8,43,98,0.920285178
152,252,54,2,52,28,7,45,100,0.920235197
153,254,54,2,52,28,9,43,100,0.92022128
154,257,53,2,51,29,8,43,100,0.9202538
155,259,53,2,51,29,7,44,100,0.920266081
156,260,54,2,52,28,6,46,101,0.920275622
157,263,53,2,51,29,8,43,101,0.920270842
158,266,52,2,50,30,8,42,102,0.920271409
159,266,54,2,52,28,6,46,103,0.920223106
160,270,52,2,50,30,8,42,105,0.920260825
161,273,51,2,49,31,8,41,105,0.920273849
162,274,52,2,50,30,6,44,106,0.920290702
163,275,53,2,51,29,7,44,107,0.920272196
164,275,55,2,53,27,4,49,108,0.920252807
165,277,55,2,53,27,3,50,108,0.92025784
166,281,53,2,51,29,5,46,109,0.92025693
167,281,55,2,53,27,6,47,110,0.92025617
168,282,56,2,54,26,7,47,111,0.920247228
169,283,57,2,55,25,7,48,113,0.920253298
170,286,56,2,54,26,7,47,114,0.920226258
171,289,55,2,53,27,8,45,115,0.920257876
172,290,56,2,54,26,8,46,116,0.920272559
173,294,54,2,52,28,7,45,116,0.920215952
174,295,55,2,53,27,8,45,117,0.920243883
175,297,55,2,53,27,7,46,117,0.920248852
176,300,54,2,52,28,8,44,117,0.920274681
177,305,51,2,49,31,6,43,118,0.920237246
178,307,51,2,49,31,7,42,118,0.920272529
179,311,49,2,47,33,7,40,119,0.920242056
180,313,49,2,47,33,5,42,119,0.920240038
181,316,48,2,46,34,7,39,119,0.920281793
182,317,49,2,47,33,6,41,121,0.920267415
183,319,49,2,47,33,5,42,121,0.920271443
184,320,50,2,48,32,6,42,121,0.92027474
185,321,51,2,49,31,5,44,121,0.92023195
186,324,50,2,48,32,5,43,121,0.920261257
187,325,51,2,49,31,4,45,122,0.920259076
188,327,51,2,49,31,4,45,123,0.920256234
189,329,51,2,49,31,3,46,123,0.920252804
190,330,52,2,50,30,4,46,123,0.92026434
191,331,53,2,51,29,4,47,124,0.920255456
192,334,52,2,50,30,4,46,126,0.920234124
193,336,52,2,50,30,5,45,126,0.920256662
194,336,54,2,52,28,3,49,129,0.920294791
195,340,52,2,50,30,4,46,132,0.9202525
196,343,51,2,49,31,5,44,132,0.920259471
197,347,49,2,47,33,6,41,132,0.920254244
198,351,47,2,45,35,8,37,133,0.92020791
199,353,47,2,45,35,6,39,135,0.920261225
200,354,48,2,46,34,6,40,135,0.920236004
201,358,46,2,44,36,4,40,135,0.920263851
202,359,47,2,45,35,6,39,135,0.920235697
203,359,49,2,47,33,5,42,136,0.920273603
204,359,51,2,49,31,5,44,139,0.920250337
205,360,52,2,50,30,4,46,139,0.920245798
206,362,52,2,50,30,5,45,141,0.920241714
207,363,53,2,51,29,6,45,141,0.920267377
208,365,53,2,51,29,5,46,141,0.920251222
209,368,52,2,50,30,7,43,142,0.920256786
210,370,52,2,50,30,6,44,143,0.920233318
211,372,52,2,50,30,7,43,145,0.920267356
