agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,5,187,13,85,0,13,85
1,4,172,14,99,3,14,96
2,7,79,19,187,3,18,185
3,7,155,32,98,1,31,98
4,5,148,13,124,0,13,124
5,11,75,37,173,6,34,170
6,7,104,19,162,2,19,160
7,8,89,24,172,6,24,166
8,5,131,10,144,0,10,144
9,4,184,17,84,3,16,82
10,4,175,8,102,1,8,101
11,6,120,24,141,5,20,140
12,8,81,45,159,5,45,154
13,7,106,29,150,3,29,147
14,7,108,26,151,1,25,151
15,8,93,53,139,13,42,137
16,7,113,30,142,3,28,141
17,5,134,16,135,5,15,131
18,6,104,38,143,3,37,141
19,5,120,22,143,3,22,140
20,7,93,37,155,2,36,154
21,7,115,19,151,2,18,150
22,2,215,2,68,0,2,68
23,8,86,30,169,4,28,167
24,12,70,29,186,5,28,182
25,10,76,37,172,8,35,166
26,6,134,28,123,2,27,122
27,3,208,10,67,2,10,65
28,5,171,16,98,4,14,96
29,8,87,34,164,4,33,161
30,6,98,40,147,5,37,145
31,7,108,25,152,3,25,149
32,7,69,48,168,2,47,167
33,9,71,22,192,3,20,191
34,3,238,13,34,1,12,34
35,6,119,23,143,4,22,140
36,8,90,14,181,1,14,180
37,10,92,42,151,2,41,150
38,6,160,20,105,0,20,105
39,4,177,25,83,3,24,81
40,8,123,34,128,2,33,127
41,7,126,31,128,4,31,124
42,5,152,10,123,6,10,117
43,2,222,32,31,2,31,30
44,7,107,28,150,4,26,148
45,5,165,8,112,2,8,110
46,8,65,37,183,4,36,180
47,7,103,23,159,2,23,157
48,6,93,9,183,3,9,180
49,8,108,14,163,1,14,162
50,4,171,14,100,1,14,99
51,8,79,41,165,3,39,164
52,5,125,17,143,2,17,141
53,6,159,15,111,0,15,111
54,7,133,21,131,4,19,129
55,5,150,21,114,4,18,113
56,8,131,37,117,3,37,114
57,3,217,2,66,0,2,66
58,7,64,13,208,3,13,205
59,2,218,16,51,4,15,48
60,4,180,13,92,1,12,92
61,8,111,15,159,2,15,157
62,7,132,17,136,1,17,135
63,8,123,32,130,3,32,127
64,1,269,5,11,0,5,11
65,6,106,31,148,8,29,142
66,7,118,21,146,4,20,143
67,7,147,22,116,3,21,114
68,4,177,17,91,0,17,91
69,6,125,15,145,3,14,143
70,9,107,34,144,1,34,143
71,9,66,43,176,8,38,173
72,5,147,21,117,2,21,115
73,6,114,35,136,4,32,135
74,7,131,15,139,8,15,131
75,6,162,14,109,1,13,109
76,4,211,6,68,3,5,66
77,6,134,23,128,5,23,123
78,6,127,21,137,1,21,136
79,6,117,28,140,4,28,136
