task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,5,12,14,0,4,7,4,7,0,1,5,12,1.000000
1,0,1,16,23,33,1,9,7,15,7,0,1,16,23,1.000000
2,1,2,3,15,40,0,1,12,1,12,0,1,2,14,1.000000
3,1,2,3,26,25,0,1,23,1,23,0,1,2,25,1.000000
4,2,3,6,30,20,0,3,24,3,24,0,1,4,28,1.000000
5,2,3,5,18,18,0,2,13,2,13,0,1,3,16,1.000000
6,3,4,10,23,29,2,6,13,6,13,0,1,7,20,1.000000
7,3,4,13,27,6,1,9,14,9,14,0,1,10,24,1.000000
8,4,5,11,31,63,0,6,20,6,20,0,1,7,27,1.000000
9,4,5,5,40,37,0,0,35,0,35,0,1,1,36,1.000000
10,5,6,8,36,29,1,6,28,2,28,0,1,3,31,1.000000
11,5,6,8,30,30,1,1,22,2,22,0,1,3,25,1.000000
12,6,7,9,27,30,0,2,15,2,17,1,1,3,21,1.133333
13,6,7,7,38,52,0,0,31,0,31,0,1,1,32,1.000000
14,7,8,23,46,41,1,9,19,14,23,1,1,16,39,1.210526
15,7,8,15,34,32,0,7,18,7,18,1,1,8,27,1.000000
16,8,9,14,28,31,0,5,14,5,14,0,1,6,20,1.000000
17,8,9,17,44,38,0,8,19,8,25,2,1,9,36,1.315789
18,9,10,10,18,44,0,0,8,0,8,0,1,1,9,1.000000
19,9,10,12,39,21,0,2,27,2,27,0,1,3,30,1.000000
20,10,11,17,35,51,1,5,18,6,18,0,1,7,25,1.000000
21,10,11,20,36,47,0,9,16,9,16,0,1,10,26,1.000000
22,11,12,19,32,46,0,7,13,7,13,0,1,8,21,1.000000
23,11,12,23,34,79,0,11,9,11,11,0,1,12,23,1.222222
24,12,13,17,37,43,1,9,12,4,18,2,1,5,25,1.500000
25,12,13,15,41,16,0,2,24,2,26,0,1,3,29,1.083333
26,13,14,15,22,56,0,1,7,1,7,0,1,2,9,1.000000
27,13,14,19,35,53,1,7,14,5,16,0,1,6,22,1.142857
28,14,15,16,29,62,0,1,13,1,13,0,1,2,15,1.000000
29,14,15,20,27,60,0,5,7,5,7,0,1,6,13,1.000000
30,15,16,21,45,26,0,5,24,5,24,0,1,6,30,1.000000
31,15,16,18,21,51,0,2,3,2,3,0,1,3,6,1.000000
32,16,17,20,28,49,0,3,8,3,8,0,1,4,12,1.000000
33,16,17,25,37,6,0,8,12,8,12,0,1,9,21,1.000000
34,17,18,27,44,78,0,9,17,9,17,0,1,10,27,1.000000
35,17,18,26,42,13,0,8,16,8,16,0,1,9,25,1.000000
36,18,19,30,43,53,1,6,13,11,13,0,1,12,25,1.000000
37,18,19,34,47,22,2,9,13,14,13,1,1,16,29,1.000000
38,19,20,24,43,53,0,4,17,4,19,0,1,5,24,1.117647
39,19,20,25,40,48,0,5,15,5,15,0,1,6,21,1.000000
40,20,21,22,33,45,0,1,11,1,11,0,1,2,13,1.000000
41,20,21,28,45,27,0,7,15,7,17,0,1,8,25,1.133333
42,21,22,23,44,12,0,1,21,1,21,0,1,2,23,1.000000
43,21,22,31,63,11,0,9,28,9,32,0,1,10,42,1.142857
44,22,23,23,31,24,0,0,8,0,8,0,1,1,9,1.000000
45,22,23,32,47,51,0,9,15,9,15,0,1,10,25,1.000000
46,23,24,24,50,58,0,0,24,0,26,0,1,1,27,1.083333
47,23,24,30,59,29,3,7,27,6,29,0,1,7,36,1.074074
48,24,25,28,55,18,1,8,21,3,27,0,1,4,31,1.285714
49,24,25,29,51,28,0,4,18,4,22,0,1,5,27,1.222222
50,25,26,42,75,39,4,13,27,16,31,2,1,17,50,1.148148
51,25,26,36,45,29,2,7,9,10,9,0,1,11,20,1.000000
52,26,27,30,42,10,1,11,12,3,12,0,1,4,16,1.000000
53,26,27,36,49,36,0,9,13,9,13,0,1,10,23,1.000000
54,27,28,42,76,25,1,12,30,12,32,4,1,15,49,1.066667
55,27,28,29,63,69,0,1,32,1,34,0,1,2,36,1.062500
56,28,29,31,39,49,1,4,6,2,8,0,1,3,11,1.333333
57,28,29,32,52,56,0,3,20,3,20,0,1,4,24,1.000000
58,29,30,31,33,5,0,1,2,1,2,0,1,2,4,1.000000
59,29,30,32,50,29,0,2,18,2,18,0,1,3,21,1.000000
60,30,31,33,54,61,0,2,20,2,20,1,1,3,24,1.000000
61,30,31,41,58,10,0,10,16,10,16,1,1,11,28,1.000000
62,31,32,36,66,63,0,4,28,4,30,0,1,5,35,1.071429
63,31,32,33,55,66,0,1,22,1,22,0,1,2,24,1.000000
64,32,33,34,41,46,0,1,6,1,6,1,1,2,9,1.000000
65,32,33,33,59,50,0,0,26,0,26,0,1,1,27,1.000000
66,33,34,41,67,42,1,8,26,7,26,0,1,8,34,1.000000
67,33,34,40,46,24,0,4,6,6,6,0,1,7,13,1.000000
68,34,35,44,76,31,1,2,24,9,32,0,1,10,42,1.333333
69,34,35,42,80,71,0,7,30,7,38,0,1,8,46,1.266667
70,35,36,40,71,44,1,8,29,4,31,0,1,5,36,1.068966
71,35,36,36,65,40,0,0,29,0,29,0,1,1,30,1.000000
72,36,37,37,54,31,0,0,15,0,17,0,1,1,18,1.133333
73,36,37,42,56,44,0,5,14,5,14,0,1,6,20,1.000000
74,37,38,38,65,7,0,0,26,0,26,1,1,1,28,1.000000
75,37,38,41,49,25,1,8,8,3,8,0,1,4,12,1.000000
76,38,39,39,54,57,0,0,15,0,15,0,1,1,16,1.000000
77,38,39,43,70,54,0,4,25,4,27,0,1,5,32,1.080000
78,39,40,51,65,25,1,7,12,11,14,0,1,12,26,1.166667
79,39,40,40,57,62,0,0,16,0,16,1,1,1,18,1.000000
80,40,41,45,57,9,0,4,10,4,12,0,1,5,17,1.200000
81,40,41,42,65,25,0,1,16,1,22,1,1,2,25,1.375000
82,41,42,47,69,41,0,5,18,5,22,0,1,6,28,1.222222
83,41,42,51,70,47,3,7,15,8,17,3,1,10,29,1.133333
84,42,43,50,82,32,0,7,32,7,32,0,1,8,40,1.000000
85,42,43,48,75,8,0,5,25,5,27,0,1,6,33,1.080000
86,43,44,49,70,16,0,5,19,5,21,0,1,6,27,1.105263
87,43,44,47,63,30,0,3,14,3,16,0,1,4,20,1.142857
88,44,45,57,66,78,0,12,9,12,9,0,1,13,22,1.000000
89,44,45,46,68,52,0,1,22,1,22,0,1,2,24,1.000000
90,45,46,53,61,21,0,7,8,7,8,0,1,8,16,1.000000
91,45,46,48,77,37,0,2,25,2,29,0,1,3,32,1.160000
92,46,47,70,94,26,7,16,24,21,24,2,1,24,48,1.000000
93,46,47,61,68,27,2,13,7,13,7,1,1,15,22,1.000000
94,47,48,50,65,45,0,2,15,2,15,0,1,3,18,1.000000
95,47,48,52,66,12,0,2,13,4,13,1,1,5,19,1.000000
96,48,49,52,55,51,1,3,3,3,3,0,1,4,7,1.000000
97,48,49,49,68,53,0,0,18,0,18,1,1,1,20,1.000000
98,49,50,50,68,35,0,0,18,0,18,0,1,1,19,1.000000
99,49,50,51,85,47,0,1,30,1,34,0,1,2,36,1.133333
100,50,51,55,61,26,1,3,6,3,6,1,1,5,11,1.000000
101,50,51,51,85,73,0,0,26,0,34,0,1,1,35,1.307692
102,51,52,52,57,17,0,0,5,0,5,0,1,1,6,1.000000
103,51,52,53,81,51,0,1,18,1,28,0,1,2,30,1.555556
104,52,53,53,60,18,0,0,5,0,7,0,1,1,8,1.400000
105,52,53,56,66,26,0,2,10,2,10,1,1,4,14,1.000000
106,53,54,61,86,29,0,7,24,7,24,1,1,8,33,1.000000
107,53,54,58,91,43,1,4,29,4,31,2,1,5,38,1.068966
108,54,55,55,80,28,0,0,24,0,24,1,1,1,26,1.000000
109,54,55,66,89,13,0,9,21,11,23,0,1,12,35,1.095238
110,55,56,58,92,5,0,2,25,2,33,1,1,3,37,1.320000
111,55,56,59,80,68,0,3,15,3,21,0,1,4,25,1.400000
112,56,57,57,95,43,0,0,34,0,38,0,1,1,39,1.117647
113,56,57,61,85,66,1,3,18,4,24,0,1,5,29,1.333333
114,57,58,61,80,34,1,3,19,3,19,0,1,4,23,1.000000
115,57,58,66,103,55,3,4,36,8,36,1,1,9,46,1.000000
116,58,59,66,86,66,0,3,19,7,19,1,1,8,28,1.000000
117,58,59,61,77,60,0,2,16,2,16,0,1,3,19,1.000000
118,59,60,69,92,14,2,8,20,9,22,1,1,10,33,1.100000
119,59,60,61,67,57,0,1,5,1,5,1,1,2,8,1.000000
120,60,61,63,93,64,0,2,26,2,30,0,1,3,33,1.153846
121,60,61,63,100,55,0,2,33,2,37,0,1,3,40,1.121212
122,61,62,63,67,19,0,1,4,1,4,0,1,2,6,1.000000
123,61,62,66,83,44,0,4,17,4,17,0,1,5,22,1.000000
124,62,63,70,94,24,1,3,20,7,24,0,1,8,32,1.200000
125,62,63,67,90,9,1,9,23,4,23,0,1,5,28,1.000000
126,63,64,73,97,79,0,9,24,9,24,0,1,10,34,1.000000
127,63,64,65,91,34,0,1,20,1,26,0,1,2,28,1.300000
128,64,65,69,96,59,2,1,25,3,27,1,1,5,32,1.080000
129,64,65,68,86,24,1,6,18,3,18,0,1,4,22,1.000000
130,65,66,69,95,69,2,4,23,3,25,1,1,4,30,1.086957
131,65,66,67,74,40,1,9,7,1,7,0,1,2,9,1.000000
132,66,67,73,85,69,0,6,12,6,12,0,1,7,19,1.000000
133,66,67,71,83,40,1,11,11,4,11,1,1,5,17,1.000000
134,67,68,76,95,40,2,8,11,8,19,0,1,9,28,1.727273
135,67,68,69,103,9,0,1,26,1,32,2,1,2,36,1.230769
136,68,69,70,107,50,0,1,17,1,37,0,1,2,39,2.176471
137,68,69,73,95,11,0,4,22,4,22,0,1,5,27,1.000000
138,69,70,76,95,38,0,6,17,6,19,0,1,7,26,1.117647
139,69,70,75,105,78,0,5,30,5,30,0,1,6,36,1.000000
140,70,71,73,101,54,0,2,27,2,27,1,1,3,31,1.000000
141,70,71,75,106,58,0,4,26,4,30,1,1,5,36,1.153846
142,71,72,77,99,22,0,5,22,5,22,0,1,6,28,1.000000
143,71,72,73,91,16,0,1,18,1,18,0,1,2,20,1.000000
144,72,73,73,80,17,0,0,7,0,7,0,1,1,8,1.000000
145,72,73,73,101,35,0,0,27,0,27,1,1,1,29,1.000000
146,73,74,77,87,45,0,3,8,3,10,0,1,4,14,1.250000
147,73,74,83,101,40,0,9,18,9,18,0,1,10,28,1.000000
148,74,75,80,95,20,1,8,14,5,14,1,1,6,21,1.000000
149,74,75,78,91,26,0,3,12,3,12,1,1,4,17,1.000000
150,75,76,77,84,19,0,1,7,1,7,0,1,2,9,1.000000
151,75,76,87,116,15,0,11,26,11,28,1,1,12,41,1.076923
152,76,77,82,86,56,1,7,4,5,4,0,1,6,10,1.000000
153,76,77,80,115,20,0,3,29,3,35,0,1,4,39,1.206897
154,77,78,85,94,60,0,7,8,7,8,1,1,8,17,1.000000
155,77,78,79,100,31,0,1,19,1,21,0,1,2,23,1.105263
156,78,79,80,91,36,1,3,11,1,11,0,1,2,13,1.000000
157,78,79,82,83,42,1,1,1,3,1,0,1,4,5,1.000000
158,79,80,88,110,75,0,5,14,7,22,1,1,9,31,1.571429
159,79,80,80,117,70,0,0,36,0,36,1,1,1,38,1.000000
160,80,81,88,112,68,0,7,20,7,24,0,1,8,32,1.200000
161,80,81,88,95,8,1,7,7,6,7,1,1,8,15,1.000000
162,81,82,82,83,53,0,0,1,0,1,0,1,1,2,1.000000
163,81,82,82,115,49,0,0,32,0,32,1,1,1,34,1.000000
164,82,83,85,116,18,0,2,23,2,31,0,1,3,34,1.347826
165,82,83,87,118,56,0,2,29,4,31,0,1,5,36,1.068966
166,83,84,86,130,1,0,2,43,2,43,1,1,3,47,1.000000
167,83,84,87,103,48,1,9,15,3,15,1,1,4,20,1.000000
168,84,85,86,107,71,0,1,21,1,21,0,1,2,23,1.000000
169,84,85,88,103,63,0,3,14,3,14,1,1,4,19,1.000000
170,85,86,97,109,37,2,8,10,10,10,3,1,12,24,1.000000
171,85,86,88,104,19,0,2,14,2,14,2,1,3,19,1.000000
172,86,87,96,113,66,5,9,15,7,17,2,1,10,27,1.133333
173,86,87,89,107,39,0,2,16,2,18,0,1,3,21,1.125000
