agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,168,13,104,0,13,104
1,2,207,12,66,3,9,66
2,4,140,8,137,3,8,134
3,3,184,15,86,4,14,83
4,9,101,26,158,8,25,151
5,3,208,16,61,0,16,61
6,2,219,15,51,1,14,51
7,4,142,14,129,0,14,129
8,8,65,36,184,4,36,180
9,4,161,10,114,2,10,112
10,6,110,21,154,2,20,153
11,7,85,21,179,4,18,178
12,8,88,28,169,4,26,167
13,8,63,56,166,9,50,163
14,6,119,17,149,1,17,148
15,7,103,18,164,1,17,164
16,8,75,39,171,5,36,169
17,6,155,15,115,2,15,113
18,7,76,18,191,2,18,189
19,6,91,21,173,5,19,170
20,8,120,30,135,4,29,132
21,12,70,27,188,4,26,185
22,6,115,29,141,1,29,140
23,6,101,36,148,7,33,144
24,5,186,17,82,2,15,82
25,6,120,28,137,2,28,135
26,11,125,42,118,4,40,116
27,8,93,46,146,5,44,143
28,6,96,22,167,3,22,164
29,10,76,54,155,3,53,153
30,8,81,38,166,5,38,161
31,6,164,24,97,2,24,95
32,4,190,33,62,6,28,61
33,7,87,61,137,4,59,135
34,6,151,16,118,1,16,117
35,8,124,15,146,1,15,145
36,8,124,22,139,5,20,136
37,7,115,24,146,5,24,141
38,10,85,18,182,1,18,181
39,4,157,35,93,4,31,93
40,7,74,31,180,1,31,179
41,8,126,31,128,5,31,123
42,4,132,5,148,2,5,146
43,6,124,30,131,4,28,129
44,8,90,20,175,2,20,173
45,9,108,21,156,5,20,152
46,7,85,18,182,2,17,181
47,8,98,39,148,8,37,142
48,6,119,21,145,4,20,142
49,5,115,14,156,3,14,153
50,5,157,17,111,1,16,111
51,10,81,40,164,2,40,162
52,6,108,22,155,3,21,153
53,7,109,24,152,0,24,152
54,10,60,30,195,1,29,195
55,4,170,18,97,2,17,96
56,9,84,29,172,1,28,172
57,7,108,21,156,2,20,155
58,8,92,37,156,6,36,151
59,9,103,43,139,4,43,135
60,7,113,34,138,4,32,136
61,2,212,13,60,1,12,60
62,6,105,14,166,1,14,165
63,7,62,17,206,1,17,205
64,6,165,25,95,3,23,94
65,1,262,18,5,1,17,5
66,1,252,7,26,0,7,26
67,5,195,2,88,2,2,86
68,5,154,26,105,1,26,104
69,4,183,15,87,4,13,85
70,5,146,16,123,2,16,121
71,3,202,39,44,2,37,44
72,6,112,17,156,6,17,150
73,3,188,12,85,1,12,84
74,3,250,1,34,0,1,34
75,4,180,8,97,4,7,94
76,9,84,13,188,4,12,185
77,5,129,18,138,2,17,137
78,8,73,35,177,6,34,172
79,9,48,33,204,3,33,201
