timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.920565189
2,0,6,2,4,76,4,0,0,0.920530983
3,0,8,2,6,74,5,1,0,0.92056283
4,0,10,2,8,72,6,2,0,0.920460473
5,0,12,2,10,70,8,2,0,0.92053846
6,0,14,2,12,68,9,3,0,0.920511683
7,0,16,2,14,66,7,7,0,0.920505393
8,1,17,2,15,65,8,7,0,0.920548047
9,1,19,2,17,63,8,9,0,0.920539511
10,1,21,2,19,61,9,10,0,0.920566377
11,1,23,2,21,59,9,12,0,0.920595205
12,1,25,2,23,57,9,14,0,0.920530702
13,2,26,2,24,56,9,15,1,0.920541533
14,2,28,2,26,54,9,17,1,0.920565948
15,2,30,2,28,52,7,21,1,0.920592358
16,5,29,2,27,53,8,19,1,0.920509807
17,5,31,2,29,51,10,19,2,0.920556725
18,5,33,2,31,49,10,21,2,0.920566921
19,5,35,2,33,47,8,25,2,0.920585414
20,5,37,2,35,45,8,27,3,0.92057164
21,7,37,2,35,45,8,27,3,0.920593945
22,9,37,2,35,45,6,29,3,0.920537122
23,10,38,2,36,44,7,29,5,0.92057483
24,11,39,2,37,43,7,30,5,0.920552927
25,12,40,2,38,42,9,29,5,0.920506399
26,12,42,2,40,40,11,29,8,0.920564837
27,13,43,2,41,39,10,31,8,0.92055309
28,16,42,2,40,40,12,28,9,0.920583892
29,17,43,2,41,39,12,29,10,0.920604234
30,18,44,2,42,38,14,28,10,0.920603207
31,20,44,2,42,38,15,27,11,0.920569294
32,22,44,2,42,38,14,28,11,0.92058668
33,24,44,2,42,38,15,27,11,0.920587931
34,27,43,2,41,39,13,28,12,0.920604009
35,29,43,2,41,39,13,28,13,0.920535953
36,30,44,2,42,38,12,30,13,0.920587217
37,31,45,2,43,37,10,33,13,0.920570354
38,33,45,2,43,37,11,32,14,0.920556488
39,34,46,2,44,36,10,34,14,0.920587478
40,35,47,2,45,35,10,35,16,0.920546469
41,37,47,2,45,35,7,38,16,0.920528655
42,41,45,2,43,37,9,34,16,0.920579225
43,43,45,2,43,37,6,37,16,0.920483626
44,44,46,2,44,36,7,37,16,0.920549227
45,45,47,2,45,35,6,39,17,0.920581164
46,47,47,2,45,35,6,39,20,0.920522719
47,48,48,2,46,34,7,39,22,0.920522078
48,51,47,2,45,35,7,38,22,0.920527996
49,52,48,2,46,34,6,40,23,0.920529614
50,53,49,2,47,33,7,40,25,0.92057937
51,54,50,2,48,32,7,41,27,0.920550809
52,57,49,2,47,33,8,39,27,0.920517161
53,59,49,2,47,33,8,39,28,0.920549557
54,61,49,2,47,33,7,40,30,0.920548782
55,65,47,2,45,35,8,37,30,0.920574855
56,66,48,2,46,34,8,38,30,0.920584961
57,66,50,2,48,32,8,40,31,0.92057553
58,74,44,2,42,38,10,32,31,0.920550105
59,74,46,2,44,36,11,33,32,0.920550952
60,75,47,2,45,35,11,34,33,0.920591204
61,76,48,2,46,34,11,35,35,0.920515557
62,78,48,2,46,34,11,35,37,0.920585447
63,79,49,2,47,33,10,37,39,0.920634598
64,80,50,2,48,32,8,40,40,0.920576011
65,82,50,2,48,32,10,38,41,0.920522779
66,82,52,2,50,30,8,42,42,0.920566312
67,83,53,2,51,29,8,43,42,0.92057265
68,84,54,2,52,28,7,45,43,0.92060097
69,84,56,2,54,26,7,47,45,0.920573797
70,85,57,2,55,25,9,46,48,0.920541009
71,88,56,2,54,26,8,46,48,0.920623072
72,92,54,2,52,28,9,43,51,0.920629038
73,94,54,2,52,28,8,44,51,0.920528682
74,96,54,2,52,28,8,44,52,0.92063295
75,96,56,2,54,26,8,46,53,0.920632151
76,96,58,2,56,24,8,48,53,0.92061158
77,97,59,2,57,23,8,49,54,0.920620418
78,98,60,2,58,22,7,51,54,0.920624728
79,99,61,2,59,21,7,52,55,0.920546832
80,103,59,2,57,23,8,49,55,0.920613214
81,105,59,2,57,23,8,49,56,0.920596594
82,108,58,2,56,24,7,49,57,0.920536962
83,111,57,2,55,25,8,47,58,0.920626135
84,114,56,2,54,26,8,46,60,0.920597592
85,115,57,2,55,25,7,48,62,0.920574127
86,115,59,2,57,23,8,49,62,0.920571521
87,119,57,2,55,25,7,48,62,0.920593326
88,122,56,2,54,26,7,47,63,0.92052868
