task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,5,12,14,0,4,7,4,7,0,1,5,12,1.000000
1,0,1,19,26,33,6,9,7,17,7,1,1,19,26,1.000000
2,1,2,3,15,40,0,1,12,1,12,0,1,2,14,1.000000
3,1,2,3,26,25,0,1,23,1,23,0,1,2,25,1.000000
4,2,3,8,32,20,1,3,24,5,24,0,1,6,30,1.000000
5,2,3,5,18,18,0,2,13,2,13,0,1,3,16,1.000000
6,3,4,7,20,29,3,6,13,3,13,0,1,4,17,1.000000
7,3,4,11,26,20,0,7,14,7,14,1,1,8,23,1.000000
8,4,5,11,33,63,0,6,20,6,22,0,1,7,29,1.100000
9,4,5,5,40,37,0,0,35,0,35,0,1,1,36,1.000000
10,5,6,10,38,29,0,4,28,4,28,0,1,5,33,1.000000
11,5,6,7,29,30,0,1,22,1,22,0,1,2,24,1.000000
12,6,7,17,32,41,3,3,15,10,15,0,1,11,26,1.000000
13,6,7,7,38,52,0,0,31,0,31,0,1,1,32,1.000000
14,7,8,18,41,41,7,8,19,10,23,0,1,11,34,1.210526
15,7,8,12,34,32,3,7,18,4,22,0,1,5,27,1.222222
16,8,9,14,29,31,0,5,14,5,14,1,1,6,21,1.000000
17,8,9,14,34,44,5,7,19,5,19,1,1,6,26,1.000000
18,9,10,10,18,47,0,0,8,0,8,0,1,1,9,1.000000
19,9,10,11,40,34,0,1,27,1,29,0,1,2,31,1.074074
20,10,11,17,36,51,1,5,18,6,18,1,1,7,26,1.000000
21,10,11,22,38,53,2,11,16,11,16,0,1,12,28,1.000000
22,11,12,19,32,46,0,7,13,7,13,0,1,8,21,1.000000
23,11,12,23,32,79,0,11,9,11,9,0,1,12,21,1.000000
24,12,13,18,30,44,3,4,12,5,12,0,1,6,18,1.000000
25,12,13,15,39,22,0,2,24,2,24,0,1,3,27,1.000000
26,13,14,15,22,58,0,1,7,1,7,0,1,2,9,1.000000
27,13,14,19,36,53,1,6,14,5,16,1,1,6,23,1.142857
28,14,15,15,28,56,0,0,13,0,13,0,1,1,14,1.000000
29,14,15,20,27,60,0,5,7,5,7,0,1,6,13,1.000000
30,15,16,20,44,21,0,4,24,4,24,0,1,5,29,1.000000
31,15,16,18,21,51,0,2,3,2,3,0,1,3,6,1.000000
32,16,17,20,28,49,0,3,8,3,8,0,1,4,12,1.000000
33,16,17,41,53,14,14,3,12,23,12,1,1,25,37,1.000000
34,17,18,30,49,78,1,9,17,12,19,0,1,13,32,1.117647
35,17,18,18,34,14,0,0,16,0,16,0,1,1,17,1.000000
36,18,19,27,40,53,1,5,13,8,13,0,1,9,22,1.000000
37,18,19,36,49,26,1,7,13,15,13,2,1,18,31,1.000000
38,19,20,23,45,53,0,3,17,3,21,1,1,4,26,1.235294
39,19,20,21,36,45,1,6,15,1,15,0,1,2,17,1.000000
40,20,21,21,32,45,0,0,11,0,11,0,1,1,12,1.000000
41,20,21,21,38,16,0,0,15,0,17,0,1,1,18,1.133333
42,21,22,24,45,11,0,2,21,2,21,0,1,3,24,1.000000
43,21,22,25,58,13,0,3,28,3,32,1,1,4,37,1.142857
44,22,23,23,31,24,0,0,8,0,8,0,1,1,9,1.000000
45,22,23,33,48,51,1,9,15,9,15,1,1,11,26,1.000000
46,23,24,27,52,55,1,32,24,3,24,1,1,4,29,1.000000
47,23,24,29,56,51,1,10,27,5,27,0,1,6,33,1.000000
48,24,25,25,48,26,0,0,21,0,23,0,1,1,24,1.095238
49,24,25,34,58,27,1,4,18,8,24,1,1,10,34,1.333333
50,25,26,34,63,0,3,27,27,8,29,0,1,9,38,1.074074
51,25,26,34,43,71,2,13,9,7,9,1,1,9,18,1.000000
52,26,27,35,47,12,2,4,12,8,12,0,1,9,21,1.000000
53,26,27,38,53,23,11,11,13,10,15,1,1,12,27,1.153846
54,27,28,40,72,25,2,12,30,12,32,0,1,13,45,1.066667
55,27,28,28,65,62,0,0,32,0,36,1,1,1,38,1.125000
56,28,29,30,36,32,1,2,6,1,6,0,1,2,8,1.000000
57,28,29,34,56,70,0,5,20,5,22,0,1,6,28,1.100000
58,29,30,31,33,15,0,1,2,1,2,0,1,2,4,1.000000
59,29,30,37,57,25,0,7,18,7,20,0,1,8,28,1.111111
60,30,31,45,67,55,10,34,20,12,22,2,1,15,37,1.100000
61,30,31,33,49,12,0,1,16,1,16,1,1,3,19,1.000000
62,31,32,36,64,71,1,8,28,4,28,0,1,5,33,1.000000
63,31,32,33,55,66,0,1,22,1,22,0,1,2,24,1.000000
