timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,0,2,0,0.920220726
2,0,6,2,4,76,1,3,0,0.920227799
3,0,8,2,6,74,2,4,0,0.920233643
4,0,10,2,8,72,4,4,0,0.920254228
5,0,12,2,10,70,5,5,0,0.920254356
6,0,14,2,12,68,7,5,0,0.920234872
7,0,16,2,14,66,9,5,0,0.920266837
8,0,18,2,16,64,9,7,0,0.92021
9,0,20,2,18,62,9,9,1,0.920189217
10,0,22,2,20,60,10,10,1,0.920259457
11,0,24,2,22,58,10,12,2,0.920235056
12,1,25,2,23,57,12,11,2,0.920266936
13,1,27,2,25,55,9,16,2,0.920231014
14,2,28,2,26,54,9,17,2,0.920244057
15,2,30,2,28,52,10,18,3,0.920228172
16,2,32,2,30,50,11,19,5,0.920276338
17,3,33,2,31,49,11,20,6,0.920257082
18,3,35,2,33,47,11,22,7,0.92019246
19,3,37,2,35,45,11,24,9,0.920298218
20,3,39,2,37,43,9,28,9,0.920251831
21,3,41,2,39,41,10,29,9,0.920287035
22,3,43,2,41,39,7,34,11,0.920260862
23,4,44,2,42,38,8,34,14,0.92028698
24,5,45,2,43,37,10,33,16,0.920235063
25,8,44,2,42,38,11,31,18,0.92026962
26,11,43,2,41,39,12,29,19,0.920237212
27,12,44,2,42,38,12,30,22,0.920225892
28,12,46,2,44,36,12,32,23,0.920264967
29,13,47,2,45,35,10,35,24,0.920281245
30,14,48,2,46,34,7,39,25,0.920261426
31,15,49,2,47,33,8,39,25,0.920277039
32,18,48,2,46,34,9,37,26,0.920279833
33,19,49,2,47,33,10,37,26,0.920261701
34,20,50,2,48,32,8,40,28,0.920265809
35,21,51,2,49,31,8,41,28,0.920249275
36,24,50,2,48,32,7,41,28,0.920311071
37,25,51,2,49,31,8,41,29,0.920302321
38,27,51,2,49,31,7,42,29,0.9202826
39,28,52,2,50,30,8,42,31,0.920263388
40,28,54,2,52,28,7,45,32,0.920285919
41,29,55,2,53,27,8,45,32,0.920272261
42,34,52,2,50,30,8,42,33,0.920303252
43,36,52,2,50,30,8,42,33,0.920241358
44,36,54,2,52,28,9,43,35,0.920301061
45,38,54,2,52,28,11,41,36,0.92021219
46,39,55,2,53,27,12,41,37,0.920304996
47,42,54,2,52,28,10,42,38,0.920271394
48,43,55,2,53,27,12,41,38,0.920279821
49,48,52,2,50,30,12,38,40,0.920237664
50,50,52,2,50,30,13,37,41,0.920279005
51,55,49,2,47,33,13,34,41,0.920267731
52,55,51,2,49,31,12,37,41,0.920264707
53,58,50,2,48,32,8,40,41,0.920242775
54,60,50,2,48,32,10,38,42,0.920280593
55,63,49,2,47,33,10,37,42,0.920300142
56,65,49,2,47,33,7,40,42,0.920296246
57,67,49,2,47,33,7,40,43,0.920243444
58,68,50,2,48,32,8,40,45,0.920234666
59,68,52,2,50,30,8,42,45,0.920276506
60,70,52,2,50,30,9,41,46,0.920259292
61,71,53,2,51,29,10,41,46,0.920300666
62,73,53,2,51,29,11,40,48,0.92026128
63,73,55,2,53,27,10,43,52,0.920278525
64,76,54,2,52,28,12,40,55,0.920284649
65,76,56,2,54,26,14,40,55,0.920213058
66,76,58,2,56,24,15,41,57,0.920259714
67,76,60,2,58,22,13,45,57,0.92029087
68,79,59,2,57,23,13,44,58,0.920273468
69,83,57,2,55,25,8,47,58,0.920274849
70,85,57,2,55,25,7,48,59,0.920257693
71,86,58,2,56,24,9,47,59,0.920260529
72,88,58,2,56,24,9,47,59,0.920206454
73,89,59,2,57,23,10,47,60,0.92023378
74,90,60,2,58,22,11,47,60,0.920230585
75,96,56,2,54,26,12,42,60,0.920281163
76,99,55,2,53,27,14,39,61,0.920272938
77,104,52,2,50,30,13,37,61,0.920308504
78,107,51,2,49,31,10,39,63,0.920205373
79,108,52,2,50,30,7,43,63,0.920246275
80,109,53,2,51,29,7,44,66,0.920247805
81,110,54,2,52,28,8,44,67,0.920292292
82,110,56,2,54,26,10,44,68,0.920240885
83,112,56,2,54,26,10,44,69,0.920262991
84,117,53,2,51,29,9,42,71,0.920280058
85,118,54,2,52,28,8,44,75,0.920301909
86,119,55,2,53,27,6,47,76,0.920278977
87,122,54,2,52,28,5,47,80,0.920272541
88,123,55,2,53,27,6,47,81,0.920286604
89,124,56,2,54,26,5,49,82,0.920247537
90,126,56,2,54,26,6,48,84,0.920253299
91,129,55,2,53,27,7,46,86,0.920256009
92,133,53,2,51,29,6,45,87,0.920270277
93,136,52,2,50,30,7,43,88,0.920272659
94,138,52,2,50,30,8,42,88,0.920179295
95,141,51,2,49,31,8,41,88,0.920285892
96,143,51,2,49,31,8,41,88,0.920310025
97,145,51,2,49,31,9,40,88,0.920296847
98,148,50,2,48,32,9,39,89,0.920274089
99,150,50,2,48,32,11,37,91,0.920267038
100,152,50,2,48,32,10,38,92,0.920308259
101,153,51,2,49,31,8,41,92,0.920331526
102,153,53,2,51,29,5,46,93,0.920261492
103,154,54,2,52,28,6,46,94,0.920265607
104,155,55,2,53,27,7,46,95,0.920315325
105,156,56,2,54,26,4,50,96,0.920271613
106,157,57,2,55,25,6,49,98,0.920298829
107,158,58,2,56,24,5,51,98,0.920252852
108,160,58,2,56,24,5,51,98,0.920217756
109,161,59,2,57,23,5,52,98,0.92026224
110,162,60,2,58,22,6,52,100,0.92023575
111,166,58,2,56,24,7,49,101,0.920247901
112,170,56,2,54,26,9,45,102,0.920253427
113,172,56,2,54,26,9,45,103,0.920272376
114,174,56,2,54,26,8,46,103,0.920275178
115,176,56,2,54,26,7,47,104,0.920249482
116,176,58,2,56,24,6,50,105,0.920233431
117,178,58,2,56,24,5,51,106,0.920321187
118,179,59,2,57,23,7,50,107,0.920278836
119,181,59,2,57,23,9,48,108,0.920248732
120,185,57,2,55,25,10,45,111,0.920271497
121,187,57,2,55,25,10,45,113,0.920271259
122,190,56,2,54,26,9,45,113,0.920268577
123,196,52,2,50,30,10,40,113,0.920237773
124,198,52,2,50,30,8,42,113,0.920279723
125,199,53,2,51,29,9,42,113,0.920271736
126,205,49,2,47,33,9,38,114,0.920207897
127,208,48,2,46,34,7,39,115,0.920251712
128,209,49,2,47,33,5,42,116,0.920255376
129,210,50,2,48,32,7,41,120,0.920231481
130,210,52,2,50,30,6,44,121,0.920243433
131,216,48,2,46,34,6,40,121,0.920266181
132,216,50,2,48,32,4,44,121,0.920285184
133,217,51,2,49,31,6,43,122,0.920234239
134,221,49,2,47,33,7,40,124,0.920261496
135,222,50,2,48,32,8,40,124,0.920250247
136,223,51,2,49,31,8,41,125,0.920298874
137,225,51,2,49,31,9,40,125,0.920251345
138,226,52,2,50,30,9,41,126,0.920246545
139,228,52,2,50,30,9,41,126,0.920276299
140,229,53,2,51,29,9,42,127,0.920264472
141,231,53,2,51,29,11,40,127,0.920269111
142,234,52,2,50,30,12,38,127,0.920300254
143,236,52,2,50,30,10,40,127,0.920265136
144,237,53,2,51,29,9,42,127,0.920259263
145,240,52,2,50,30,7,43,128,0.92026901
146,242,52,2,50,30,8,42,129,0.920315552
147,243,53,2,51,29,8,43,130,0.920225918
148,245,53,2,51,29,7,44,131,0.920274435
149,249,51,2,49,31,8,41,133,0.92026745
150,250,52,2,50,30,8,42,134,0.920247649
151,252,52,2,50,30,9,41,134,0.920259754
152,252,54,2,52,28,9,43,134,0.920245939
153,256,52,2,50,30,7,43,134,0.9202359
154,256,54,2,52,28,7,45,134,0.920269468
155,256,56,2,54,26,8,46,136,0.920258504
156,258,56,2,54,26,6,48,136,0.920225089
157,259,57,2,55,25,7,48,136,0.92027044
158,261,57,2,55,25,8,47,137,0.920249036
159,262,58,2,56,24,9,47,137,0.920255235
160,267,55,2,53,27,9,44,138,0.920253734
161,269,55,2,53,27,8,45,140,0.920228128
162,272,54,2,52,28,9,43,142,0.920296608
163,273,55,2,53,27,8,45,143,0.920258465
164,275,55,2,53,27,8,45,143,0.92024482
165,277,55,2,53,27,7,46,143,0.920239359
166,277,57,2,55,25,7,48,143,0.920225033
167,280,56,2,54,26,8,46,145,0.920245743
168,283,55,2,53,27,7,46,147,0.920244466
169,284,56,2,54,26,6,48,147,0.920275073
170,289,53,2,51,29,8,43,148,0.92025265
171,294,50,2,48,32,8,40,148,0.920260415
172,296,50,2,48,32,8,40,148,0.920261572
173,297,51,2,49,31,7,42,149,0.9202041
174,300,50,2,48,32,6,42,151,0.920237046
175,304,48,2,46,34,7,39,151,0.920252291
176,304,50,2,48,32,5,43,151,0.920272593
177,307,49,2,47,33,6,41,151,0.920291318
178,308,50,2,48,32,7,41,152,0.920286268
179,310,50,2,48,32,6,42,154,0.920263348
180,313,49,2,47,33,8,39,154,0.92029022
181,313,51,2,49,31,9,40,154,0.92030394
182,314,52,2,50,30,10,40,155,0.920257535
183,316,52,2,50,30,10,40,155,0.920239502
184,317,53,2,51,29,8,43,155,0.920234369
185,320,52,2,50,30,5,45,157,0.920269144
186,321,53,2,51,29,5,46,158,0.920273345
187,323,53,2,51,29,5,46,160,0.920258903
188,324,54,2,52,28,5,47,161,0.920271314
189,324,56,2,54,26,5,49,162,0.920250154
190,330,52,2,50,30,4,46,163,0.920249974
191,332,52,2,50,30,4,46,163,0.920251045
192,334,52,2,50,30,5,45,164,0.920231203
193,334,54,2,52,28,6,46,166,0.920216165
194,338,52,2,50,30,5,45,167,0.920256238
195,342,50,2,48,32,6,42,168,0.920268198
196,345,49,2,47,33,5,42,169,0.920286515
197,347,49,2,47,33,5,42,169,0.920245365
198,350,48,2,46,34,5,41,170,0.920240703
199,353,47,2,45,35,3,42,170,0.920287859
200,355,47,2,45,35,3,42,171,0.920264887
201,356,48,2,46,34,4,42,171,0.920237331
202,357,49,2,47,33,5,42,172,0.920253729
203,357,51,2,49,31,5,44,173,0.920254936
204,357,53,2,51,29,6,45,173,0.920271183
205,359,53,2,51,29,5,46,174,0.920262181
206,360,54,2,52,28,6,46,178,0.920246674
207,363,53,2,51,29,8,43,179,0.920296973
208,364,54,2,52,28,10,42,179,0.920251906
209,366,54,2,52,28,8,44,180,0.920268479
210,369,53,2,51,29,7,44,181,0.920238331
211,374,50,2,48,32,8,40,182,0.920261637
212,374,52,2,50,30,8,42,182,0.920270818
213,378,50,2,48,32,10,38,182,0.920248947
214,379,51,2,49,31,8,41,182,0.920276858
215,379,53,2,51,29,2,49,183,0.92028835
216,383,51,2,49,31,2,47,184,0.920277344
217,388,48,2,46,34,4,42,184,0.920266372
218,389,49,2,47,33,5,42,184,0.920261559
219,392,48,2,46,34,5,41,184,0.92024529
220,394,48,2,46,34,5,41,184,0.92026504
221,395,49,2,47,33,5,42,184,0.920274487
222,396,50,2,48,32,7,41,185,0.920232355
223,396,52,2,50,30,4,46,186,0.920256995
224,396,54,2,52,28,6,46,187,0.920256201
225,398,54,2,52,28,7,45,188,0.92027566
226,403,51,2,49,31,8,41,189,0.920249049
227,405,51,2,49,31,7,42,191,0.920245193
228,408,50,2,48,32,6,42,191,0.920239484
229,410,50,2,48,32,8,40,191,0.920224817
