agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,2,246,7,36,0,7,36
1,3,213,10,66,2,8,66
2,7,170,23,96,0,23,96
3,2,248,5,36,0,5,36
4,5,178,8,103,3,5,103
5,7,146,32,111,1,32,110
6,9,52,48,189,3,47,187
7,7,101,25,163,4,25,159
8,7,104,33,152,2,32,151
9,4,183,16,90,0,16,90
10,5,114,28,147,3,27,145
11,5,117,25,147,4,25,143
12,7,120,18,151,4,17,148
13,4,174,24,91,0,24,91
14,9,75,51,163,8,49,157
15,5,151,28,110,3,28,107
16,7,118,36,135,4,36,131
17,6,165,7,117,1,6,117
18,9,114,34,141,2,33,140
19,5,158,17,114,0,17,114
20,8,59,46,184,5,44,181
21,8,70,30,189,9,29,181
22,6,117,33,139,2,31,139
23,10,88,41,160,4,40,157
24,8,95,21,173,4,20,170
25,8,88,39,162,7,34,160
26,7,94,48,147,4,48,143
27,8,78,30,181,2,30,179
28,11,95,42,152,1,42,151
29,7,124,36,129,7,33,125
30,8,113,24,152,1,24,151
31,5,138,29,122,1,28,122
32,5,151,32,106,2,30,106
33,8,100,36,153,2,36,151
34,7,97,28,164,4,28,160
35,6,163,10,116,2,9,115
36,8,122,21,146,2,20,145
37,9,68,21,200,5,20,196
38,6,123,25,141,4,24,138
39,6,104,39,146,4,38,143
40,10,71,19,199,3,18,197
41,8,121,32,136,3,32,133
42,7,104,17,168,6,16,163
43,8,109,26,154,5,25,150
44,9,112,35,142,1,34,142
45,7,123,24,142,4,24,138
46,8,144,14,131,1,14,130
47,7,135,35,119,4,34,116
48,9,127,29,133,3,28,131
49,7,211,17,61,1,16,61
50,5,135,23,131,1,23,130
51,8,127,39,123,4,37,121
52,4,148,17,124,3,17,121
53,7,89,34,166,1,34,165
54,8,129,26,134,1,26,133
55,7,107,22,160,3,22,157
56,7,142,33,114,1,33,113
57,5,184,25,80,2,24,79
58,6,142,16,131,1,16,130
59,5,146,15,128,10,12,121
60,5,157,19,113,2,19,111
61,2,215,8,66,0,8,66
62,8,101,15,173,5,15,168
63,8,92,22,175,1,22,174
64,3,194,15,80,1,15,79
65,0,289,0,0,0,0,0
66,4,201,11,77,0,11,77
67,2,242,0,47,0,0,47
68,6,121,25,143,7,23,138
69,5,127,7,155,2,7,153
70,5,171,19,99,3,18,97
71,5,147,22,120,3,21,118
72,5,205,1,83,1,1,82
73,4,180,8,101,0,8,101
74,4,187,21,81,1,20,81
75,6,150,18,121,4,18,117
76,4,158,24,107,0,24,107
77,7,123,51,115,4,48,114
78,4,194,24,71,0,24,71
79,7,151,22,116,4,22,112
