task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,5,12,14,0,4,7,4,7,0,1,5,12,1.000000
1,0,1,10,17,33,0,9,7,9,7,0,1,10,17,1.000000
2,1,2,3,15,40,0,1,12,1,12,0,1,2,14,1.000000
3,1,2,3,26,25,0,1,23,1,23,0,1,2,25,1.000000
4,2,3,6,30,20,0,3,24,3,24,0,1,4,28,1.000000
5,2,3,5,18,18,0,2,13,2,13,0,1,3,16,1.000000
6,3,4,12,33,29,1,6,13,8,21,0,1,9,30,1.615385
7,3,4,13,31,6,1,9,14,9,16,2,1,10,28,1.142857
8,4,5,11,31,63,0,6,20,6,20,0,1,7,27,1.000000
9,4,5,5,40,37,0,0,35,0,35,0,1,1,36,1.000000
10,5,6,12,40,29,0,6,28,6,28,0,1,7,35,1.000000
11,5,6,7,29,30,0,1,22,1,22,0,1,2,24,1.000000
12,6,7,10,25,41,0,3,15,3,15,0,1,4,19,1.000000
13,6,7,7,38,52,0,0,31,0,31,0,1,1,32,1.000000
14,7,8,24,48,38,1,10,19,16,23,1,1,17,41,1.210526
15,7,8,15,33,32,0,7,18,7,18,0,1,8,26,1.000000
16,8,9,14,28,26,0,5,14,5,14,0,1,6,20,1.000000
17,8,9,17,51,43,0,8,19,8,33,1,1,9,43,1.736842
18,9,10,10,18,44,0,0,8,0,8,0,1,1,9,1.000000
19,9,10,11,38,34,0,1,27,1,27,0,1,2,29,1.000000
20,10,11,17,35,51,1,5,18,6,18,0,1,7,25,1.000000
21,10,11,20,36,47,0,9,16,9,16,0,1,10,26,1.000000
22,11,12,19,32,46,0,7,13,7,13,0,1,8,21,1.000000
23,11,12,23,36,79,0,11,9,11,13,0,1,12,25,1.444444
24,12,13,17,36,39,1,10,12,4,18,1,1,5,24,1.500000
25,12,13,15,39,16,0,2,24,2,24,0,1,3,27,1.000000
26,13,14,15,22,56,0,1,7,1,7,0,1,2,9,1.000000
27,13,14,19,35,53,1,7,14,5,16,0,1,6,22,1.142857
28,14,15,16,29,62,0,1,13,1,13,0,1,2,15,1.000000
29,14,15,20,27,60,0,5,7,5,7,0,1,6,13,1.000000
30,15,16,20,44,21,0,4,24,4,24,0,1,5,29,1.000000
31,15,16,18,21,51,0,2,3,2,3,0,1,3,6,1.000000
32,16,17,20,28,49,0,3,8,3,8,0,1,4,12,1.000000
33,16,17,25,37,6,0,8,12,8,12,0,1,9,21,1.000000
34,17,18,27,44,78,0,9,17,9,17,0,1,10,27,1.000000
35,17,18,26,42,13,0,8,16,8,16,0,1,9,25,1.000000
36,18,19,30,43,53,1,6,13,11,13,0,1,12,25,1.000000
37,18,19,35,48,22,3,9,13,16,13,0,1,17,30,1.000000
38,19,20,24,43,53,0,4,17,4,19,0,1,5,24,1.117647
39,19,20,25,40,48,0,5,15,5,15,0,1,6,21,1.000000
40,20,21,22,33,45,0,1,11,1,11,0,1,2,13,1.000000
41,20,21,28,43,27,0,7,15,7,15,0,1,8,23,1.000000
42,21,22,23,45,12,0,1,21,1,21,1,1,2,24,1.000000
43,21,22,31,63,11,0,9,28,9,32,0,1,10,42,1.142857
44,22,23,23,31,24,0,0,8,0,8,0,1,1,9,1.000000
45,22,23,32,51,33,0,9,15,9,19,0,1,10,29,1.266667
46,23,24,24,50,58,0,0,24,0,26,0,1,1,27,1.083333
47,23,24,34,63,56,0,10,27,10,29,0,1,11,40,1.074074
48,24,25,27,54,18,1,8,21,2,27,0,1,3,30,1.285714
49,24,25,28,48,28,1,4,18,3,20,0,1,4,24,1.111111
50,25,26,37,68,28,1,8,27,11,31,0,1,12,43,1.148148
51,25,26,37,46,51,0,8,9,10,9,1,1,12,21,1.000000
52,26,27,28,41,41,0,1,12,1,12,1,1,2,15,1.000000
53,26,27,38,51,23,0,11,13,11,13,0,1,12,25,1.000000
54,27,28,42,72,25,2,12,30,12,30,2,1,15,45,1.000000
55,27,28,29,62,69,0,1,32,1,32,1,1,2,35,1.000000
56,28,29,30,38,49,1,6,6,1,8,0,1,2,10,1.333333
57,28,29,34,54,70,0,5,20,5,20,0,1,6,26,1.000000
58,29,30,31,33,5,0,1,2,1,2,0,1,2,4,1.000000
59,29,30,33,51,26,2,13,18,3,18,0,1,4,22,1.000000
60,30,31,33,53,61,0,2,20,2,20,0,1,3,23,1.000000
61,30,31,41,57,10,0,10,16,10,16,0,1,11,27,1.000000
62,31,32,36,64,63,0,4,28,4,28,0,1,5,33,1.000000
63,31,32,33,55,66,0,1,22,1,22,0,1,2,24,1.000000
64,32,33,34,41,46,0,1,6,1,6,1,1,2,9,1.000000
65,32,33,33,61,50,0,0,26,0,28,0,1,1,29,1.076923
66,33,34,44,70,42,1,8,26,9,26,1,1,11,37,1.000000
67,33,34,40,46,24,1,6,6,5,6,1,1,7,13,1.000000
68,34,35,46,80,26,1,6,24,11,34,0,1,12,46,1.416667
69,34,35,47,85,71,2,7,30,12,38,0,1,13,51,1.266667
70,35,36,41,72,44,2,8,29,5,31,0,1,6,37,1.068966
71,35,36,36,69,40,0,0,29,0,33,0,1,1,34,1.137931
72,36,37,41,58,26,0,4,15,4,17,0,1,5,22,1.133333
73,36,37,42,56,44,0,5,14,5,14,0,1,6,20,1.000000
74,37,38,38,64,7,0,0,26,0,26,0,1,1,27,1.000000
75,37,38,40,48,36,1,8,8,2,8,0,1,3,11,1.000000
76,38,39,39,54,57,0,0,15,0,15,0,1,1,16,1.000000
77,38,39,42,67,54,1,4,25,3,25,0,1,4,29,1.000000
78,39,40,41,58,79,0,1,12,1,16,1,1,2,19,1.333333
79,39,40,44,60,49,1,3,16,3,16,1,1,5,21,1.000000
80,40,41,45,59,9,0,4,10,4,14,0,1,5,19,1.400000
81,40,41,42,65,36,0,1,16,1,22,1,1,2,25,1.375000
82,41,42,45,64,29,0,3,18,3,18,1,1,4,23,1.000000
83,41,42,48,63,47,0,5,15,5,15,1,1,7,22,1.000000
84,42,43,53,85,38,0,10,32,10,32,0,1,11,43,1.000000
85,42,43,48,75,8,0,5,25,5,27,0,1,6,33,1.080000
86,43,44,47,72,16,0,3,19,3,23,2,1,4,29,1.210526
87,43,44,46,62,41,0,2,14,2,16,0,1,3,19,1.142857
88,44,45,57,66,78,2,10,9,12,9,0,1,13,22,1.000000
89,44,45,48,78,52,0,3,22,3,28,2,1,4,34,1.272727
90,45,46,59,67,32,2,7,8,13,8,0,1,14,22,1.000000
91,45,46,48,79,34,0,2,25,2,31,0,1,3,34,1.240000
92,46,47,55,79,32,0,8,24,8,24,0,1,9,33,1.000000
93,46,47,60,67,27,3,11,7,13,7,0,1,14,21,1.000000
94,47,48,52,67,54,0,4,15,4,15,0,1,5,20,1.000000
95,47,48,48,61,12,0,0,13,0,13,0,1,1,14,1.000000
96,48,49,52,55,24,2,4,3,3,3,0,1,4,7,1.000000
97,48,49,49,69,62,0,0,18,0,18,2,1,1,21,1.000000
98,49,50,52,72,24,0,2,18,2,20,0,1,3,23,1.111111
99,49,50,52,85,77,0,2,30,2,32,1,1,3,36,1.066667
100,50,51,60,66,21,4,3,6,8,6,1,1,10,16,1.000000
101,50,51,51,89,73,0,0,26,0,38,0,1,1,39,1.461538
102,51,52,52,57,17,0,0,5,0,5,0,1,1,6,1.000000
103,51,52,52,76,37,0,0,18,0,22,2,1,1,25,1.222222
104,52,53,58,65,30,0,5,5,5,7,0,1,6,13,1.400000
105,52,53,54,64,21,0,1,10,1,10,0,1,2,12,1.000000
106,53,54,59,85,78,2,3,24,5,26,0,1,6,32,1.083333
107,53,54,58,87,18,0,3,29,3,29,1,1,5,34,1.000000
108,54,55,60,89,39,0,3,24,5,28,1,1,6,35,1.166667
109,54,55,70,93,28,4,9,21,14,23,1,1,16,39,1.095238
110,55,56,58,87,5,0,2,25,2,29,0,1,3,32,1.160000
111,55,56,60,77,68,0,3,15,3,17,1,1,5,22,1.133333
112,56,57,58,92,60,0,1,34,1,34,0,1,2,36,1.000000
113,56,57,60,96,66,1,3,18,3,34,2,1,4,40,1.888889
114,57,58,66,85,57,4,5,19,7,19,1,1,9,28,1.000000
115,57,58,67,109,45,3,4,36,8,42,1,1,10,52,1.166667
