agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,180,42,67,2,40,67
1,3,204,31,54,3,28,54
2,1,243,28,18,4,24,18
3,1,260,21,8,2,20,7
4,6,175,23,91,1,22,91
5,2,203,24,62,5,20,61
6,4,160,41,88,4,38,87
7,5,201,15,73,1,14,73
8,6,140,10,139,4,9,136
9,7,83,10,196,2,10,194
10,4,163,24,102,3,21,102
11,6,150,16,123,2,16,121
12,6,97,25,167,3,24,165
13,7,109,29,151,4,28,148
14,7,115,27,147,3,26,145
15,8,112,33,144,3,32,142
16,8,88,25,176,6,24,171
17,3,197,37,55,2,35,55
18,6,115,35,139,2,35,137
19,9,92,17,180,2,16,179
20,6,137,35,117,0,35,117
21,9,122,30,137,1,30,136
22,6,169,31,89,3,30,87
23,7,116,23,150,3,22,148
24,5,122,22,145,0,22,145
25,7,108,25,156,1,25,155
26,9,77,49,163,2,49,161
27,5,161,29,99,7,27,94
28,5,104,17,168,2,17,166
29,9,107,45,137,6,44,132
30,8,106,34,149,5,32,146
31,7,95,15,179,6,13,175
32,7,111,12,166,2,12,164
33,10,91,41,157,4,38,156
34,7,133,26,130,3,25,128
35,9,95,33,161,1,33,160
36,8,99,20,170,5,19,166
37,7,75,40,174,5,40,169
38,8,106,34,149,2,33,148
39,7,120,22,147,2,22,145
40,7,103,24,162,7,21,158
41,9,89,32,168,4,30,166
42,7,124,36,129,5,35,125
43,7,104,36,149,3,35,147
44,7,94,24,171,4,22,169
45,6,117,30,142,2,30,140
46,9,97,39,153,6,36,150
47,7,128,25,136,3,24,134
48,5,164,31,94,3,28,94
49,7,115,18,156,2,18,154
50,6,116,22,151,0,22,151
51,7,127,47,115,3,44,115
52,6,104,13,172,2,13,170
53,8,65,22,202,6,21,197
54,7,99,15,175,2,15,173
55,7,113,18,158,1,18,157
56,6,116,20,153,0,20,153
57,5,190,13,86,3,13,83
58,7,93,29,167,2,28,166
59,8,138,16,135,1,16,134
60,6,131,25,133,2,25,131
61,8,115,11,163,1,10,163
62,6,109,12,168,2,12,166
63,9,83,32,174,5,29,172
64,7,79,30,180,4,28,178
65,3,206,12,71,1,12,70
66,3,190,13,86,2,11,86
67,1,240,2,47,0,2,47
68,2,221,7,61,2,7,59
69,7,141,15,133,5,15,128
70,7,120,15,154,2,14,153
71,5,138,23,128,1,22,128
72,4,198,7,84,0,7,84
73,3,242,11,36,0,11,36
74,9,115,25,149,3,23,148
75,4,168,19,102,3,18,100
76,8,115,16,158,6,14,154
77,8,92,42,155,4,41,152
78,6,111,30,148,1,30,147
79,8,98,35,156,4,35,152
