timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.920677874
2,0,6,2,4,76,4,0,0,0.92058101
3,0,8,2,6,74,5,1,0,0.920492134
4,0,10,2,8,72,6,2,0,0.920493703
5,0,12,2,10,70,8,2,0,0.920525835
6,0,14,2,12,68,9,3,0,0.920541606
7,0,16,2,14,66,7,7,0,0.920514483
8,1,17,2,15,65,8,7,0,0.920512284
9,1,19,2,17,63,8,9,0,0.920538968
10,1,21,2,19,61,9,10,0,0.920570568
11,1,23,2,21,59,9,12,0,0.920575868
12,1,25,2,23,57,9,14,0,0.920581769
13,2,26,2,24,56,9,15,0,0.920577331
14,2,28,2,26,54,9,17,0,0.920558329
15,2,30,2,28,52,7,21,0,0.920504054
16,5,29,2,27,53,8,19,0,0.920587278
17,5,31,2,29,51,10,19,0,0.920549847
18,5,33,2,31,49,10,21,0,0.920570304
19,5,35,2,33,47,8,25,0,0.920576148
20,5,37,2,35,45,8,27,1,0.920625229
21,7,37,2,35,45,8,27,1,0.920657457
22,9,37,2,35,45,7,28,1,0.920538466
23,10,38,2,36,44,8,28,2,0.920537074
24,12,38,2,36,44,7,29,2,0.920584448
25,13,39,2,37,43,8,29,2,0.920539086
26,14,40,2,38,42,10,28,4,0.920666526
27,15,41,2,39,41,9,30,5,0.920659546
28,16,42,2,40,40,10,30,6,0.920562072
29,17,43,2,41,39,11,30,7,0.92061512
30,18,44,2,42,38,13,29,7,0.920576859
31,20,44,2,42,38,14,28,8,0.920547264
32,22,44,2,42,38,15,27,8,0.920569879
33,24,44,2,42,38,15,27,8,0.920588367
34,26,44,2,42,38,13,29,9,0.920635129
35,27,45,2,43,37,13,30,10,0.920635881
36,29,45,2,43,37,14,29,10,0.920621016
37,32,44,2,42,38,12,30,12,0.920593163
38,33,45,2,43,37,10,33,14,0.920620063
39,34,46,2,44,36,10,34,15,0.920588284
40,36,46,2,44,36,10,34,16,0.920618632
41,38,46,2,44,36,8,36,17,0.920587517
42,38,48,2,46,34,10,36,18,0.920642756
43,40,48,2,46,34,8,38,19,0.920559202
44,42,48,2,46,34,8,38,22,0.92057993
45,44,48,2,46,34,8,38,23,0.920591274
46,46,48,2,46,34,7,39,25,0.920567217
47,48,48,2,46,34,6,40,26,0.920640636
48,53,45,2,43,37,5,38,27,0.920569823
49,54,46,2,44,36,5,39,27,0.920567128
50,56,46,2,44,36,7,37,27,0.920555905
51,56,48,2,46,34,8,38,28,0.92062213
52,56,50,2,48,32,5,43,30,0.920536969
53,60,48,2,46,34,6,40,30,0.920640906
54,60,50,2,48,32,8,40,31,0.920637076
55,63,49,2,47,33,8,39,33,0.920648592
56,63,51,2,49,31,8,41,34,0.920581354
57,63,53,2,51,29,9,42,34,0.920690324
