agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,209,12,67,1,11,67
1,5,154,31,103,5,30,99
2,7,122,20,146,2,20,144
3,6,180,7,101,2,7,99
4,4,181,18,89,3,17,87
5,5,153,28,107,3,27,105
6,7,110,18,160,2,17,159
7,8,144,26,118,5,26,113
8,7,96,21,171,1,21,170
9,8,80,16,192,4,14,190
10,3,176,21,91,2,19,91
11,5,152,27,109,1,27,108
12,4,142,29,117,3,28,115
13,6,95,39,154,1,39,153
14,7,58,34,196,1,33,196
15,8,140,29,119,3,29,116
16,8,91,33,164,7,31,159
17,9,111,35,142,2,34,141
18,7,123,19,146,3,16,146
19,7,161,19,108,1,19,107
20,7,84,28,176,8,27,169
21,7,98,33,157,6,32,152
22,6,138,36,114,4,33,113
23,5,116,27,145,0,27,145
24,7,141,22,125,4,21,122
25,8,94,30,164,3,30,161
26,11,55,37,196,3,37,193
27,6,97,24,167,2,23,166
28,8,122,38,128,4,35,127
29,7,110,27,151,3,27,148
30,8,77,30,181,2,29,180
31,6,142,24,122,2,22,122
32,8,73,9,206,3,9,203
33,8,109,13,166,1,13,165
34,7,129,29,130,1,29,129
35,9,121,26,141,1,26,140
36,8,146,24,118,1,24,117
37,7,106,27,155,1,27,154
38,8,125,36,127,4,35,124
39,7,69,27,192,6,25,188
40,8,117,39,132,4,38,129
41,8,72,29,187,6,27,183
42,5,176,31,81,1,30,81
43,7,65,34,189,3,33,187
44,4,148,35,105,8,32,100
45,7,122,20,146,2,19,145
46,8,86,28,174,4,28,170
47,8,128,34,126,5,33,122
48,6,149,29,110,1,29,109
49,7,129,17,142,2,17,140
50,7,125,21,142,4,21,138
51,8,133,30,125,7,25,123
52,7,140,40,108,1,39,108
53,5,151,28,109,4,26,107
54,9,108,37,143,2,36,142
55,5,149,28,111,4,27,108
56,8,96,33,159,0,33,159
57,5,184,14,90,3,13,88
58,7,103,33,152,0,33,152
59,8,131,22,135,3,22,132
60,6,128,14,146,2,14,144
61,7,129,28,131,4,26,129
62,6,152,18,118,5,16,115
63,6,87,26,175,3,26,172
64,7,112,16,160,2,16,158
65,3,203,4,81,1,4,80
66,4,145,10,133,1,9,133
67,3,201,8,79,0,8,79
68,4,175,13,100,3,13,97
69,3,211,9,68,0,9,68
70,4,187,13,88,0,13,88
71,3,183,20,85,1,20,84
72,7,106,11,171,2,11,169
73,3,227,1,60,0,1,60
74,2,219,4,65,1,4,64
75,6,126,11,151,3,11,148
76,5,127,18,143,0,18,143
77,2,235,7,46,2,6,45
78,6,155,14,119,5,14,114
79,3,184,25,79,0,25,79
