agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,1,272,3,19,0,3,19
1,4,175,14,105,3,14,102
2,3,223,11,60,3,11,57
3,4,218,6,70,4,5,67
4,3,184,7,103,2,6,102
5,5,136,11,147,1,11,146
6,8,124,26,144,6,24,140
7,6,135,20,139,3,20,136
8,8,103,13,178,3,13,175
9,6,110,13,171,0,13,171
10,5,173,15,106,0,15,106
11,5,113,19,162,1,19,161
12,5,141,31,122,1,30,122
13,10,102,36,156,4,34,154
14,8,63,35,196,6,32,193
15,7,135,17,142,4,17,138
16,7,114,37,143,6,36,138
17,8,162,12,120,6,9,117
18,7,132,23,139,4,21,137
19,8,107,32,155,1,32,154
20,7,136,23,135,3,23,132
21,8,83,37,174,4,35,172
22,9,103,43,148,3,42,146
23,6,126,24,144,6,22,140
24,4,206,12,76,2,11,75
25,7,89,18,187,1,17,187
26,8,119,28,147,3,26,146
27,6,139,22,133,2,21,132
28,9,122,17,155,2,17,153
29,7,96,29,169,3,28,167
30,8,97,29,168,5,28,164
31,6,102,36,156,4,35,153
32,10,107,29,158,2,29,156
33,11,116,31,147,2,30,146
34,6,103,36,155,3,33,155
35,6,93,21,180,1,21,179
36,7,85,41,168,4,40,165
37,8,111,27,156,3,27,153
38,6,121,41,132,5,39,129
39,6,81,34,179,2,34,177
40,7,144,23,127,3,22,125
41,7,128,27,139,3,26,137
42,9,123,30,141,3,29,139
43,7,129,32,133,2,31,132
44,7,124,21,149,1,20,149
45,6,105,17,172,7,15,167
46,8,98,23,173,1,23,172
47,7,138,44,112,3,43,110
48,7,127,32,135,1,31,135
49,5,138,20,136,3,19,134
50,4,188,23,83,0,23,83
51,8,92,29,173,2,28,172
52,7,139,26,129,5,24,126
53,6,148,37,109,6,33,107
54,7,120,37,137,1,37,136
55,5,172,20,102,5,17,100
56,6,108,20,166,3,20,163
57,4,181,20,93,2,19,92
58,8,113,16,165,5,14,162
59,8,122,28,144,6,26,140
60,6,113,22,159,9,20,152
61,6,135,22,137,2,22,135
62,7,133,15,146,7,14,140
63,8,98,33,163,4,33,159
64,6,91,17,186,1,17,185
65,2,259,4,31,0,4,31
66,3,217,5,72,1,5,71
67,2,227,10,57,0,10,57
68,3,251,10,33,0,10,33
69,3,218,11,65,2,10,64
70,5,180,9,105,2,9,103
71,2,238,10,46,1,10,45
72,7,126,17,151,2,16,150
73,2,245,1,48,1,1,47
74,8,64,25,205,2,25,203
75,7,152,31,111,3,30,109
76,9,97,30,167,5,28,164
77,4,213,23,58,3,22,56
78,7,124,41,129,6,40,124
79,7,114,32,148,4,30,146
