timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.920231472
2,0,6,2,4,76,3,1,0,0.920230917
3,0,8,2,6,74,5,1,0,0.920219325
4,0,10,2,8,72,6,2,0,0.920213207
5,0,12,2,10,70,7,3,0,0.920222304
6,0,14,2,12,68,8,4,0,0.92024983
7,0,16,2,14,66,9,5,0,0.920271744
8,0,18,2,16,64,9,7,0,0.92027284
9,0,20,2,18,62,7,11,0,0.920258594
10,0,22,2,20,60,8,12,0,0.92026676
11,0,24,2,22,58,8,14,0,0.920272434
12,1,25,2,23,57,6,17,0,0.920255613
13,1,27,2,25,55,7,18,0,0.920230394
14,1,29,2,27,53,9,18,0,0.920221094
15,2,30,2,28,52,10,18,0,0.920279221
16,3,31,2,29,51,10,19,1,0.920280398
17,3,33,2,31,49,9,22,2,0.92022682
18,4,34,2,32,48,9,23,2,0.920259864
19,7,33,2,31,49,10,21,2,0.920289608
20,8,34,2,32,48,11,21,3,0.920256313
21,11,33,2,31,49,11,20,5,0.920235737
22,11,35,2,33,47,13,20,5,0.920268014
23,12,36,2,34,46,13,21,7,0.920231054
24,12,38,2,36,44,12,24,7,0.920299347
25,12,40,2,38,42,11,27,8,0.920261237
26,15,39,2,37,43,10,27,8,0.920268545
27,15,41,2,39,41,11,28,10,0.920289706
28,16,42,2,40,40,12,28,12,0.920287735
29,17,43,2,41,39,13,28,12,0.920287284
30,20,42,2,40,40,11,29,12,0.920299328
31,21,43,2,41,39,12,29,12,0.920266488
32,22,44,2,42,38,14,28,12,0.920325354
33,23,45,2,43,37,10,33,12,0.920334746
34,25,45,2,43,37,10,33,13,0.920292343
35,27,45,2,43,37,7,36,16,0.920280919
36,28,46,2,44,36,9,35,16,0.920304314
37,30,46,2,44,36,7,37,17,0.920274808
38,32,46,2,44,36,7,37,18,0.920274635
39,33,47,2,45,35,8,37,21,0.920269528
40,34,48,2,46,34,8,38,22,0.920250121
41,34,50,2,48,32,10,38,23,0.920216091
42,37,49,2,47,33,10,37,24,0.920315768
43,39,49,2,47,33,9,38,25,0.920281268
44,39,51,2,49,31,7,42,26,0.92025864
45,42,50,2,48,32,7,41,26,0.920299826
46,44,50,2,48,32,7,41,27,0.920292033
47,46,50,2,48,32,7,41,28,0.920317956
48,47,51,2,49,31,8,41,28,0.920317838
49,48,52,2,50,30,7,43,28,0.920294619
50,49,53,2,51,29,7,44,28,0.920303067
51,52,52,2,50,30,8,42,28,0.920233315
52,53,53,2,51,29,7,44,29,0.920278562
53,56,52,2,50,30,8,42,29,0.920237645
54,60,50,2,48,32,7,41,29,0.920278763
55,63,49,2,47,33,8,39,31,0.920307465
56,64,50,2,48,32,8,40,31,0.920276721
57,66,50,2,48,32,9,39,33,0.920241942
58,69,49,2,47,33,8,39,35,0.92028399
59,72,48,2,46,34,6,40,35,0.920325503
60,73,49,2,47,33,6,41,35,0.920248339
61,75,49,2,47,33,5,42,36,0.920297245
62,77,49,2,47,33,7,40,37,0.920266399
63,78,50,2,48,32,7,41,40,0.920282062
64,80,50,2,48,32,5,43,42,0.920296999
65,83,49,2,47,33,6,41,42,0.920280592
66,85,49,2,47,33,5,42,43,0.920277544
67,91,45,2,43,37,5,38,43,0.920326747
68,92,46,2,44,36,5,39,43,0.920316161
69,95,45,2,43,37,5,38,43,0.920309577
70,95,47,2,45,35,6,39,43,0.920301557
71,95,49,2,47,33,5,42,43,0.920249571
72,96,50,2,48,32,7,41,43,0.920238922
73,98,50,2,48,32,9,39,43,0.920297388
74,101,49,2,47,33,10,37,46,0.92030112
75,102,50,2,48,32,9,39,46,0.920313527
76,104,50,2,48,32,10,38,47,0.920220241
77,106,50,2,48,32,10,38,48,0.920280024
78,107,51,2,49,31,9,40,52,0.920313586
79,108,52,2,50,30,9,41,53,0.920341411
80,109,53,2,51,29,9,42,53,0.920281982
81,110,54,2,52,28,9,43,53,0.920276522
82,113,53,2,51,29,9,42,54,0.920315011
83,113,55,2,53,27,9,44,54,0.920273932
84,113,57,2,55,25,10,45,55,0.92031621
85,115,57,2,55,25,9,46,55,0.920290051
86,119,55,2,53,27,10,43,55,0.920346717
87,122,54,2,52,28,10,42,56,0.920309908
88,124,54,2,52,28,9,43,58,0.920246969
89,127,53,2,51,29,9,42,58,0.920269182
90,128,54,2,52,28,7,45,59,0.920249869
91,128,56,2,54,26,9,45,61,0.920305312
92,131,55,2,53,27,11,42,62,0.920274568
93,134,54,2,52,28,10,42,63,0.920255224
94,136,54,2,52,28,10,42,64,0.920302715
95,137,55,2,53,27,10,43,64,0.920332027
96,140,54,2,52,28,8,44,64,0.920294019
97,141,55,2,53,27,5,48,67,0.920325644
98,141,57,2,55,25,7,48,70,0.920253562
99,144,56,2,54,26,6,48,73,0.920294464
100,146,56,2,54,26,8,46,74,0.920330935
101,147,57,2,55,25,6,49,77,0.920252222
102,148,58,2,56,24,7,49,79,0.920275646
103,151,57,2,55,25,7,48,79,0.920320004
104,153,57,2,55,25,7,48,80,0.920276065
