agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,0,280,4,0,0,4,0
1,4,193,3,88,3,3,85
2,4,162,12,110,5,11,106
3,4,185,7,92,2,7,90
4,4,181,10,93,3,10,90
5,6,163,10,111,2,10,109
6,6,151,27,106,5,26,102
7,6,130,23,131,3,22,129
8,6,123,18,143,5,15,141
9,6,121,25,138,2,24,137
10,9,42,50,192,3,50,189
11,8,94,34,156,6,33,151
12,7,109,34,141,2,33,140
13,9,86,36,162,4,34,160
14,7,96,24,164,1,23,164
15,8,100,14,170,3,14,167
16,8,85,18,181,8,17,174
17,2,242,9,33,1,9,32
18,8,56,18,210,3,17,208
19,5,188,25,71,4,22,70
20,7,110,33,141,2,32,140
21,8,105,37,142,6,34,139
22,6,129,14,141,1,14,140
23,4,149,14,121,3,13,119
24,4,196,11,77,1,10,77
25,6,135,40,109,5,36,108
26,5,98,17,169,1,16,169
27,6,122,11,151,2,11,149
28,6,101,39,144,3,38,142
29,9,114,23,147,5,21,144
30,7,111,28,145,3,28,142
31,8,113,27,144,5,26,140
32,6,174,18,92,4,17,89
33,6,100,26,158,4,24,156
34,9,98,36,150,6,34,146
35,7,142,13,129,2,13,127
36,7,102,17,165,2,16,164
37,10,118,21,145,1,21,144
38,7,145,16,123,1,16,122
39,5,163,19,102,2,17,102
40,8,99,50,135,1,50,134
41,7,127,33,124,4,31,122
42,3,214,16,54,2,15,53
43,6,148,32,104,3,30,103
44,8,116,20,148,2,19,147
45,8,116,35,133,4,35,129
46,9,102,19,163,3,19,160
47,7,77,39,168,5,36,166
48,3,221,27,36,1,27,35
49,11,92,37,155,6,36,150
50,7,152,35,97,4,33,95
51,10,65,36,183,4,35,180
52,7,102,28,154,3,28,151
53,8,61,30,193,2,28,193
54,7,123,32,129,2,32,127
55,9,101,38,145,3,36,144
56,6,122,29,133,1,29,132
57,6,144,15,125,1,15,124
58,8,147,17,120,2,16,119
59,4,173,18,93,4,16,91
60,7,123,8,153,1,8,152
61,4,177,18,89,2,17,88
62,11,77,38,169,4,37,166
63,3,193,27,64,1,27,63
64,8,99,31,154,2,31,152
65,0,273,11,0,0,11,0
66,3,220,8,56,0,8,56
67,2,241,10,33,1,10,32
68,4,157,9,118,2,9,116
69,4,169,13,102,3,13,99
70,5,143,7,134,2,7,132
71,8,103,22,159,4,22,155
72,6,160,23,101,2,21,101
73,5,138,23,123,3,22,121
74,7,122,27,135,2,27,133
75,6,167,17,100,3,15,99
76,3,186,29,69,1,28,69
77,4,163,21,100,3,20,98
78,8,107,28,149,3,28,146
79,10,52,36,196,3,36,193
