timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.920549452
2,0,6,2,4,76,3,1,0,0.920527391
3,0,8,2,6,74,5,1,0,0.920530012
4,0,10,2,8,72,4,4,0,0.920478454
5,0,12,2,10,70,6,4,0,0.920511282
6,0,14,2,12,68,7,5,0,0.920539303
7,0,16,2,14,66,7,7,0,0.920523309
8,0,18,2,16,64,8,8,0,0.920514661
9,0,20,2,18,62,8,10,0,0.92052101
10,0,22,2,20,60,9,11,1,0.920487595
11,0,24,2,22,58,11,11,1,0.920548817
12,0,26,2,24,56,11,13,2,0.920582419
13,0,28,2,26,54,12,14,2,0.920563969
14,1,29,2,27,53,13,14,3,0.920600691
15,2,30,2,28,52,13,15,3,0.920666642
16,3,31,2,29,51,10,19,4,0.920577282
17,3,33,2,31,49,11,20,6,0.920498622
18,3,35,2,33,47,10,23,6,0.920525415
19,4,36,2,34,46,11,23,6,0.920619586
20,4,38,2,36,44,11,25,6,0.920544414
21,4,40,2,38,42,12,26,6,0.920546081
22,5,41,2,39,41,12,27,7,0.920606573
23,6,42,2,40,40,14,26,7,0.920569811
24,8,42,2,40,40,13,27,7,0.920608073
25,9,43,2,41,39,10,31,8,0.920572745
26,10,44,2,42,38,9,33,9,0.920574514
27,12,44,2,42,38,10,32,9,0.920478222
28,12,46,2,44,36,10,34,13,0.920602397
29,12,48,2,46,34,9,37,15,0.920549108
30,13,49,2,47,33,8,39,16,0.920527312
31,14,50,2,48,32,7,41,17,0.920587499
32,16,50,2,48,32,7,41,18,0.920529895
33,17,51,2,49,31,9,40,18,0.920520177
34,18,52,2,50,30,9,41,18,0.920589382
35,20,52,2,50,30,8,42,19,0.920494007
36,23,51,2,49,31,10,39,19,0.920502557
37,25,51,2,49,31,9,40,20,0.920606497
38,26,52,2,50,30,8,42,22,0.920558098
39,27,53,2,51,29,8,43,24,0.920508027
40,29,53,2,51,29,8,43,24,0.920580451
41,29,55,2,53,27,7,46,24,0.920587021
42,31,55,2,53,27,8,45,24,0.920592322
43,32,56,2,54,26,6,48,24,0.920610462
44,35,55,2,53,27,6,47,25,0.920610609
45,36,56,2,54,26,6,48,26,0.920570651
46,39,55,2,53,27,8,45,27,0.920552762
47,39,57,2,55,25,9,46,28,0.920586136
48,43,55,2,53,27,11,42,28,0.920590686
49,47,53,2,51,29,11,40,28,0.920569206
50,48,54,2,52,28,10,42,28,0.920570745
51,49,55,2,53,27,10,43,29,0.920588687
52,53,53,2,51,29,12,39,32,0.920581223
53,57,51,2,49,31,12,37,33,0.920579006
54,61,49,2,47,33,9,38,33,0.920531999
55,65,47,2,45,35,6,39,33,0.920541549
56,66,48,2,46,34,6,40,34,0.920571272
57,67,49,2,47,33,7,40,35,0.920556553
58,67,51,2,49,31,7,42,35,0.920560854
59,69,51,2,49,31,7,42,36,0.920600609
60,69,53,2,51,29,6,45,37,0.920542196
61,71,53,2,51,29,6,45,37,0.920572449
62,72,54,2,52,28,6,46,41,0.920566436
63,74,54,2,52,28,6,46,42,0.920532327
64,75,55,2,53,27,7,46,44,0.920541208
65,79,53,2,51,29,8,43,48,0.920571374
66,79,55,2,53,27,7,46,49,0.920537101
67,83,53,2,51,29,8,43,50,0.920577899
68,84,54,2,52,28,9,43,50,0.920581126
69,90,50,2,48,32,10,38,52,0.92060228
70,92,50,2,48,32,7,41,52,0.920563055
71,95,49,2,47,33,7,40,54,0.920480934
72,98,48,2,46,34,9,37,56,0.920568892
73,98,50,2,48,32,10,38,57,0.920604645
74,101,49,2,47,33,10,37,58,0.920586661
75,103,49,2,47,33,7,40,58,0.920539589
76,104,50,2,48,32,7,41,59,0.920474483
77,105,51,2,49,31,7,42,59,0.92048128
78,110,48,2,46,34,7,39,60,0.920548191
79,113,47,2,45,35,6,39,60,0.920488581
80,116,46,2,44,36,3,41,65,0.920542336
81,119,45,2,43,37,5,38,65,0.920500921
82,121,45,2,43,37,3,40,65,0.920524568
83,122,46,2,44,36,4,40,66,0.920555537
84,124,46,2,44,36,5,39,67,0.920528373
85,126,46,2,44,36,7,37,68,0.920545804
86,127,47,2,45,35,3,42,70,0.920504326
87,128,48,2,46,34,5,41,71,0.920568523
88,131,47,2,45,35,7,38,72,0.920560957
89,132,48,2,46,34,7,39,72,0.920545039
90,135,47,2,45,35,9,36,73,0.920576399
91,135,49,2,47,33,11,36,73,0.920541785
92,136,50,2,48,32,10,38,76,0.920564525
93,141,47,2,45,35,11,34,80,0.920604558
94,141,49,2,47,33,8,39,81,0.920554647
95,143,49,2,47,33,6,41,82,0.920553156
96,145,49,2,47,33,8,39,84,0.920547083
97,147,49,2,47,33,6,41,84,0.920560147
98,147,51,2,49,31,7,42,85,0.920512917
99,148,52,2,50,30,5,45,86,0.92052914
100,149,53,2,51,29,5,46,86,0.920510579
101,151,53,2,51,29,7,44,86,0.920525704
102,152,54,2,52,28,6,46,86,0.920589464
103,156,52,2,50,30,6,44,87,0.920574797
104,158,52,2,50,30,6,44,89,0.920561898
105,160,52,2,50,30,7,43,89,0.9205451
106,163,51,2,49,31,8,41,89,0.920595983
107,166,50,2,48,32,8,40,90,0.920574053
108,168,50,2,48,32,9,39,90,0.92054096
109,171,49,2,47,33,8,39,92,0.920583693
110,175,47,2,45,35,7,38,92,0.920553985
111,177,47,2,45,35,6,39,93,0.920580796
112,181,45,2,43,37,6,37,95,0.920527425
113,183,45,2,43,37,7,36,97,0.920542114
114,184,46,2,44,36,6,38,98,0.920589886
115,188,44,2,42,38,6,36,101,0.920616929
116,190,44,2,42,38,4,38,102,0.920528932
117,191,45,2,43,37,5,38,102,0.920581873
118,193,45,2,43,37,6,37,103,0.920492392
119,197,43,2,41,39,6,35,104,0.92058285
120,199,43,2,41,39,7,34,104,0.920574983
121,200,44,2,42,38,8,34,104,0.920573988
122,202,44,2,42,38,9,33,105,0.920539086
123,202,46,2,44,36,8,36,106,0.920594758
124,203,47,2,45,35,8,37,107,0.92059289
125,205,47,2,45,35,5,40,108,0.920620951
126,205,49,2,47,33,7,40,109,0.920549563
127,205,51,2,49,31,8,41,110,0.920579187
128,207,51,2,49,31,9,40,110,0.920618649
129,208,52,2,50,30,10,40,110,0.92058788
130,209,53,2,51,29,12,39,111,0.920566524
131,212,52,2,50,30,10,40,111,0.920599591
132,212,54,2,52,28,9,43,111,0.920563682
133,214,54,2,52,28,9,43,111,0.920561363
134,216,54,2,52,28,11,41,112,0.920582258
135,217,55,2,53,27,10,43,115,0.920584686
136,221,53,2,51,29,9,42,115,0.920557448
137,227,49,2,47,33,8,39,116,0.920594982
138,229,49,2,47,33,6,41,116,0.920530514
139,229,51,2,49,31,7,42,117,0.920573468
140,232,50,2,48,32,8,40,117,0.920590167
141,234,50,2,48,32,8,40,121,0.920640055
142,234,52,2,50,30,7,43,122,0.920560618
